;Time;Voltage;Temperature;Model_temp
0;0,0;6,31;151,94;184,67785659178344
1;1,0;6,08;146,41;184,69688789387985
2;2,0;10,27;247,3;184,71591919597626
3;3,0;11,73;282,46;184,73495049807266
4;4,0;10,74;258,62;184,75398180016907
5;5,0;8,13;195,77;184,77301310226545
6;6,0;9,22;222,02;184,79204440436186
7;7,0;10,63;255,97;184,81107570645827
8;8,0;9,29;223,7;184,83010700855468
9;9,0;7,11;171,21;184,84913831065109
10;10,0;7,1;170,97;184,8681696127475
11;11,0;10,95;263,68;184,8872009148439
12;12,0;10,06;242,24;184,9062322169403
13;13,0;10,74;258,62;184,92526351903672
14;14,0;6,13;147,61;184,9442948211331
15;15,0;9,11;219,37;184,9633261232295
16;16,0;7,49;180,36;184,98235742532592
17;17,0;14,07;338,81;185,00138872742232
18;18,0;7,12;171,45;185,02042002951873
19;19,0;8,71;209,74;185,03945133161514
20;20,0;8,0;192,64;185,05848263371155
21;21,0;12,54;301,96;185,07751393580796
22;22,0;11,17;268,97;185,09654523790437
23;23,0;10,14;244,17;185,11557654000077
24;24,0;8,65;208,29;185,13460784209715
25;25,0;9,65;232,37;185,15363914419356
26;26,0;7,95;191,44;185,17267044628997
27;27,0;7,62;183,49;185,19170174838638
28;28,0;9,16;220,57;185,2107330504828
29;29,0;9,3;223,94;185,2297643525792
30;30,0;8,16;196,49;185,2487956546756
31;31,0;6,61;159,17;185,267826956772
32;32,0;11,14;268,25;185,28685825886842
33;33,0;8,16;196,49;185,3058895609648
34;34,0;8,75;210,7;185,3249208630612
35;35,0;6,41;154,35;185,34395216515762
36;36,0;10,38;249,95;185,36298346725403
37;37,0;11,81;284,38;185,38201476935043
38;38,0;9,68;233,09;185,40104607144684
39;39,0;7,2;173,38;185,42007737354325
40;40,0;9,95;239,6;185,43910867563966
41;41,0;8,57;206,37;185,45813997773607
42;42,0;9,02;217,2;185,47717127983245
43;43,0;9,56;230,2;185,49620258192886
44;44,0;13,29;320,02;185,51523388402526
45;45,0;10,25;246,82;185,53426518612167
46;46,0;9,08;218,65;185,55329648821808
47;47,0;7,09;170,73;185,5723277903145
48;48,0;7,52;181,08;185,5913590924109
49;49,0;6,65;160,13;185,6103903945073
50;50,0;8,69;209,26;185,6294216966037
51;51,0;6,09;146,65;185,64845299870012
52;52,0;8,83;212,63;185,6674843007965
53;53,0;7,65;184,21;185,6865156028929
54;54,0;7,14;171,93;185,70554690498932
55;55,0;9,05;217,92;185,72457820708573
56;56,0;6,08;146,41;185,74360950918214
57;57,0;8,93;215,03;185,76264081127854
58;58,0;9,44;227,32;185,78167211337495
59;59,0;10,25;246,82;185,80070341547136
60;60,0;7,26;174,82;185,81973471756777
61;61,0;6,67;160,61;185,83876601966415
62;62,0;7,86;189,27;185,85779732176056
63;63,0;8,8;211,9;185,87682862385697
64;64,0;7,67;184,69;185,89585992595337
65;65,0;9,45;227,56;185,91489122804978
66;66,0;8,59;206,85;185,9339225301462
67;67,0;7,34;176,75;185,9529538322426
68;68,0;7,6;183,01;185,971985134339
69;69,0;7,6;183,01;185,99101643643542
70;70,0;8,67;208,77;186,0100477385318
71;71,0;10,04;241,76;186,0290790406282
72;72,0;12,14;292,33;186,0481103427246
73;73,0;10,94;263,44;186,06714164482102
74;74,0;6,21;149,54;186,08617294691743
75;75,0;9,47;228,04;186,10520424901384
76;76,0;10,49;252,6;186,12423555111025
77;77,0;8,27;199,14;186,14326685320665
78;78,0;7,51;180,84;186,16229815530306
79;79,0;10,62;255,73;186,18132945739947
80;80,0;8,69;209,26;186,20036075949585
81;81,0;8,69;209,26;186,21939206159226
82;82,0;10,6;255,25;186,23842336368867
83;83,0;7,23;174,1;186,25745466578508
84;84,0;11,02;265,36;186,27648596788148
85;85,0;8,62;207,57;186,2955172699779
86;86,0;9,65;232,37;186,3145485720743
87;87,0;11,56;278,36;186,3335798741707
88;88,0;9,47;228,04;186,35261117626712
89;89,0;7,02;169,04;186,3716424783635
90;90,0;7,47;179,88;186,3906737804599
91;91,0;8,4;202,27;186,40970508255631
92;92,0;10,4;250,43;186,42873638465272
93;93,0;7,74;186,38;186,44776768674913
94;94,0;7,2;173,38;186,46679898884554
95;95,0;8,56;206,12;186,48583029094195
96;96,0;7,65;184,21;186,50486159303836
97;97,0;7,84;188,79;186,52389289513476
98;98,0;6,8;163,74;186,54292419723114
99;99,0;12,36;297,63;186,56195549932755
100;100,0;9,47;228,04;186,58098680142396
101;101,0;8,58;206,61;186,60001810352037
102;102,0;10,1;243,21;186,61904940561678
103;103,0;6,69;161,1;186,6380807077132
104;104,0;9,94;239,36;186,6571120098096
105;105,0;11,43;275,23;186,676143311906
106;106,0;11,82;284,63;186,6951746140024
107;107,0;11,71;281,98;186,71420591609882
108;108,0;13,58;327,01;186,7332372181952
109;109,0;7,44;179,16;186,7522685202916
110;110,0;12,82;308,71;186,77129982238802
111;111,0;8,49;204,44;186,79033112448442
112;112,0;8,33;200,59;186,80936242658083
113;113,0;7,65;184,21;186,82839372867724
114;114,0;7,81;188,06;186,84742503077365
115;115,0;10,03;241,52;186,86645633287006
116;116,0;12,4;298,59;186,88548763496647
117;117,0;11,89;286,31;186,90451893706285
118;118,0;10,71;257,9;186,92355023915925
119;119,0;14,55;350,36;186,94258154125566
120;120,0;10,46;251,88;186,96161284335207
121;121,0;8,75;210,7;186,98064414544848
122;122,0;8,97;216,0;186,9996754475449
123;123,0;9,81;236,22;187,0187067496413
124;124,0;7,25;174,58;187,0377380517377
125;125,0;11,31;272,34;187,0567693538341
126;126,0;12,04;289,92;187,0758006559305
127;127,0;9,7;233,58;187,0948319580269
128;128,0;11,14;268,25;187,1138632601233
129;129,0;10,45;251,64;187,13289456221972
130;130,0;10,95;263,68;187,15192586431613
131;131,0;7,96;191,68;187,17095716641253
132;132,0;10,49;252,6;187,18998846850894
133;133,0;11,33;272,83;187,20901977060535
134;134,0;11,05;266,08;187,22805107270176
135;135,0;15,85;381,67;187,24708237479814
136;136,0;11,95;287,76;187,26611367689455
137;137,0;12,0;288,96;187,28514497899096
138;138,0;13,38;322,19;187,30417628108736
139;139,0;10,78;259,58;187,32320758318377
140;140,0;6,85;164,95;187,34223888528018
141;141,0;7,12;171,45;187,3612701873766
142;142,0;11,41;274,75;187,380301489473
143;143,0;9,34;224,91;187,3993327915694
144;144,0;10,53;253,56;187,41836409366582
145;145,0;14,18;341,45;187,4373953957622
146;146,0;11,75;282,94;187,4564266978586
147;147,0;8,81;212,14;187,475457999955
148;148,0;9,98;240,32;187,49448930205142
149;149,0;10,9;262,47;187,51352060414783
150;150,0;11,41;274,75;187,53255190624424
151;151,0;7,23;174,1;187,55158320834065
152;152,0;11,46;275,96;187,57061451043705
153;153,0;6,59;158,69;187,58964581253346
154;154,0;9,86;237,43;187,60867711462984
155;155,0;9,66;232,61;187,62770841672625
156;156,0;9,07;218,41;187,64673971882266
157;157,0;8,01;192,88;187,66577102091907
158;158,0;7,73;186,14;187,68480232301548
159;159,0;7,36;177,23;187,70383362511188
160;160,0;9,25;222,74;187,7228649272083
161;161,0;8,45;203,48;187,7418962293047
162;162,0;11,43;275,23;187,7609275314011
163;163,0;8,93;215,03;187,7799588334975
164;164,0;10,43;251,15;187,7989901355939
165;165,0;7,6;183,01;187,8180214376903
166;166,0;8,19;197,22;187,8370527397867
167;167,0;10,03;241,52;187,85608404188312
168;168,0;7,77;187,1;187,87511534397953
169;169,0;6,47;155,8;187,89414664607594
170;170,0;8,72;209,98;187,91317794817235
171;171,0;11,42;274,99;187,93220925026876
172;172,0;13,49;324,84;187,95124055236516
173;173,0;7,82;188,31;187,97027185446154
174;174,0;6,21;149,54;187,98930315655795
175;175,0;9,38;225,87;188,00833445865436
176;176,0;11,22;270,18;188,02736576075077
177;177,0;8,6;207,09;188,04639706284718
178;178,0;7,7;185,42;188,06542836494359
179;179,0;7,19;173,14;188,08445966704
180;180,0;6,84;164,71;188,1034909691364
181;181,0;8,75;210,7;188,1225222712328
182;182,0;9,65;232,37;188,1415535733292
183;183,0;10,68;257,17;188,1605848754256
184;184,0;11,01;265,12;188,179616177522
185;185,0;12,77;307,5;188,19864747961842
186;186,0;7,58;182,53;188,21767878171482
187;187,0;10,4;250,43;188,23671008381123
188;188,0;13,56;326,52;188,25574138590764
189;189,0;12,65;304,61;188,27477268800405
190;190,0;9,71;233,82;188,29380399010046
191;191,0;6,84;164,71;188,31283529219684
192;192,0;7,98;192,16;188,33186659429325
193;193,0;14,23;342,66;188,35089789638965
194;194,0;12,31;296,42;188,36992919848606
195;195,0;8,13;195,77;188,38896050058247
196;196,0;10,81;260,3;188,40799180267888
197;197,0;13,43;323,39;188,4270231047753
198;198,0;10,14;244,17;188,4460544068717
199;199,0;11,45;275,72;188,4650857089681
200;200,0;7,29;175,54;188,48411701106448
201;201,0;6,35;152,91;188,5031483131609
202;202,0;6,92;166,63;188,5221796152573
203;203,0;10,98;264,4;188,5412109173537
204;204,0;11,13;268,01;188,56024221945012
205;205,0;7,69;185,18;188,57927352154653
206;206,0;8,59;206,85;188,59830482364293
207;207,0;10,1;243,21;188,61733612573934
208;208,0;7,3;175,78;188,63636742783575
209;209,0;10,24;246,58;188,65539872993216
210;210,0;10,08;242,73;188,67443003202854
211;211,0;6,8;163,74;188,69346133412495
212;212,0;7,17;172,65;188,71249263622136
213;213,0;11,18;269,21;188,73152393831776
214;214,0;7,85;189,03;188,75055524041417
215;215,0;11,3;272,1;188,76958654251058
216;216,0;10,37;249,71;188,788617844607
217;217,0;12,97;312,32;188,8076491467034
218;218,0;9,25;222,74;188,8266804487998
219;219,0;6,1;146,89;188,84571175089619
220;220,0;9,92;238,87;188,8647430529926
221;221,0;7,85;189,03;188,883774355089
222;222,0;9,78;235,5;188,9028056571854
223;223,0;9,32;224,43;188,92183695928182
224;224,0;8,16;196,49;188,94086826137823
225;225,0;8,51;204,92;188,95989956347464
226;226,0;8,22;197,94;188,97893086557104
227;227,0;8,54;205,64;188,99796216766745
228;228,0;7,83;188,55;189,01699346976383
229;229,0;9,01;216,96;189,03602477186024
230;230,0;7,05;169,76;189,05505607395665
231;231,0;6,74;162,3;189,07408737605306
232;232,0;10,47;252,12;189,09311867814947
233;233,0;6,68;160,85;189,11214998024587
234;234,0;9,34;224,91;189,13118128234228
235;235,0;11,74;282,7;189,1502125844387
236;236,0;10,35;249,23;189,1692438865351
237;237,0;10,11;243,45;189,1882751886315
238;238,0;11,95;287,76;189,2073064907279
239;239,0;7,2;173,38;189,2263377928243
240;240,0;6,17;148,57;189,2453690949207
241;241,0;7,33;176,51;189,2644003970171
242;242,0;7,11;171,21;189,28343169911352
243;243,0;8,9;214,31;189,30246300120993
244;244,0;10,59;255,01;189,32149430330634
245;245,0;7,14;171,93;189,34052560540275
246;246,0;6,43;154,83;189,35955690749915
247;247,0;11,03;265,6;189,37858820959553
248;248,0;7,08;170,49;189,39761951169194
249;249,0;8,12;195,53;189,41665081378835
250;250,0;10,08;242,73;189,43568211588476
251;251,0;8,9;214,31;189,45471341798117
252;252,0;9,39;226,11;189,47374472007758
253;253,0;9,93;239,11;189,49277602217398
254;254,0;8,05;193,84;189,5118073242704
255;255,0;8,14;196,01;189,5308386263668
256;256,0;10,18;245,13;189,54986992846318
257;257,0;7,2;173,38;189,5689012305596
258;258,0;13,9;334,71;189,587932532656
259;259,0;11,92;287,03;189,6069638347524
260;260,0;8,62;207,57;189,62599513684881
261;261,0;8,89;214,07;189,64502643894522
262;262,0;6,12;147,37;189,66405774104163
263;263,0;6,48;156,04;189,68308904313804
264;264,0;7,91;190,47;189,70212034523445
265;265,0;8,05;193,84;189,72115164733083
266;266,0;8,8;211,9;189,74018294942724
267;267,0;11,03;265,6;189,75921425152364
268;268,0;11,23;270,42;189,77824555362005
269;269,0;12,0;288,96;189,79727685571646
270;270,0;10,35;249,23;189,81630815781287
271;271,0;12,97;312,32;189,83533945990928
272;272,0;7,25;174,58;189,8543707620057
273;273,0;11,0;264,88;189,8734020641021
274;274,0;6,87;165,43;189,8924333661985
275;275,0;10,98;264,4;189,91146466829488
276;276,0;8,16;196,49;189,9304959703913
277;277,0;10,93;263,19;189,9495272724877
278;278,0;13,0;313,04;189,9685585745841
279;279,0;11,12;267,77;189,98758987668052
280;280,0;9,34;224,91;190,00662117877692
281;281,0;8,0;192,64;190,02565248087333
282;282,0;7,03;169,28;190,04468378296974
283;283,0;9,08;218,65;190,06371508506615
284;284,0;10,81;260,3;190,08274638716253
285;285,0;15,35;369,63;190,10177768925894
286;286,0;10,48;252,36;190,12080899135535
287;287,0;11,21;269,94;190,13984029345175
288;288,0;11,72;282,22;190,15887159554816
289;289,0;13,15;316,65;190,17790289764457
290;290,0;7,01;168,8;190,19693419974098
291;291,0;9,04;217,68;190,2159655018374
292;292,0;10,93;263,19;190,2349968039338
293;293,0;20,49;493,4;190,2540281060302
294;294,0;7,92;190,71;190,27305940812658
295;295,0;16,5;397,32;190,292090710223
296;296,0;11,4;274,51;190,3111220123194
297;297,0;10,27;247,3;190,3301533144158
298;298,0;6,57;158,21;190,34918461651222
299;299,0;8,36;201,31;190,36821591860863
300;300,0;13,9;334,71;190,38724722070504
301;301,0;10,79;259,82;190,40627852280144
302;302,0;9,12;219,61;190,42530982489785
303;303,0;6,37;153,39;190,44434112699423
304;304,0;8,03;193,36;190,46337242909064
305;305,0;9,97;240,08;190,48240373118705
306;306,0;11,06;266,32;190,50143503328346
307;307,0;11,24;270,66;190,52046633537987
308;308,0;12,69;305,58;190,53949763747627
309;309,0;7,96;191,68;190,55852893957268
310;310,0;13,39;322,43;190,5775602416691
311;311,0;8,94;215,28;190,5965915437655
312;312,0;10,05;242,0;190,61562284586188
313;313,0;10,13;243,93;190,6346541479583
314;314,0;11,74;282,7;190,6536854500547
315;315,0;10,4;250,43;190,6727167521511
316;316,0;14,73;354,7;190,6917480542475
317;317,0;6,69;161,1;190,71077935634392
318;318,0;11,03;265,6;190,72981065844033
319;319,0;11,82;284,63;190,74884196053674
320;320,0;11,15;268,49;190,76787326263315
321;321,0;14,85;357,59;190,78690456472953
322;322,0;10,63;255,97;190,80593586682593
323;323,0;9,72;234,06;190,82496716892234
324;324,0;11,05;266,08;190,84399847101875
325;325,0;12,22;294,26;190,86302977311516
326;326,0;9,71;233,82;190,88206107521157
327;327,0;7,93;190,95;190,90109237730798
328;328,0;10,37;249,71;190,92012367940438
329;329,0;11,47;276,2;190,9391549815008
330;330,0;11,65;280,53;190,95818628359717
331;331,0;9,88;237,91;190,97721758569358
332;332,0;7,75;186,62;190,99624888779
333;333,0;7,72;185,9;191,0152801898864
334;334,0;11,5;276,92;191,0343114919828
335;335,0;12,49;300,76;191,0533427940792
336;336,0;12,22;294,26;191,07237409617562
337;337,0;6,17;148,57;191,09140539827203
338;338,0;9,16;220,57;191,11043670036844
339;339,0;9,12;219,61;191,12946800246485
340;340,0;14,24;342,9;191,14849930456123
341;341,0;12,54;301,96;191,16753060665764
342;342,0;8,62;207,57;191,18656190875404
343;343,0;9,76;235,02;191,20559321085045
344;344,0;11,51;277,16;191,22462451294686
345;345,0;11,59;279,09;191,24365581504327
346;346,0;7,82;188,31;191,26268711713968
347;347,0;8,59;206,85;191,28171841923609
348;348,0;12,97;312,32;191,3007497213325
349;349,0;11,31;272,34;191,31978102342887
350;350,0;9,77;235,26;191,33881232552528
351;351,0;12,13;292,09;191,3578436276217
352;352,0;11,54;277,88;191,3768749297181
353;353,0;14,03;337,84;191,3959062318145
354;354,0;9,36;225,39;191,41493753391092
