;Time;Voltage;Temperature;Model_temp
0;0,0;7,93;190,95;181,6963639127535
1;1,0;7,28;175,3;181,71965580892683
2;2,0;10,98;264,4;181,74294770510016
3;3,0;18,24;439,22;181,7662396012735
4;4,0;14,59;351,33;181,78953149744683
5;5,0;10,02;241,28;181,8128233936202
6;6,0;7,52;181,08;181,83611528979353
7;7,0;15,14;364,57;181,85940718596686
8;8,0;11,52;277,4;181,8826990821402
9;9,0;7,77;187,1;181,90599097831353
10;10,0;9,42;226,83;181,92928287448686
11;11,0;12,96;312,08;181,9525747706602
12;12,0;8,66;208,53;181,97586666683353
13;13,0;7,35;176,99;181,9991585630069
14;14,0;7,7;185,42;182,02245045918022
15;15,0;10,11;243,45;182,04574235535355
16;16,0;7,47;179,88;182,0690342515269
17;17,0;7,4;178,19;182,09232614770022
18;18,0;7,51;180,84;182,11561804387355
19;19,0;7,38;177,71;182,1389099400469
20;20,0;7,53;181,32;182,16220183622022
21;21,0;7,6;183,01;182,18549373239355
22;22,0;7,29;175,54;182,20878562856691
23;23,0;7,55;181,8;182,23207752474025
24;24,0;7,7;185,42;182,25536942091358
25;25,0;8,22;197,94;182,27866131708691
26;26,0;7,86;189,27;182,30195321326025
27;27,0;7,34;176,75;182,32524510943358
28;28,0;7,35;176,99;182,34853700560691
29;29,0;6,64;159,89;182,37182890178025
30;30,0;6,76;162,78;182,3951207979536
31;31,0;6,83;164,47;182,41841269412694
32;32,0;8,27;199,14;182,44170459030028
33;33,0;7,88;189,75;182,4649964864736
34;34,0;7,51;180,84;182,48828838264694
35;35,0;7,59;182,77;182,51158027882028
36;36,0;7,03;169,28;182,5348721749936
37;37,0;7,7;185,42;182,55816407116694
38;38,0;7,88;189,75;182,58145596734028
39;39,0;7,89;189,99;182,60474786351364
40;40,0;7,67;184,69;182,62803975968697
41;41,0;7,83;188,55;182,6513316558603
42;42,0;7,68;184,93;182,67462355203364
43;43,0;7,57;182,29;182,69791544820697
44;44,0;7,74;186,38;182,7212073443803
45;45,0;8,26;198,9;182,74449924055364
46;46,0;7,57;182,29;182,76779113672697
47;47,0;9,68;233,09;182,79108303290033
48;48,0;7,56;182,04;182,81437492907367
49;49,0;9,87;237,67;182,837666825247
50;50,0;9,92;238,87;182,86095872142033
51;51,0;7,11;171,21;182,88425061759366
52;52,0;8,08;194,57;182,907542513767
53;53,0;9,42;226,83;182,93083440994033
