;Time;Fy;Model_strength
0;0,0;12,99;16,512240462308394
1;1,0;15,73;16,516421899007227
2;2,0;17,35;16,52060333570606
3;3,0;18,44;16,524784772404892
4;4,0;17,64;16,52896620910373
5;5,0;18,0;16,53314764580256
6;6,0;17,48;16,537329082501394
7;7,0;17,48;16,541510519200227
8;8,0;17,13;16,54569195589906
9;9,0;17,38;16,549873392597892
10;10,0;17,24;16,554054829296728
11;11,0;17,57;16,55823626599556
12;12,0;17,86;16,562417702694393
13;13,0;17,49;16,566599139393226
14;14,0;17,25;16,57078057609206
15;15,0;17,01;16,57496201279089
16;16,0;17,67;16,579143449489724
17;17,0;17,35;16,58332488618856
18;18,0;17,66;16,587506322887393
19;19,0;17,91;16,591687759586225
20;20,0;17,16;16,595869196285058
21;21,0;17,87;16,60005063298389
22;22,0;17,84;16,604232069682723
23;23,0;16,87;16,60841350638156
24;24,0;18,1;16,612594943080392
25;25,0;17,76;16,616776379779225
26;26,0;17,21;16,620957816478057
27;27,0;17,74;16,62513925317689
28;28,0;18,04;16,629320689875723
29;29,0;17,62;16,633502126574555
30;30,0;17,54;16,63768356327339
31;31,0;17,62;16,641864999972224
32;32,0;17,6;16,646046436671057
33;33,0;17,58;16,65022787336989
34;34,0;17,26;16,654409310068722
35;35,0;17,69;16,658590746767555
36;36,0;17,37;16,66277218346639
37;37,0;17,71;16,666953620165224
38;38,0;17,94;16,671135056864056
39;39,0;17,4;16,67531649356289
40;40,0;17,74;16,67949793026172
41;41,0;17,35;16,683679366960554
42;42,0;17,97;16,687860803659387
43;43,0;17,5;16,692042240358223
44;44,0;17,5;16,696223677057056
45;45,0;17,69;16,700405113755888
46;46,0;17,25;16,70458655045472
47;47,0;17,88;16,708767987153553
48;48,0;17,97;16,712949423852386
49;49,0;17,84;16,717130860551222
50;50,0;17,8;16,721312297250055
51;51,0;17,45;16,725493733948888
52;52,0;18,02;16,72967517064772
53;53,0;17,95;16,733856607346553
54;54,0;17,87;16,738038044045386
55;55,0;17,82;16,742219480744218
56;56,0;17,93;16,746400917443054
57;57,0;17,91;16,750582354141887
58;58,0;17,88;16,75476379084072
59;59,0;18,08;16,758945227539552
60;60,0;17,48;16,763126664238385
61;61,0;18,13;16,767308100937218
62;62,0;17,63;16,771489537636054
63;63,0;17,94;16,775670974334886
64;64,0;17,74;16,77985241103372
65;65,0;17,37;16,78403384773255
66;66,0;16,38;16,788215284431384
67;67,0;16,96;16,792396721130217
68;68,0;17,92;16,79657815782905
69;69,0;18,44;16,800759594527886
70;70,0;17,99;16,80494103122672
71;71,0;18,3;16,80912246792555
72;72,0;18,02;16,813303904624384
73;73,0;18,38;16,817485341323216
74;74,0;18,42;16,82166677802205
75;75,0;17,61;16,825848214720885
76;76,0;17,75;16,830029651419718
77;77,0;17,78;16,83421108811855
78;78,0;18,28;16,838392524817383
79;79,0;17,44;16,842573961516216
80;80,0;17,7;16,84675539821505
81;81,0;18,26;16,85093683491388
82;82,0;17,78;16,855118271612717
83;83,0;17,49;16,85929970831155
84;84,0;17,8;16,863481145010383
85;85,0;17,77;16,867662581709215
86;86,0;18,14;16,871844018408048
87;87,0;17,0;16,87602545510688
88;88,0;18,33;16,880206891805717
89;89,0;18,03;16,88438832850455
90;90,0;17,2;16,888569765203382
91;91,0;18,16;16,892751201902215
92;92,0;17,82;16,896932638601047
93;93,0;17,33;16,90111407529988
94;94,0;17,84;16,905295511998712
95;95,0;17,95;16,90947694869755
96;96,0;17,7;16,91365838539638
97;97,0;17,93;16,917839822095214
98;98,0;18,1;16,922021258794047
99;99,0;17,88;16,92620269549288
100;100,0;18,01;16,930384132191712
101;101,0;18,29;16,934565568890548
102;102,0;17,74;16,93874700558938
103;103,0;16,99;16,942928442288213
104;104,0;18,03;16,947109878987046
105;105,0;17,6;16,95129131568588
106;106,0;17,24;16,95547275238471
107;107,0;18,32;16,959654189083544
108;108,0;17,93;16,96383562578238
109;109,0;17,08;16,968017062481213
110;110,0;17,52;16,972198499180045
111;111,0;17,65;16,976379935878878
112;112,0;17,76;16,98056137257771
113;113,0;17,92;16,984742809276543
114;114,0;18,15;16,988924245975376
115;115,0;18,38;16,993105682674212
116;116,0;18,02;16,997287119373045
117;117,0;17,84;17,001468556071877
118;118,0;17,68;17,00564999277071
119;119,0;17,62;17,009831429469543
120;120,0;18,1;17,014012866168375
121;121,0;17,88;17,01819430286721
122;122,0;17,41;17,022375739566044
123;123,0;17,79;17,026557176264877
124;124,0;17,66;17,03073861296371
125;125,0;17,4;17,034920049662542
126;126,0;17,41;17,039101486361375
127;127,0;17,93;17,04328292306021
128;128,0;17,58;17,047464359759044
129;129,0;17,42;17,051645796457876
130;130,0;17,5;17,05582723315671
131;131,0;17,69;17,06000866985554
132;132,0;14,99;17,064190106554374
133;133,0;17,73;17,068371543253207
134;134,0;18,22;17,072552979952043
135;135,0;18,2;17,076734416650876
136;136,0;18,2;17,08091585334971
137;137,0;18,75;17,08509729004854
138;138,0;18,52;17,089278726747374
139;139,0;18,11;17,093460163446206
140;140,0;17,93;17,09764160014504
141;141,0;17,84;17,101823036843875
142;142,0;18,24;17,106004473542708
143;143,0;18,17;17,11018591024154
144;144,0;18,03;17,114367346940373
145;145,0;18,11;17,118548783639206
146;146,0;17,89;17,12273022033804
147;147,0;18,66;17,126911657036874
148;148,0;18,74;17,131093093735707
149;149,0;18,31;17,13527453043454
150;150,0;18,02;17,139455967133372
151;151,0;17,74;17,143637403832205
152;152,0;18,22;17,147818840531038
153;153,0;18,73;17,152000277229874
154;154,0;18,33;17,156181713928707
155;155,0;18,6;17,16036315062754
156;156,0;18,18;17,164544587326372
157;157,0;17,82;17,168726024025204
158;158,0;18,15;17,172907460724037
159;159,0;18,47;17,17708889742287
160;160,0;18,59;17,181270334121706
161;161,0;18,74;17,18545177082054
162;162,0;18,21;17,18963320751937
163;163,0;18,64;17,193814644218204
164;164,0;18,76;17,197996080917036
165;165,0;18,18;17,20217751761587
166;166,0;18,36;17,2063589543147
167;167,0;18,5;17,210540391013538
168;168,0;18,26;17,21472182771237
169;169,0;18,3;17,218903264411203
170;170,0;18,18;17,223084701110036
171;171,0;18,92;17,22726613780887
172;172,0;18,6;17,2314475745077
173;173,0;18,03;17,235629011206537
174;174,0;18,47;17,23981044790537
175;175,0;18,26;17,243991884604203
176;176,0;18,58;17,248173321303035
177;177,0;18,45;17,252354758001868
178;178,0;17,7;17,2565361947007
179;179,0;18,33;17,260717631399537
180;180,0;18,68;17,26489906809837
181;181,0;18,62;17,269080504797202
182;182,0;18,49;17,273261941496035
183;183,0;18,74;17,277443378194867
184;184,0;18,63;17,2816248148937
185;185,0;18,52;17,285806251592533
186;186,0;18,33;17,28998768829137
187;187,0;18,8;17,2941691249902
188;188,0;18,49;17,298350561689034
189;189,0;19,13;17,302531998387867
190;190,0;18,64;17,3067134350867
191;191,0;18,56;17,310894871785532
192;192,0;18,56;17,315076308484365
193;193,0;18,68;17,3192577451832
194;194,0;19,05;17,323439181882033
195;195,0;18,65;17,327620618580866
196;196,0;18,76;17,3318020552797
197;197,0;18,45;17,33598349197853
198;198,0;14,9;17,340164928677364
199;199,0;17,81;17,3443463653762
200;200,0;18,91;17,348527802075033
201;201,0;19,1;17,352709238773866
202;202,0;18,84;17,356890675472698
203;203,0;18,77;17,36107211217153
204;204,0;18,69;17,365253548870363
205;205,0;19,11;17,369434985569196
206;206,0;18,67;17,373616422268032
207;207,0;18,9;17,377797858966865
208;208,0;18,44;17,381979295665698
209;209,0;18,6;17,38616073236453
210;210,0;18,38;17,390342169063363
211;211,0;18,05;17,394523605762195
212;212,0;18,65;17,39870504246103
213;213,0;18,89;17,402886479159864
214;214,0;18,57;17,407067915858697
215;215,0;18,51;17,41124935255753
216;216,0;18,79;17,415430789256362
217;217,0;17,92;17,419612225955195
218;218,0;18,13;17,423793662654028
219;219,0;18,79;17,427975099352864
220;220,0;18,62;17,432156536051696
221;221,0;18,77;17,43633797275053
222;222,0;18,99;17,44051940944936
223;223,0;18,39;17,444700846148194
224;224,0;18,01;17,448882282847027
225;225,0;18,73;17,453063719545863
226;226,0;18,35;17,457245156244696
227;227,0;19,0;17,46142659294353
228;228,0;18,71;17,46560802964236
229;229,0;18,73;17,469789466341194
230;230,0;18,62;17,473970903040026
231;231,0;18,75;17,47815233973886
232;232,0;18,5;17,482333776437695
233;233,0;18,05;17,486515213136528
234;234,0;18,43;17,49069664983536
235;235,0;19,03;17,494878086534193
236;236,0;18,42;17,499059523233026
237;237,0;18,29;17,50324095993186
238;238,0;17,82;17,507422396630695
239;239,0;18,28;17,511603833329527
240;240,0;18,86;17,51578527002836
241;241,0;18,76;17,519966706727192
242;242,0;18,95;17,524148143426025
243;243,0;18,77;17,528329580124858
244;244,0;18,59;17,53251101682369
245;245,0;18,18;17,536692453522527
246;246,0;18,97;17,54087389022136
247;247,0;18,08;17,545055326920192
248;248,0;18,09;17,549236763619025
249;249,0;18,16;17,553418200317857
250;250,0;18,63;17,55759963701669
251;251,0;18,68;17,561781073715526
252;252,0;18,86;17,56596251041436
253;253,0;18,55;17,57014394711319
254;254,0;18,63;17,574325383812024
255;255,0;18,53;17,578506820510857
256;256,0;18,72;17,58268825720969
257;257,0;18,29;17,586869693908522
258;258,0;18,24;17,591051130607358
259;259,0;18,1;17,59523256730619
260;260,0;18,37;17,599414004005023
261;261,0;18,46;17,603595440703856
262;262,0;17,73;17,60777687740269
263;263,0;18,57;17,61195831410152
264;264,0;15,98;17,616139750800357
265;265,0;18,49;17,62032118749919
266;266,0;19,23;17,624502624198023
267;267,0;19,09;17,628684060896855
268;268,0;18,88;17,632865497595688
269;269,0;17,91;17,63704693429452
270;270,0;18,99;17,641228370993353
271;271,0;19,0;17,64540980769219
272;272,0;18,73;17,649591244391022
273;273,0;18,59;17,653772681089855
274;274,0;18,64;17,657954117788687
275;275,0;18,39;17,66213555448752
276;276,0;18,72;17,666316991186353
277;277,0;19,21;17,67049842788519
278;278,0;18,68;17,67467986458402
279;279,0;18,89;17,678861301282854
280;280,0;18,58;17,683042737981687
281;281,0;18,48;17,68722417468052
282;282,0;18,29;17,691405611379352
283;283,0;18,22;17,695587048078185
284;284,0;18,54;17,69976848477702
285;285,0;18,43;17,703949921475854
286;286,0;18,77;17,708131358174686
287;287,0;18,98;17,71231279487352
288;288,0;18,52;17,71649423157235
289;289,0;19,13;17,720675668271184
290;290,0;18,72;17,72485710497002
291;291,0;18,46;17,729038541668853
292;292,0;17,93;17,733219978367686
293;293,0;18,31;17,73740141506652
294;294,0;18,6;17,74158285176535
295;295,0;18,83;17,745764288464184
296;296,0;18,74;17,749945725163016
297;297,0;18,79;17,754127161861852
298;298,0;18,07;17,758308598560685
299;299,0;18,51;17,762490035259518
300;300,0;18,85;17,76667147195835
301;301,0;18,64;17,770852908657183
302;302,0;18,83;17,775034345356016
303;303,0;18,99;17,779215782054848
304;304,0;19,02;17,783397218753684
305;305,0;19,1;17,787578655452517
306;306,0;18,64;17,79176009215135
307;307,0;18,31;17,795941528850182
308;308,0;18,21;17,800122965549015
309;309,0;18,74;17,804304402247848
310;310,0;18,66;17,808485838946684
311;311,0;18,56;17,812667275645516
312;312,0;18,76;17,81684871234435
313;313,0;18,87;17,82103014904318
314;314,0;18,78;17,825211585742014
315;315,0;18,87;17,829393022440847
316;316,0;17,79;17,833574459139683
317;317,0;18,39;17,837755895838516
318;318,0;19,05;17,84193733253735
319;319,0;19,19;17,84611876923618
320;320,0;18,62;17,850300205935014
321;321,0;18,44;17,854481642633846
322;322,0;18,99;17,85866307933268
323;323,0;18,55;17,862844516031515
324;324,0;18,79;17,867025952730348
325;325,0;18,95;17,87120738942918
326;326,0;18,5;17,875388826128013
327;327,0;18,68;17,879570262826846
328;328,0;18,94;17,88375169952568
329;329,0;17,92;17,88793313622451
330;330,0;15,93;17,892114572923347
331;331,0;18,29;17,89629600962218
332;332,0;18,95;17,900477446321013
333;333,0;18,44;17,904658883019845
334;334,0;18,68;17,908840319718678
335;335,0;18,8;17,91302175641751
336;336,0;19,02;17,917203193116347
337;337,0;18,79;17,92138462981518
338;338,0;18,85;17,925566066514012
339;339,0;19,05;17,929747503212845
340;340,0;19,13;17,933928939911677
341;341,0;19,07;17,93811037661051
342;342,0;18,92;17,942291813309346
343;343,0;19,29;17,94647325000818
344;344,0;18,65;17,95065468670701
345;345,0;19,0;17,954836123405844
346;346,0;18,88;17,959017560104677
347;347,0;18,5;17,96319899680351
348;348,0;18,47;17,967380433502342
349;349,0;18,18;17,971561870201178
350;350,0;18,79;17,97574330690001
351;351,0;18,72;17,979924743598843
352;352,0;18,96;17,984106180297676
353;353,0;18,58;17,98828761699651
354;354,0;19,21;17,99246905369534
355;355,0;18,47;17,996650490394174
356;356,0;19,03;18,00083192709301
357;357,0;18,78;18,005013363791843
358;358,0;18,34;18,009194800490675
359;359,0;18,8;18,013376237189508
360;360,0;18,88;18,01755767388834
361;361,0;18,47;18,021739110587173
362;362,0;18,58;18,02592054728601
363;363,0;18,61;18,030101983984842
364;364,0;17,89;18,034283420683675
365;365,0;18,51;18,038464857382507
366;366,0;18,41;18,04264629408134
367;367,0;18,27;18,046827730780173
368;368,0;17,83;18,05100916747901
369;369,0;18,68;18,05519060417784
370;370,0;18,7;18,059372040876674
371;371,0;18,48;18,063553477575507
372;372,0;19,02;18,06773491427434
373;373,0;18,56;18,071916350973172
374;374,0;18,18;18,076097787672005
375;375,0;18,45;18,08027922437084
376;376,0;18,32;18,084460661069674
377;377,0;18,73;18,088642097768506
378;378,0;18,56;18,09282353446734
379;379,0;18,92;18,09700497116617
380;380,0;18,47;18,101186407865004
381;381,0;19,0;18,105367844563837
382;382,0;18,72;18,109549281262673
383;383,0;18,49;18,113730717961506
384;384,0;18,61;18,11791215466034
385;385,0;19,25;18,12209359135917
386;386,0;18,55;18,126275028058004
387;387,0;18,3;18,130456464756836
388;388,0;18,22;18,134637901455672
389;389,0;18,25;18,138819338154505
390;390,0;19,5;18,143000774853338
391;391,0;19,07;18,14718221155217
392;392,0;18,69;18,151363648251003
393;393,0;18,54;18,155545084949836
394;394,0;18,58;18,159726521648672
395;395,0;18,15;18,163907958347504
396;396,0;15,99;18,168089395046337
397;397,0;18,08;18,17227083174517
398;398,0;19,31;18,176452268444002
399;399,0;19,31;18,180633705142835
400;400,0;18,82;18,184815141841668
401;401,0;18,9;18,188996578540504
402;402,0;18,98;18,193178015239337
403;403,0;19,1;18,19735945193817
404;404,0;18,77;18,201540888637002
405;405,0;18,8;18,205722325335834
406;406,0;18,75;18,209903762034667
407;407,0;18,82;18,2140851987335
408;408,0;19,1;18,218266635432336
409;409,0;18,65;18,22244807213117
410;410,0;18,37;18,22662950883
411;411,0;19,09;18,230810945528834
412;412,0;18,51;18,234992382227666
413;413,0;18,89;18,2391738189265
414;414,0;18,96;18,243355255625335
415;415,0;18,96;18,247536692324168
416;416,0;19,0;18,251718129023
417;417,0;18,49;18,255899565721833
418;418,0;18,74;18,260081002420666
419;419,0;18,8;18,2642624391195
420;420,0;18,47;18,268443875818335
421;421,0;18,9;18,272625312517167
422;422,0;19,02;18,276806749216
423;423,0;18,81;18,280988185914833
424;424,0;18,58;18,285169622613665
425;425,0;18,58;18,289351059312498
426;426,0;18,16;18,29353249601133
427;427,0;18,83;18,297713932710167
428;428,0;18,21;18,301895369409
429;429,0;18,64;18,306076806107832
430;430,0;18,74;18,310258242806665
431;431,0;18,72;18,314439679505497
432;432,0;18,39;18,31862111620433
433;433,0;18,87;18,322802552903163
434;434,0;19,01;18,326983989602
435;435,0;19,09;18,33116542630083
436;436,0;18,51;18,335346862999664
437;437,0;18,68;18,339528299698497
438;438,0;18,73;18,34370973639733
439;439,0;19,13;18,347891173096162
440;440,0;18,82;18,352072609794998
441;441,0;18,74;18,35625404649383
442;442,0;19,04;18,360435483192663
443;443,0;19,03;18,364616919891496
444;444,0;18,82;18,36879835659033
445;445,0;19,07;18,37297979328916
446;446,0;19,55;18,377161229987998
447;447,0;18,78;18,38134266668683
448;448,0;18,93;18,385524103385663
449;449,0;18,81;18,389705540084496
450;450,0;18,96;18,393886976783328
451;451,0;19,08;18,39806841348216
452;452,0;18,55;18,402249850180993
453;453,0;19,32;18,40643128687983
454;454,0;18,9;18,410612723578662
455;455,0;18,63;18,414794160277495
456;456,0;19,38;18,418975596976328
457;457,0;19,28;18,42315703367516
458;458,0;19,67;18,427338470373993
459;459,0;18,76;18,431519907072826
460;460,0;18,75;18,43570134377166
461;461,0;17,97;18,439882780470494
462;462,0;17,38;18,444064217169327
463;463,0;18,98;18,44824565386816
464;464,0;19,17;18,452427090566992
465;465,0;19,49;18,456608527265825
466;466,0;19,22;18,46078996396466
467;467,0;19,0;18,464971400663494
468;468,0;19,28;18,469152837362326
469;469,0;19,18;18,47333427406116
470;470,0;19,14;18,47751571075999
471;471,0;18,72;18,481697147458824
472;472,0;18,8;18,48587858415766
473;473,0;19,21;18,490060020856493
474;474,0;18,8;18,494241457555326
475;475,0;18,99;18,49842289425416
476;476,0;19,29;18,50260433095299
477;477,0;18,79;18,506785767651824
478;478,0;18,54;18,510967204350656
479;479,0;18,71;18,515148641049493
480;480,0;18,95;18,519330077748325
481;481,0;19,0;18,523511514447158
482;482,0;18,07;18,52769295114599
