;Time;Fy;Model_strength
0;0,0;18,33;17,728112524558487
1;1,0;16,7;17,729891820124294
2;2,0;15,39;17,7316711156901
3;3,0;15,04;17,73345041125591
4;4,0;14,89;17,735229706821716
5;5,0;15,11;17,737009002387524
6;6,0;15,27;17,73878829795333
7;7,0;15,4;17,74056759351914
8;8,0;15,76;17,74234688908495
9;9,0;15,62;17,744126184650757
10;10,0;15,28;17,745905480216564
11;11,0;15,47;17,74768477578237
12;12,0;15,9;17,74946407134818
13;13,0;15,54;17,751243366913986
14;14,0;14,53;17,753022662479793
15;15,0;15,64;17,7548019580456
16;16,0;14,89;17,756581253611408
17;17,0;15,3;17,758360549177215
18;18,0;15,71;17,760139844743023
19;19,0;15,02;17,76191914030883
20;20,0;14,88;17,763698435874637
21;21,0;15,48;17,765477731440445
22;22,0;16,55;17,767257027006252
23;23,0;16,06;17,769036322572063
24;24,0;16,03;17,77081561813787
25;25,0;15,75;17,772594913703678
26;26,0;15,26;17,774374209269485
27;27,0;16,2;17,776153504835293
28;28,0;14,24;17,7779328004011
29;29,0;15,2;17,779712095966907
30;30,0;15,67;17,781491391532715
31;31,0;15,42;17,783270687098522
32;32,0;16,05;17,78504998266433
33;33,0;15,23;17,786829278230137
34;34,0;15,66;17,788608573795944
35;35,0;17,28;17,79038786936175
36;36,0;14,81;17,79216716492756
37;37,0;15,46;17,793946460493366
38;38,0;15,54;17,795725756059177
39;39,0;15,14;17,797505051624984
40;40,0;16,1;17,799284347190792
41;41,0;15,24;17,8010636427566
42;42,0;16,54;17,802842938322406
43;43,0;16,87;17,804622233888214
44;44,0;15,28;17,80640152945402
45;45,0;15,59;17,80818082501983
46;46,0;17,37;17,809960120585636
47;47,0;16,42;17,811739416151443
48;48,0;15,71;17,81351871171725
49;49,0;15,89;17,815298007283058
50;50,0;15,05;17,817077302848865
51;51,0;15,57;17,818856598414673
52;52,0;15,25;17,82063589398048
53;53,0;15,89;17,82241518954629
54;54,0;15,74;17,8241944851121
55;55,0;16,64;17,825973780677906
56;56,0;17,5;17,827753076243713
57;57,0;16,29;17,82953237180952
58;58,0;16,07;17,831311667375328
59;59,0;15,28;17,833090962941135
60;60,0;15,61;17,834870258506943
61;61,0;14,93;17,83664955407275
62;62,0;14,42;17,838428849638557
63;63,0;16,13;17,840208145204365
