;Time;Fy;Model_strength
0;0,0;16,27;26,29505324191218
1;2,0;13,47;26,287893984828106
2;3,0;14,65;26,284314356286067
3;6,0;21,83;26,273575470659956
4;7,0;25,61;26,26999584211792
5;8,0;26,09;26,266416213575884
6;9,0;25,51;26,262836585033845
7;10,0;24,67;26,259256956491807
8;11,0;25,85;26,255677327949773
9;12,0;25,12;26,252097699407734
10;13,0;25,23;26,248518070865696
11;14,0;24,93;26,24493844232366
12;15,0;24,74;26,241358813781623
13;16,0;25,31;26,237779185239585
14;17,0;25,22;26,23419955669755
15;18,0;24,62;26,230619928155512
16;19,0;24,55;26,227040299613474
17;20,0;25,66;26,22346067107144
18;21,0;24,74;26,2198810425294
19;22,0;24,7;26,216301413987363
20;23,0;25,16;26,21272178544533
21;24,0;24,3;26,20914215690329
22;25,0;25,75;26,205562528361252
23;26,0;24,07;26,201982899819217
24;27,0;25,01;26,19840327127718
25;28,0;24,89;26,19482364273514
26;29,0;25,13;26,191244014193106
27;30,0;24,36;26,18766438565107
28;31,0;23,97;26,18408475710903
29;32,0;24,9;26,180505128566995
30;33,0;25,5;26,176925500024957
31;34,0;25,08;26,17334587148292
32;35,0;24,47;26,169766242940884
33;36,0;25,66;26,166186614398846
34;37,0;24,37;26,162606985856808
35;38,0;25,98;26,159027357314773
36;39,0;25,62;26,155447728772735
37;40,0;24,51;26,151868100230697
38;41,0;25,34;26,148288471688662
39;42,0;25,07;26,144708843146624
40;43,0;23,16;26,141129214604586
41;44,0;24,64;26,13754958606255
42;45,0;25,95;26,133969957520513
43;46,0;24,25;26,130390328978475
44;47,0;25,59;26,12681070043644
45;48,0;25,03;26,123231071894402
46;49,0;25,68;26,119651443352364
47;50,0;25,01;26,11607181481033
48;51,0;25,41;26,11249218626829
49;52,0;25,94;26,108912557726253
50;53,0;25,76;26,105332929184218
51;54,0;26,65;26,10175330064218
52;55,0;26,35;26,098173672100142
53;56,0;26,53;26,094594043558107
54;57,0;25,88;26,09101441501607
55;58,0;24,31;26,08743478647403
56;59,0;26,49;26,083855157931996
57;60,0;25,94;26,080275529389958
58;61,0;26,94;26,07669590084792
59;62,0;26,15;26,073116272305885
60;63,0;25,63;26,069536643763847
61;64,0;25,94;26,06595701522181
62;65,0;25,49;26,062377386679774
63;66,0;26,17;26,058797758137736
64;67,0;26,3;26,055218129595698
65;68,0;26,4;26,051638501053663
66;69,0;25,8;26,048058872511625
67;70,0;25,02;26,044479243969587
68;71,0;26,94;26,040899615427552
69;72,0;21,15;26,037319986885514
70;73,0;16,51;26,033740358343476
71;76,0;13,39;26,023001472717365
72;81,0;24,66;26,00510333000718
73;82,0;24,11;26,001523701465143
74;83,0;23,66;25,997944072923108
75;84,0;24,3;25,99436444438107
76;85,0;24,02;25,99078481583903
77;86,0;25,25;25,987205187296997
78;87,0;23,32;25,98362555875496
79;88,0;23,2;25,98004593021292
80;89,0;23,2;25,976466301670886
81;90,0;23,1;25,972886673128848
82;91,0;22,1;25,96930704458681
83;92,0;23,87;25,965727416044775
84;93,0;23,57;25,962147787502737
85;94,0;24,19;25,9585681589607
86;95,0;22,54;25,954988530418664
87;96,0;23,47;25,951408901876626
88;97,0;23,15;25,947829273334587
89;98,0;24,62;25,944249644792553
90;99,0;22,88;25,940670016250515
91;100,0;23,97;25,937090387708476
92;101,0;23,1;25,93351075916644
93;102,0;23,53;25,929931130624404
94;103,0;23,27;25,926351502082365
95;104,0;23,81;25,92277187354033
96;105,0;23,05;25,919192244998293
97;106,0;23,44;25,915612616456254
98;107,0;23,54;25,91203298791422
99;108,0;23,1;25,90845335937218
100;109,0;23,87;25,904873730830143
101;110,0;23,68;25,90129410228811
102;111,0;22,65;25,89771447374607
103;112,0;22,51;25,894134845204032
104;113,0;22,63;25,890555216661998
105;114,0;23,74;25,88697558811996
106;115,0;23,15;25,88339595957792
107;116,0;23,85;25,879816331035887
108;117,0;23,76;25,87623670249385
109;118,0;24,25;25,87265707395181
110;119,0;24,23;25,869077445409776
111;120,0;22,72;25,865497816867737
112;121,0;24,01;25,8619181883257
113;122,0;23,12;25,858338559783665
114;123,0;23,56;25,854758931241626
115;124,0;24,34;25,851179302699588
116;125,0;23,59;25,847599674157554
117;126,0;24,15;25,844020045615515
118;127,0;23,85;25,840440417073477
119;128,0;23,28;25,836860788531443
120;129,0;22,55;25,833281159989404
121;130,0;25,25;25,829701531447366
122;131,0;24,12;25,82612190290533
123;132,0;23,82;25,822542274363293
124;133,0;24,82;25,818962645821255
125;134,0;23,86;25,81538301727922
126;135,0;24,51;25,811803388737182
127;136,0;23,67;25,808223760195144
128;137,0;24,12;25,80464413165311
129;138,0;25,47;25,80106450311107
130;139,0;23,01;25,797484874569033
131;140,0;24,39;25,793905246027
132;141,0;23,34;25,79032561748496
133;142,0;24,04;25,786745988942922
134;143,0;26,03;25,783166360400887
135;144,0;23,78;25,77958673185885
136;145,0;23,93;25,77600710331681
137;146,0;23,25;25,772427474774776
138;147,0;20,06;25,768847846232738
139;148,0;14,11;25,7652682176907
140;150,0;15,35;25,758108960606627
141;153,0;13,01;25,747370074980516
142;154,0;14,79;25,743790446438478
143;158,0;23,05;25,729471932270332
144;159,0;24,62;25,725892303728294
145;160,0;23,67;25,722312675186256
146;161,0;23,08;25,71873304664422
147;162,0;23,68;25,715153418102183
148;163,0;23,29;25,711573789560145
149;164,0;22,79;25,70799416101811
150;165,0;23,9;25,704414532476072
151;166,0;23,17;25,700834903934034
152;167,0;24,13;25,697255275392
153;168,0;21,96;25,69367564684996
154;169,0;23,31;25,690096018307923
155;170,0;23,65;25,686516389765888
156;171,0;23,9;25,68293676122385
157;172,0;22,19;25,67935713268181
158;173,0;23,72;25,675777504139777
159;174,0;22,91;25,67219787559774
160;175,0;23,19;25,6686182470557
161;176,0;23,91;25,665038618513666
162;177,0;22,88;25,661458989971628
163;178,0;23,24;25,65787936142959
164;179,0;22,97;25,654299732887555
165;180,0;22,73;25,650720104345517
166;181,0;22,97;25,64714047580348
