;Time;Voltage;Temperature;Model_temp
0;0,0;6,58;158,45;157,44462242240218
1;1,0;7,24;174,34;157,46173121691518
2;2,0;6,52;157,0;157,4788400114282
3;3,0;6,82;164,23;157,4959488059412
4;4,0;6,74;162,3;157,5130576004542
5;5,0;6,73;162,06;157,5301663949672
6;6,0;6,8;163,74;157,54727518948022
7;7,0;7,01;168,8;157,5643839839932
8;8,0;7,46;179,64;157,5814927785062
9;9,0;7,95;191,44;157,5986015730192
10;10,0;7,35;176,99;157,61571036753222
11;11,0;7,66;184,45;157,63281916204522
12;12,0;7,16;172,41;157,64992795655823
13;13,0;7,63;183,73;157,66703675107124
14;14,0;7,64;183,97;157,68414554558424
15;15,0;7,9;190,23;157,70125434009725
16;16,0;8,42;202,75;157,71836313461026
17;17,0;8,34;200,83;157,73547192912326
18;18,0;8,14;196,01;157,75258072363627
19;19,0;7,8;187,82;157,76968951814928
20;20,0;7,87;189,51;157,78679831266228
21;21,0;8,42;202,75;157,80390710717526
22;22,0;8,25;198,66;157,82101590168827
23;23,0;8,09;194,81;157,83812469620128
24;24,0;8,28;199,38;157,85523349071428
25;25,0;7,62;183,49;157,8723422852273
26;26,0;7,37;177,47;157,8894510797403
27;27,0;8,26;198,9;157,9065598742533
28;28,0;8,3;199,86;157,9236686687663
29;29,0;8,32;200,35;157,94077746327932
30;30,0;8,14;196,01;157,95788625779232
31;31,0;7,72;185,9;157,97499505230533
32;32,0;7,77;187,1;157,99210384681834
33;33,0;8,17;196,73;158,00921264133135
34;34,0;8,42;202,75;158,02632143584435
35;35,0;8,14;196,01;158,04343023035733
36;36,0;8,47;203,96;158,06053902487034
37;37,0;8,22;197,94;158,07764781938334
38;38,0;8,13;195,77;158,09475661389635
39;39,0;8,32;200,35;158,11186540840936
40;40,0;8,23;198,18;158,12897420292236
41;41,0;8,03;193,36;158,14608299743537
42;42,0;7,83;188,55;158,16319179194838
43;43,0;8,03;193,36;158,18030058646139
44;44,0;8,0;192,64;158,1974093809744
45;45,0;8,3;199,86;158,2145181754874
46;46,0;8,92;214,79;158,2316269700004
47;47,0;8,24;198,42;158,2487357645134
48;48,0;8,58;206,61;158,2658445590264
49;49,0;8,11;195,29;158,2829533535394
50;50,0;8,43;202,99;158,3000621480524
51;51,0;8,02;193,12;158,3171709425654
52;52,0;8,32;200,35;158,33427973707842
53;53,0;9,61;231,41;158,35138853159143
54;54,0;8,29;199,62;158,36849732610443
55;55,0;7,97;191,92;158,38560612061744
56;56,0;8,31;200,1;158,40271491513045
57;57,0;8,5;204,68;158,41982370964345
58;58,0;8,25;198,66;158,43693250415646
