;Time;Voltage;Temperature;Model_temp
0;0,0;6,02;144,96;153,12639045085862
1;1,0;6,01;144,72;153,13930212998224
2;2,0;6,02;144,96;153,15221380910583
3;3,0;6,02;144,96;153,16512548822945
4;4,0;6,06;145,92;153,17803716735307
5;5,0;6,04;145,44;153,1909488464767
6;6,0;6,0;144,48;153,20386052560028
7;7,0;6,03;145,2;153,2167722047239
8;8,0;6,07;146,17;153,2296838838475
9;9,0;6,07;146,17;153,2425955629711
10;10,0;6,03;145,2;153,25550724209472
11;11,0;6,09;146,65;153,26841892121834
12;12,0;6,09;146,65;153,28133060034196
13;13,0;6,07;146,17;153,29424227946555
14;14,0;6,11;147,13;153,30715395858917
15;15,0;6,05;145,68;153,3200656377128
16;16,0;6,08;146,41;153,33297731683638
17;17,0;6,09;146,65;153,34588899596
18;18,0;6,12;147,37;153,35880067508361
19;19,0;6,14;147,85;153,37171235420723
20;20,0;6,12;147,37;153,38462403333082
21;21,0;6,12;147,37;153,39753571245444
22;22,0;6,04;145,44;153,41044739157806
23;23,0;6,11;147,13;153,42335907070165
24;24,0;6,05;145,68;153,43627074982527
25;25,0;6,13;147,61;153,4491824289489
26;26,0;6,04;145,44;153,4620941080725
27;27,0;6,1;146,89;153,4750057871961
28;28,0;6,03;145,2;153,48791746631971
29;29,0;6,06;145,92;153,50082914544333
30;30,0;6,04;145,44;153,51374082456692
31;31,0;6,07;146,17;153,52665250369054
32;32,0;6,02;144,96;153,53956418281416
33;33,0;6,19;149,06;153,55247586193778
34;34,0;6,21;149,54;153,56538754106137
35;35,0;6,14;147,85;153,578299220185
36;36,0;6,15;148,09;153,5912108993086
37;37,0;6,13;147,61;153,6041225784322
38;38,0;6,13;147,61;153,61703425755582
39;39,0;6,06;145,92;153,62994593667943
40;40,0;6,16;148,33;153,64285761580305
41;41,0;6,01;144,72;153,65576929492664
42;42,0;6,08;146,41;153,66868097405026
43;43,0;6,18;148,81;153,68159265317388
44;44,0;6,25;150,5;153,69450433229747
45;45,0;7,47;179,88;153,7074160114211
46;46,0;6,11;147,13;153,7203276905447
47;47,0;6,14;147,85;153,73323936966833
48;48,0;6,12;147,37;153,74615104879192
49;49,0;6,18;148,81;153,75906272791553
50;50,0;6,1;146,89;153,77197440703915
51;51,0;6,13;147,61;153,78488608616274
52;52,0;6,06;145,92;153,79779776528636
53;53,0;6,07;146,17;153,81070944440998
54;54,0;6,11;147,13;153,8236211235336
55;55,0;6,18;148,81;153,8365328026572
56;56,0;6,1;146,89;153,8494444817808
57;57,0;6,28;151,22;153,86235616090443
58;58,0;6,24;150,26;153,87526784002802
59;59,0;6,26;150,74;153,88817951915163
60;60,0;6,33;152,43;153,90109119827525
61;61,0;6,13;147,61;153,91400287739887
62;62,0;6,18;148,81;153,92691455652246
63;63,0;6,22;149,78;153,93982623564608
64;64,0;6,19;149,06;153,9527379147697
65;65,0;6,33;152,43;153,9656495938933
66;66,0;6,11;147,13;153,9785612730169
67;67,0;6,24;150,26;153,99147295214053
68;68,0;6,2;149,3;154,00438463126414
69;69,0;6,16;148,33;154,01729631038774
70;70,0;6,13;147,61;154,03020798951135
71;71,0;6,19;149,06;154,04311966863497
72;72,0;6,28;151,22;154,05603134775856
73;73,0;6,15;148,09;154,06894302688218
74;74,0;6,25;150,5;154,0818547060058
75;75,0;6,16;148,33;154,09476638512942
76;76,0;6,29;151,46;154,107678064253
77;77,0;6,23;150,02;154,12058974337663
78;78,0;6,24;150,26;154,13350142250025
79;79,0;6,35;152,91;154,14641310162384
80;80,0;6,14;147,85;154,15932478074745
81;81,0;6,35;152,91;154,17223645987107
82;82,0;6,29;151,46;154,1851481389947
83;83,0;6,31;151,94;154,19805981811828
84;84,0;6,37;153,39;154,2109714972419
85;85,0;6,31;151,94;154,22388317636552
86;86,0;6,18;148,81;154,2367948554891
87;87,0;6,48;156,04;154,24970653461273
88;88,0;6,42;154,59;154,26261821373635
89;89,0;6,29;151,46;154,27552989285994
90;90,0;6,34;152,67;154,28844157198355
91;91,0;6,22;149,78;154,30135325110717
92;92,0;6,25;150,5;154,3142649302308
93;93,0;6,2;149,3;154,32717660935438
94;94,0;6,24;150,26;154,340088288478
95;95,0;6,23;150,02;154,35299996760162
96;96,0;6,24;150,26;154,36591164672524
97;97,0;6,27;150,98;154,37882332584883
98;98,0;6,21;149,54;154,39173500497245
99;99,0;6,25;150,5;154,40464668409606
100;100,0;6,31;151,94;154,41755836321965
101;101,0;6,49;156,28;154,43047004234327
102;102,0;6,25;150,5;154,4433817214669
103;103,0;7,49;180,36;154,45629340059048
104;104,0;10,4;250,43;154,4692050797141
105;105,0;6,12;147,37;154,48211675883772
106;106,0;6,1;146,89;154,49502843796134
107;107,0;6,09;146,65;154,50794011708493
108;108,0;6,15;148,09;154,52085179620855
109;109,0;6,15;148,09;154,53376347533217
110;110,0;6,13;147,61;154,54667515445576
111;111,0;6,04;145,44;154,55958683357937
112;112,0;6,12;147,37;154,572498512703
113;113,0;6,2;149,3;154,5854101918266
114;114,0;6,16;148,33;154,5983218709502
115;115,0;6,19;149,06;154,61123355007382
116;116,0;6,18;148,81;154,62414522919744
117;117,0;6,32;152,19;154,63705690832103
118;118,0;6,26;150,74;154,64996858744465
119;119,0;6,26;150,74;154,66288026656827
120;120,0;6,22;149,78;154,67579194569188
121;121,0;6,21;149,54;154,68870362481547
122;122,0;6,33;152,43;154,7016153039391
123;123,0;6,29;151,46;154,7145269830627
124;124,0;6,32;152,19;154,7274386621863
125;125,0;6,28;151,22;154,74035034130992
126;126,0;6,24;150,26;154,75326202043354
127;127,0;6,29;151,46;154,76617369955716
128;128,0;6,27;150,98;154,77908537868075
129;129,0;6,29;151,46;154,79199705780437
130;130,0;6,14;147,85;154,80490873692798
131;131,0;6,36;153,15;154,81782041605157
132;132,0;6,29;151,46;154,8307320951752
133;133,0;6,42;154,59;154,8436437742988
134;134,0;6,4;154,11;154,85655545342243
135;135,0;6,51;156,76;154,86946713254602
136;136,0;6,41;154,35;154,88237881166964
