;Time;Voltage;Temperature;Model_temp
0;0,0;7,38;177,71;163,33157464468928
1;1,0;6,62;159,41;163,3413320384252
2;2,0;6,12;147,37;163,35108943216116
3;3,0;6,1;146,89;163,36084682589708
4;4,0;6,06;145,92;163,370604219633
5;5,0;6,04;145,44;163,38036161336893
6;6,0;6,07;146,17;163,3901190071049
7;7,0;6,03;145,2;163,3998764008408
8;8,0;6,08;146,41;163,40963379457673
9;9,0;6,03;145,2;163,41939118831266
10;10,0;6,07;146,17;163,4291485820486
11;11,0;6,06;145,92;163,43890597578454
12;12,0;6,06;145,92;163,44866336952046
13;13,0;6,09;146,65;163,45842076325638
14;14,0;6,05;145,68;163,46817815699234
15;15,0;6,06;145,92;163,47793555072826
16;16,0;6,15;148,09;163,4876929444642
17;17,0;6,1;146,89;163,49745033820014
18;18,0;6,09;146,65;163,50720773193606
19;19,0;6,04;145,44;163,516965125672
20;20,0;6,02;144,96;163,5267225194079
21;21,0;6,07;146,17;163,53647991314386
22;22,0;6,14;147,85;163,5462373068798
23;23,0;6,02;144,96;163,5559947006157
24;24,0;6,07;146,17;163,56575209435164
25;25,0;6,13;147,61;163,5755094880876
26;26,0;6,13;147,61;163,58526688182351
27;27,0;6,11;147,13;163,59502427555944
28;28,0;6,05;145,68;163,60478166929536
29;29,0;6,21;149,54;163,61453906303132
30;30,0;6,13;147,61;163,62429645676724
31;31,0;6,07;146,17;163,63405385050316
32;32,0;6,26;150,74;163,64381124423912
33;33,0;6,2;149,3;163,65356863797504
34;34,0;6,13;147,61;163,66332603171097
35;35,0;6,11;147,13;163,6730834254469
36;36,0;6,19;149,06;163,68284081918284
37;37,0;6,22;149,78;163,69259821291877
38;38,0;6,24;150,26;163,7023556066547
39;39,0;6,12;147,37;163,71211300039062
40;40,0;6,07;146,17;163,72187039412657
41;41,0;6,05;145,68;163,7316277878625
42;42,0;6,1;146,89;163,74138518159842
43;43,0;6,08;146,41;163,75114257533434
44;44,0;6,14;147,85;163,7608999690703
45;45,0;6,02;144,96;163,77065736280622
46;46,0;6,13;147,61;163,78041475654214
47;47,0;6,11;147,13;163,7901721502781
48;48,0;6,1;146,89;163,79992954401402
49;49,0;6,12;147,37;163,80968693774994
50;50,0;6,17;148,57;163,81944433148587
51;51,0;6,12;147,37;163,82920172522182
52;52,0;6,2;149,3;163,83895911895775
53;53,0;6,13;147,61;163,84871651269367
54;54,0;6,03;145,2;163,8584739064296
55;55,0;6,16;148,33;163,86823130016555
56;56,0;6,02;144,96;163,87798869390147
57;57,0;6,13;147,61;163,8877460876374
58;58,0;6,02;144,96;163,89750348137332
59;59,0;6,19;149,06;163,90726087510927
60;60,0;6,15;148,09;163,9170182688452
61;61,0;6,13;147,61;163,92677566258112
62;62,0;6,01;144,72;163,93653305631707
63;63,0;6,19;149,06;163,946290450053
64;64,0;6,04;145,44;163,95604784378892
65;65,0;6,19;149,06;163,96580523752485
66;66,0;6,12;147,37;163,9755626312608
67;67,0;6,16;148,33;163,98532002499672
68;68,0;6,07;146,17;163,99507741873265
69;69,0;6,02;144,96;164,00483481246857
70;70,0;6,25;150,5;164,01459220620453
71;71,0;6,12;147,37;164,02434959994045
72;72,0;6,17;148,57;164,03410699367637
73;73,0;6,11;147,13;164,0438643874123
74;74,0;6,21;149,54;164,05362178114825
75;75,0;6,1;146,89;164,06337917488418
76;76,0;6,23;150,02;164,0731365686201
77;77,0;6,16;148,33;164,08289396235605
78;78,0;6,11;147,13;164,09265135609198
79;79,0;6,3;151,7;164,1024087498279
80;80,0;6,14;147,85;164,11216614356383
81;81,0;6,26;150,74;164,12192353729978
82;82,0;6,14;147,85;164,1316809310357
83;83,0;6,33;152,43;164,14143832477163
84;84,0;6,29;151,46;164,15119571850755
85;85,0;6,1;146,89;164,1609531122435
86;86,0;6,31;151,94;164,17071050597943
87;87,0;6,24;150,26;164,18046789971535
88;88,0;6,17;148,57;164,19022529345128
89;89,0;6,25;150,5;164,19998268718723
90;90,0;6,18;148,81;164,20974008092315
91;91,0;6,44;155,08;164,21949747465908
92;92,0;6,28;151,22;164,22925486839503
93;93,0;6,37;153,39;164,23901226213096
94;94,0;6,38;153,63;164,24876965586688
95;95,0;6,25;150,5;164,2585270496028
96;96,0;6,16;148,33;164,26828444333876
97;97,0;6,18;148,81;164,27804183707468
98;98,0;6,08;146,41;164,2877992308106
99;99,0;6,25;150,5;164,29755662454653
100;100,0;6,09;146,65;164,30731401828248
101;101,0;6,23;150,02;164,3170714120184
102;102,0;6,11;147,13;164,32682880575433
103;103,0;6,3;151,7;164,33658619949026
104;104,0;6,13;147,61;164,3463435932262
105;105,0;6,12;147,37;164,35610098696213
106;106,0;6,38;153,63;164,36585838069806
107;107,0;6,17;148,57;164,375615774434
108;108,0;6,22;149,78;164,38537316816993
109;109,0;6,32;152,19;164,39513056190586
110;110,0;6,2;149,3;164,40488795564178
111;111,0;6,37;153,39;164,41464534937774
112;112,0;6,19;149,06;164,42440274311366
113;113,0;6,31;151,94;164,43416013684958
114;114,0;6,25;150,5;164,4439175305855
115;115,0;6,14;147,85;164,45367492432146
