;Time;Voltage;Temperature;Model_temp
0;0,0;8,1;195,05;157,37518342559673
1;1,0;18,15;437,05;157,38494277847627
2;2,0;10,19;245,38;157,39470213135579
3;3,0;11,88;286,07;157,40446148423533
4;4,0;8,08;194,57;157,41422083711484
5;5,0;6,15;148,09;157,42398018999438
6;6,0;6,33;152,43;157,4337395428739
7;7,0;6,17;148,57;157,44349889575344
8;8,0;6,12;147,37;157,45325824863298
9;9,0;6,31;151,94;157,4630176015125
10;10,0;6,11;147,13;157,47277695439203
11;11,0;6,33;152,43;157,48253630727154
12;12,0;6,08;146,41;157,4922956601511
13;13,0;6,27;150,98;157,5020550130306
14;14,0;6,45;155,32;157,51181436591014
15;15,0;6,21;149,54;157,52157371878968
16;16,0;6,28;151,22;157,5313330716692
17;17,0;6,27;150,98;157,54109242454874
18;18,0;6,29;151,46;157,55085177742825
19;19,0;6,41;154,35;157,5606111303078
20;20,0;6,2;149,3;157,5703704831873
21;21,0;6,42;154,59;157,58012983606685
22;22,0;6,24;150,26;157,5898891889464
23;23,0;6,32;152,19;157,5996485418259
24;24,0;6,48;156,04;157,60940789470544
25;25,0;6,25;150,5;157,61916724758495
26;26,0;6,42;154,59;157,6289266004645
27;27,0;6,33;152,43;157,63868595334404
28;28,0;6,43;154,83;157,64844530622355
29;29,0;6,39;153,87;157,6582046591031
30;30,0;6,31;151,94;157,6679640119826
31;31,0;6,49;156,28;157,67772336486215
32;32,0;6,26;150,74;157,68748271774166
33;33,0;6,37;153,39;157,6972420706212
34;34,0;6,44;155,08;157,70700142350074
35;35,0;6,41;154,35;157,71676077638026
36;36,0;6,55;157,72;157,7265201292598
37;37,0;6,35;152,91;157,7362794821393
38;38,0;6,52;157,0;157,74603883501885
39;39,0;6,4;154,11;157,75579818789836
40;40,0;6,46;155,56;157,7655575407779
41;41,0;6,47;155,8;157,77531689365745
42;42,0;6,45;155,32;157,78507624653696
43;43,0;6,51;156,76;157,7948355994165
44;44,0;6,42;154,59;157,80459495229601
45;45,0;6,39;153,87;157,81435430517556
46;46,0;6,45;155,32;157,82411365805507
47;47,0;6,33;152,43;157,8338730109346
48;48,0;6,56;157,96;157,84363236381415
49;49,0;6,29;151,46;157,85339171669366
50;50,0;6,43;154,83;157,8631510695732
51;51,0;6,45;155,32;157,87291042245272
52;52,0;6,3;151,7;157,88266977533226
53;53,0;6,43;154,83;157,89242912821177
54;54,0;6,17;148,57;157,90218848109131
55;55,0;6,37;153,39;157,91194783397086
56;56,0;6,32;152,19;157,92170718685037
57;57,0;6,32;152,19;157,9314665397299
58;58,0;6,41;154,35;157,94122589260942
59;59,0;6,24;150,26;157,95098524548897
60;60,0;6,32;152,19;157,96074459836848
61;61,0;6,45;155,32;157,97050395124802
62;62,0;6,28;151,22;157,98026330412756
63;63,0;6,39;153,87;157,99002265700707
64;64,0;6,29;151,46;157,99978200988662
65;65,0;6,4;154,11;158,00954136276613
66;66,0;6,24;150,26;158,01930071564567
67;67,0;6,48;156,04;158,02906006852518
68;68,0;6,35;152,91;158,03881942140472
69;69,0;6,31;151,94;158,04857877428427
70;70,0;6,26;150,74;158,05833812716378
71;71,0;6,13;147,61;158,06809748004332
72;72,0;6,49;156,28;158,07785683292283
73;73,0;6,27;150,98;158,08761618580237
74;74,0;6,33;152,43;158,09737553868192
75;75,0;6,19;149,06;158,10713489156143
76;76,0;6,08;146,41;158,11689424444097
77;77,0;6,35;152,91;158,12665359732048
78;78,0;6,15;148,09;158,13641295020003
79;79,0;6,19;149,06;158,14617230307954
80;80,0;9,76;235,02;158,15593165595908
81;81,0;10,3;248,02;158,16569100883862
82;82,0;8,91;214,55;158,17545036171813
83;83,0;11,41;274,75;158,18520971459768
84;84,0;7,97;191,92;158,1949690674772
85;85,0;6,71;161,58;158,20472842035673
86;86,0;6,25;150,5;158,21448777323624
87;87,0;6,29;151,46;158,22424712611578
88;88,0;6,12;147,37;158,23400647899533
89;89,0;6,35;152,91;158,24376583187484
90;90,0;6,17;148,57;158,25352518475438
91;91,0;6,33;152,43;158,2632845376339
92;92,0;6,34;152,67;158,27304389051343
93;93,0;6,19;149,06;158,28280324339295
94;94,0;6,36;153,15;158,2925625962725
95;95,0;6,22;149,78;158,30232194915203
96;96,0;6,29;151,46;158,31208130203154
97;97,0;6,39;153,87;158,32184065491109
98;98,0;6,26;150,74;158,3316000077906
99;99,0;6,47;155,8;158,34135936067014
100;100,0;6,29;151,46;158,35111871354965
101;101,0;6,29;151,46;158,3608780664292
102;102,0;6,44;155,08;158,37063741930874
103;103,0;6,3;151,7;158,38039677218825
104;104,0;6,45;155,32;158,3901561250678
105;105,0;6,31;151,94;158,3999154779473
106;106,0;6,45;155,32;158,40967483082684
107;107,0;6,42;154,59;158,41943418370636
108;108,0;6,35;152,91;158,4291935365859
109;109,0;6,51;156,76;158,43895288946544
110;110,0;6,4;154,11;158,44871224234495
111;111,0;6,44;155,08;158,4584715952245
112;112,0;6,45;155,32;158,468230948104
113;113,0;6,36;153,15;158,47799030098355
114;114,0;6,55;157,72;158,48774965386306
115;115,0;6,34;152,67;158,4975090067426
116;116,0;6,57;158,21;158,50726835962215
117;117,0;6,43;154,83;158,51702771250166
118;118,0;6,55;157,72;158,5267870653812
119;119,0;6,57;158,21;158,5365464182607
120;120,0;6,48;156,04;158,54630577114025
121;121,0;6,54;157,48;158,5560651240198
122;122,0;6,44;155,08;158,5658244768993
123;123,0;6,58;158,45;158,57558382977885
124;124,0;6,55;157,72;158,58534318265836
125;125,0;6,42;154,59;158,5951025355379
126;126,0;6,52;157,0;158,60486188841742
127;127,0;6,44;155,08;158,61462124129696
128;128,0;6,46;155,56;158,6243805941765
129;129,0;6,46;155,56;158,634139947056
130;130,0;6,4;154,11;158,64389929993555
131;131,0;6,55;157,72;158,65365865281507
132;132,0;6,39;153,87;158,6634180056946
133;133,0;6,55;157,72;158,67317735857412
134;134,0;6,41;154,35;158,68293671145366
135;135,0;6,53;157,24;158,6926960643332
136;136,0;6,56;157,96;158,70245541721272
137;137,0;6,29;151,46;158,71221477009226
138;138,0;6,47;155,8;158,72197412297177
139;139,0;6,5;156,52;158,7317334758513
140;140,0;6,47;155,8;158,74149282873083
141;141,0;6,53;157,24;158,75125218161037
142;142,0;6,42;154,59;158,7610115344899
143;143,0;6,54;157,48;158,77077088736942
144;144,0;6,47;155,8;158,78053024024896
145;145,0;6,6;158,93;158,79028959312848
146;146,0;6,59;158,69;158,80004894600802
147;147,0;6,39;153,87;158,80980829888753
148;148,0;6,7;161,34;158,81956765176707
149;149,0;6,43;154,83;158,82932700464661
150;150,0;6,53;157,24;158,83908635752613
151;151,0;6,48;156,04;158,84884571040567
152;152,0;6,49;156,28;158,85860506328518
153;153,0;6,49;156,28;158,86836441616472
154;154,0;6,43;154,83;158,87812376904424
155;155,0;6,58;158,45;158,88788312192378
