;Time;Voltage;Temperature;Model_temp
0;0,0;6,02;144,96;168,4210325101405
1;1,0;6,31;151,94;168,4341648135175
2;2,0;6,04;145,44;168,44729711689453
3;3,0;6,26;150,74;168,46042942027154
4;4,0;6,06;145,92;168,47356172364854
5;5,0;6,0;144,48;168,48669402702558
6;6,0;6,0;144,48;168,49982633040258
7;7,0;6,08;146,41;168,5129586337796
8;8,0;8,56;206,12;168,52609093715662
9;9,0;7,37;177,47;168,53922324053363
10;10,0;6,61;159,17;168,55235554391064
11;11,0;6,38;153,63;168,56548784728767
12;12,0;6,17;148,57;168,57862015066468
13;13,0;6,16;148,33;168,59175245404168
14;14,0;6,06;145,92;168,60488475741872
15;15,0;6,17;148,57;168,61801706079572
16;16,0;6,29;151,46;168,63114936417273
17;17,0;6,24;150,26;168,64428166754976
18;18,0;6,29;151,46;168,65741397092677
19;19,0;6,27;150,98;168,67054627430377
20;20,0;6,32;152,19;168,6836785776808
21;21,0;6,42;154,59;168,69681088105781
22;22,0;6,39;153,87;168,70994318443482
23;23,0;6,41;154,35;168,72307548781185
24;24,0;6,44;155,08;168,73620779118886
25;25,0;6,37;153,39;168,74934009456587
26;26,0;6,54;157,48;168,7624723979429
27;27,0;6,46;155,56;168,7756047013199
28;28,0;6,51;156,76;168,7887370046969
29;29,0;6,47;155,8;168,80186930807395
30;30,0;6,51;156,76;168,81500161145095
31;31,0;6,56;157,96;168,82813391482796
32;32,0;6,54;157,48;168,841266218205
33;33,0;6,58;158,45;168,854398521582
34;34,0;6,63;159,65;168,867530824959
35;35,0;6,56;157,96;168,88066312833604
36;36,0;6,61;159,17;168,89379543171304
37;37,0;6,6;158,93;168,90692773509005
38;38,0;6,58;158,45;168,92006003846708
39;39,0;6,66;160,37;168,9331923418441
40;40,0;6,55;157,72;168,9463246452211
41;41,0;6,56;157,96;168,95945694859813
42;42,0;6,72;161,82;168,97258925197514
43;43,0;6,61;159,17;168,98572155535214
44;44,0;6,74;162,3;168,99885385872918
45;45,0;6,78;163,26;169,01198616210618
46;46,0;6,65;160,13;169,0251184654832
47;47,0;6,83;164,47;169,03825076886022
48;48,0;6,75;162,54;169,05138307223723
49;49,0;6,84;164,71;169,06451537561423
50;50,0;6,71;161,58;169,07764767899127
51;51,0;6,71;161,58;169,09077998236828
52;52,0;6,85;164,95;169,10391228574528
53;53,0;6,74;162,3;169,11704458912232
54;54,0;6,88;165,67;169,13017689249932
55;55,0;6,78;163,26;169,14330919587633
56;56,0;6,72;161,82;169,15644149925336
57;57,0;6,9;166,15;169,16957380263037
58;58,0;6,75;162,54;169,18270610600737
59;59,0;6,94;167,12;169,1958384093844
60;60,0;6,91;166,39;169,2089707127614
61;61,0;6,82;164,23;169,22210301613842
62;62,0;7,0;168,56;169,23523531951545
63;63,0;6,84;164,71;169,24836762289246
64;64,0;6,96;167,6;169,26149992626947
65;65,0;6,94;167,12;169,2746322296465
66;66,0;6,83;164,47;169,2877645330235
67;67,0;7,02;169,04;169,3008968364005
68;68,0;6,84;164,71;169,31402913977755
69;69,0;6,84;164,71;169,32716144315455
70;70,0;7,03;169,28;169,34029374653156
71;71,0;6,8;163,74;169,35342604990856
72;72,0;6,92;166,63;169,3665583532856
73;73,0;6,79;163,5;169,3796906566626
74;74,0;6,88;165,67;169,3928229600396
75;75,0;7,0;168,56;169,40595526341664
76;76,0;6,8;163,74;169,41908756679365
77;77,0;7,01;168,8;169,43221987017066
78;78,0;6,95;167,36;169,4453521735477
79;79,0;6,86;165,19;169,4584844769247
80;80,0;7,07;170,25;169,4716167803017
81;81,0;6,88;165,67;169,48474908367874
82;82,0;7,13;171,69;169,49788138705574
83;83,0;7,0;168,56;169,51101369043275
84;84,0;7,12;171,45;169,52414599380978
85;85,0;7,05;169,76;169,5372782971868
86;86,0;6,4;154,11;169,5504106005638
87;87,0;6,34;152,67;169,56354290394083
88;88,0;6,69;161,1;169,57667520731783
89;89,0;6,41;154,35;169,58980751069484
90;90,0;6,43;154,83;169,60293981407187
91;91,0;6,46;155,56;169,61607211744888
92;92,0;6,47;155,8;169,6292044208259
93;93,0;6,49;156,28;169,64233672420292
94;94,0;6,46;155,56;169,65546902757993
95;95,0;6,61;159,17;169,66860133095693
96;96,0;6,6;158,93;169,68173363433397
97;97,0;6,6;158,93;169,69486593771097
98;98,0;6,62;159,41;169,70799824108798
99;99,0;6,49;156,28;169,721130544465
100;100,0;6,72;161,82;169,73426284784202
101;101,0;6,63;159,65;169,74739515121902
102;102,0;6,74;162,3;169,76052745459606
103;103,0;6,63;159,65;169,77365975797306
104;104,0;6,68;160,85;169,78679206135007
105;105,0;6,76;162,78;169,7999243647271
106;106,0;6,66;160,37;169,8130566681041
107;107,0;6,9;166,15;169,82618897148112
108;108,0;6,79;163,5;169,83932127485815
109;109,0;6,64;159,89;169,85245357823516
110;110,0;6,88;165,67;169,86558588161216
111;111,0;6,7;161,34;169,8787181849892
112;112,0;6,86;165,19;169,8918504883662
113;113,0;6,72;161,82;169,9049827917432
114;114,0;6,64;159,89;169,91811509512024
115;115,0;6,9;166,15;169,93124739849725
116;116,0;6,81;163,98;169,94437970187425
117;117,0;6,91;166,39;169,9575120052513
118;118,0;6,86;165,19;169,9706443086283
119;119,0;6,82;164,23;169,9837766120053
120;120,0;6,96;167,6;169,99690891538233
121;121,0;6,82;164,23;170,01004121875934
122;122,0;6,97;167,84;170,02317352213635
123;123,0;6,94;167,12;170,03630582551338
124;124,0;6,87;165,43;170,0494381288904
125;125,0;6,97;167,84;170,0625704322674
126;126,0;6,93;166,87;170,07570273564443
127;127,0;6,96;167,6;170,08883503902143
128;128,0;7,03;169,28;170,10196734239844
129;129,0;6,89;165,91;170,11509964577547
130;130,0;6,97;167,84;170,12823194915248
131;131,0;6,9;166,15;170,14136425252948
132;132,0;7,08;170,49;170,15449655590652
133;133,0;7,0;168,56;170,16762885928352
134;134,0;6,88;165,67;170,18076116266053
135;135,0;7,07;170,25;170,19389346603757
136;136,0;6,9;166,15;170,20702576941457
137;137,0;6,94;167,12;170,22015807279158
138;138,0;6,87;165,43;170,2332903761686
139;139,0;6,82;164,23;170,24642267954562
140;140,0;7,02;169,04;170,25955498292262
