;Time;Voltage;Temperature;Model_temp
0;0,0;6,05;145,68;164,20691969159756
1;1,0;6,03;145,2;164,22139350835994
2;2,0;6,14;147,85;164,23586732512234
3;3,0;6,12;147,37;164,25034114188472
4;4,0;6,05;145,68;164,26481495864712
5;5,0;6,08;146,41;164,2792887754095
6;6,0;6,1;146,89;164,29376259217187
7;7,0;6,16;148,33;164,30823640893428
8;8,0;6,05;145,68;164,32271022569665
9;9,0;6,15;148,09;164,33718404245906
10;10,0;6,16;148,33;164,35165785922143
11;11,0;6,12;147,37;164,3661316759838
12;12,0;6,11;147,13;164,3806054927462
13;13,0;6,17;148,57;164,3950793095086
14;14,0;6,14;147,85;164,409553126271
15;15,0;6,24;150,26;164,42402694303337
16;16,0;6,13;147,61;164,43850075979574
17;17,0;6,2;149,3;164,45297457655815
18;18,0;6,18;148,81;164,46744839332052
19;19,0;6,07;146,17;164,48192221008293
20;20,0;6,23;150,02;164,4963960268453
21;21,0;6,2;149,3;164,51086984360768
22;22,0;6,12;147,37;164,52534366037008
23;23,0;6,21;149,54;164,53981747713246
24;24,0;6,19;149,06;164,55429129389486
25;25,0;6,29;151,46;164,56876511065724
26;26,0;6,14;147,85;164,58323892741961
27;27,0;6,24;150,26;164,59771274418202
28;28,0;6,23;150,02;164,6121865609444
29;29,0;6,1;146,89;164,6266603777068
30;30,0;6,44;155,08;164,64113419446917
31;31,0;6,05;145,68;164,65560801123155
32;32,0;6,24;150,26;164,67008182799395
33;33,0;6,2;149,3;164,68455564475633
34;34,0;6,22;149,78;164,69902946151873
35;35,0;6,14;147,85;164,7135032782811
36;36,0;6,27;150,98;164,72797709504349
37;37,0;6,1;146,89;164,7424509118059
38;38,0;6,26;150,74;164,75692472856826
39;39,0;6,19;149,06;164,77139854533067
40;40,0;6,2;149,3;164,78587236209304
41;41,0;6,27;150,98;164,80034617885542
42;42,0;6,21;149,54;164,81481999561782
43;43,0;6,12;147,37;164,8292938123802
44;44,0;6,31;151,94;164,8437676291426
45;45,0;6,1;146,89;164,85824144590498
46;46,0;6,39;153,87;164,87271526266736
47;47,0;6,17;148,57;164,88718907942976
48;48,0;6,43;154,83;164,90166289619214
49;49,0;6,35;152,91;164,91613671295454
50;50,0;6,1;146,89;164,93061052971692
51;51,0;6,39;153,87;164,9450843464793
52;52,0;6,4;154,11;164,9595581632417
53;53,0;6,04;145,44;164,97403198000407
54;54,0;6,02;144,96;164,98850579676647
55;55,0;6,03;145,2;165,00297961352885
56;56,0;6,05;145,68;165,01745343029125
57;57,0;6,1;146,89;165,03192724705363
58;58,0;6,11;147,13;165,046401063816
59;59,0;6,04;145,44;165,0608748805784
60;60,0;6,1;146,89;165,0753486973408
61;61,0;6,09;146,65;165,0898225141032
62;62,0;6,02;144,96;165,10429633086557
63;63,0;6,06;145,92;165,11877014762794
64;64,0;6,1;146,89;165,13324396439035
65;65,0;6,14;147,85;165,14771778115272
66;66,0;6,09;146,65;165,16219159791513
67;67,0;6,04;145,44;165,1766654146775
68;68,0;6,12;147,37;165,19113923143988
69;69,0;6,07;146,17;165,20561304820228
70;70,0;6,09;146,65;165,22008686496466
71;71,0;6,07;146,17;165,23456068172706
72;72,0;6,14;147,85;165,24903449848944
73;73,0;6,19;149,06;165,2635083152518
74;74,0;6,16;148,33;165,27798213201422
75;75,0;6,08;146,41;165,2924559487766
76;76,0;6,16;148,33;165,306929765539
77;77,0;6,01;144,72;165,32140358230137
78;78,0;6,18;148,81;165,33587739906375
79;79,0;6,25;150,5;165,35035121582615
80;80,0;6,26;150,74;165,36482503258853
81;81,0;6,14;147,85;165,37929884935093
82;82,0;6,17;148,57;165,3937726661133
83;83,0;6,6;158,93;165,40824648287568
84;84,0;6,3;151,7;165,4227202996381
85;85,0;6,31;151,94;165,43719411640046
86;86,0;6,34;152,67;165,45166793316287
87;87,0;6,24;150,26;165,46614174992524
88;88,0;6,21;149,54;165,48061556668762
89;89,0;6,24;150,26;165,49508938345002
90;90,0;6,09;146,65;165,5095632002124
91;91,0;6,26;150,74;165,5240370169748
92;92,0;6,31;151,94;165,53851083373718
93;93,0;6,21;149,54;165,55298465049955
94;94,0;6,32;152,19;165,56745846726196
95;95,0;6,11;147,13;165,58193228402433
96;96,0;6,45;155,32;165,59640610078674
97;97,0;6,25;150,5;165,6108799175491
98;98,0;6,3;151,7;165,6253537343115
99;99,0;6,27;150,98;165,6398275510739
100;100,0;6,15;148,09;165,65430136783627
101;101,0;6,4;154,11;165,66877518459867
102;102,0;6,29;151,46;165,68324900136105
103;103,0;6,36;153,15;165,69772281812342
104;104,0;6,35;152,91;165,71219663488583
105;105,0;6,31;151,94;165,7266704516482
106;106,0;6,46;155,56;165,7411442684106
107;107,0;6,3;151,7;165,75561808517298
108;108,0;6,46;155,56;165,77009190193536
109;109,0;6,27;150,98;165,78456571869776
110;110,0;6,3;151,7;165,79903953546014
111;111,0;6,48;156,04;165,81351335222254
112;112,0;6,33;152,43;165,82798716898492
113;113,0;6,46;155,56;165,8424609857473
114;114,0;6,34;152,67;165,8569348025097
115;115,0;6,48;156,04;165,87140861927207
116;116,0;6,47;155,8;165,88588243603448
117;117,0;6,42;154,59;165,90035625279685
118;118,0;6,54;157,48;165,91483006955923
119;119,0;6,15;148,09;165,92930388632163
120;120,0;6,42;154,59;165,943777703084
121;121,0;6,51;156,76;165,9582515198464
122;122,0;6,29;151,46;165,9727253366088
123;123,0;6,6;158,93;165,98719915337117
124;124,0;6,42;154,59;166,00167297013357
125;125,0;6,54;157,48;166,01614678689594
126;126,0;6,27;150,98;166,03062060365835
127;127,0;6,49;156,28;166,04509442042072
128;128,0;6,44;155,08;166,0595682371831
129;129,0;6,32;152,19;166,0740420539455
130;130,0;6,49;156,28;166,08851587070788
131;131,0;6,41;154,35;166,10298968747028
132;132,0;6,63;159,65;166,11746350423266
133;133,0;6,47;155,8;166,13193732099504
134;134,0;6,41;154,35;166,14641113775744
135;135,0;6,57;158,21;166,16088495451982
136;136,0;6,31;151,94;166,17535877128222
137;137,0;6,58;158,45;166,1898325880446
138;138,0;6,5;156,52;166,20430640480697
139;139,0;6,34;152,67;166,21878022156938
140;140,0;6,62;159,41;166,23325403833175
141;141,0;6,39;153,87;166,24772785509415
142;142,0;6,5;156,52;166,26220167185653
143;143,0;6,29;151,46;166,2766754886189
144;144,0;6,47;155,8;166,2911493053813
145;145,0;6,53;157,24;166,3056231221437
146;146,0;6,44;155,08;166,3200969389061
147;147,0;6,54;157,48;166,33457075566847
148;148,0;6,54;157,48;166,34904457243084
149;149,0;6,35;152,91;166,36351838919325
150;150,0;6,47;155,8;166,37799220595562
151;151,0;6,37;153,39;166,39246602271803
152;152,0;6,65;160,13;166,4069398394804
153;153,0;6,32;152,19;166,42141365624278
154;154,0;6,58;158,45;166,43588747300518
155;155,0;6,51;156,76;166,45036128976756
156;156,0;6,5;156,52;166,46483510652996
157;157,0;6,54;157,48;166,47930892329234
158;158,0;6,46;155,56;166,4937827400547
159;159,0;6,67;160,61;166,50825655681712
160;160,0;6,61;159,17;166,5227303735795
161;161,0;6,91;166,39;166,5372041903419
162;162,0;6,62;159,41;166,55167800710427
163;163,0;6,73;162,06;166,56615182386668
164;164,0;6,45;155,32;166,58062564062905
165;165,0;6,55;157,72;166,59509945739143
166;166,0;6,56;157,96;166,60957327415383
167;167,0;6,46;155,56;166,6240470909162
168;168,0;6,61;159,17;166,6385209076786
169;169,0;6,49;156,28;166,652994724441
170;170,0;6,71;161,58;166,66746854120336
171;171,0;6,55;157,72;166,68194235796577
172;172,0;6,56;157,96;166,69641617472814
173;173,0;6,74;162,3;166,71088999149055
174;174,0;6,49;156,28;166,72536380825292
175;175,0;6,76;162,78;166,7398376250153
176;176,0;6,61;159,17;166,7543114417777
177;177,0;6,72;161,82;166,76878525854008
178;178,0;6,73;162,06;166,78325907530248
179;179,0;6,58;158,45;166,79773289206486
180;180,0;6,8;163,74;166,81220670882723
181;181,0;6,72;161,82;166,82668052558964
182;182,0;6,64;159,89;166,841154342352
183;183,0;6,79;163,5;166,85562815911442
184;184,0;6,76;162,78;166,8701019758768
185;185,0;6,84;164,71;166,88457579263917
186;186,0;6,65;160,13;166,89904960940157
187;187,0;6,83;164,47;166,91352342616395
188;188,0;6,75;162,54;166,92799724292635
189;189,0;6,76;162,78;166,94247105968873
190;190,0;6,97;167,84;166,9569448764511
191;191,0;6,68;160,85;166,9714186932135
192;192,0;6,87;165,43;166,98589250997588
193;193,0;6,78;163,26;167,0003663267383
194;194,0;6,79;163,5;167,01484014350066
195;195,0;6,78;163,26;167,02931396026304
196;196,0;6,61;159,17;167,04378777702544
197;197,0;6,99;168,32;167,05826159378782
198;198,0;6,74;162,3;167,07273541055022
199;199,0;6,86;165,19;167,0872092273126
200;200,0;6,94;167,12;167,10168304407497
201;201,0;6,74;162,3;167,11615686083738
202;202,0;6,88;165,67;167,13063067759975
203;203,0;6,72;161,82;167,14510449436216
204;204,0;6,81;163,98;167,15957831112453
205;205,0;6,85;164,95;167,1740521278869
206;206,0;6,81;163,98;167,1885259446493
207;207,0;6,95;167,36;167,2029997614117
208;208,0;6,81;163,98;167,2174735781741
209;209,0;6,87;165,43;167,23194739493647
210;210,0;6,79;163,5;167,24642121169884
211;211,0;6,79;163,5;167,26089502846125
212;212,0;6,84;164,71;167,27536884522362
213;213,0;6,76;162,78;167,28984266198603
214;214,0;6,93;166,87;167,3043164787484
215;215,0;6,76;162,78;167,31879029551078
216;216,0;6,9;166,15;167,33326411227318
217;217,0;6,77;163,02;167,34773792903556
218;218,0;6,95;167,36;167,36221174579796
219;219,0;6,86;165,19;167,37668556256034
220;220,0;6,7;161,34;167,39115937932272
221;221,0;6,86;165,19;167,40563319608512
222;222,0;6,72;161,82;167,4201070128475
