;Time;Fy;Model_strength
0;0,0;13,73;19,260175893669558
1;1,0;12,86;19,2626664324274
2;2,0;12,48;19,26515697118525
3;6,0;14,62;19,275119126216627
4;7,0;16,79;19,27760966497447
5;8,0;15,78;19,280100203732317
6;9,0;15,15;19,28259074249016
7;10,0;15,75;19,285081281248004
8;11,0;16,48;19,28757182000585
9;12,0;16,42;19,290062358763695
10;13,0;16,11;19,29255289752154
11;14,0;15,92;19,295043436279386
12;15,0;16,11;19,29753397503723
13;16,0;17,55;19,300024513795073
14;17,0;16,19;19,30251505255292
15;18,0;15,39;19,305005591310763
16;19,0;16,55;19,307496130068607
17;20,0;17,13;19,309986668826454
18;21,0;16,17;19,312477207584298
19;22,0;15,4;19,31496774634214
20;23,0;16,59;19,31745828509999
21;24,0;18,06;19,319948823857832
22;25,0;16,88;19,322439362615675
23;26,0;15,83;19,324929901373523
24;27,0;15,98;19,327420440131366
25;28,0;17,14;19,32991097888921
26;29,0;17,35;19,332401517647057
27;30,0;18,36;19,3348920564049
28;31,0;18,72;19,337382595162744
29;32,0;17,99;19,33987313392059
30;33,0;17,15;19,342363672678434
31;34,0;18,11;19,344854211436278
32;35,0;17,01;19,347344750194125
33;36,0;16,99;19,34983528895197
34;37,0;16,58;19,352325827709812
35;38,0;15,73;19,35481636646766
36;39,0;16,89;19,357306905225503
37;40,0;16,03;19,359797443983346
38;41,0;16,65;19,362287982741194
39;42,0;18,0;19,364778521499037
40;43,0;17,87;19,36726906025688
41;44,0;17,52;19,369759599014728
42;45,0;18,37;19,37225013777257
43;46,0;17,81;19,374740676530415
44;47,0;18,19;19,377231215288262
45;48,0;16,66;19,379721754046106
46;49,0;17,18;19,38221229280395
47;50,0;16,65;19,384702831561793
48;51,0;17,58;19,38719337031964
49;52,0;18,42;19,389683909077483
50;53,0;18,07;19,392174447835327
51;54,0;18,2;19,394664986593174
52;55,0;16,43;19,397155525351018
53;56,0;15,86;19,39964606410886
54;57,0;17,44;19,402136602866708
55;58,0;16,59;19,40462714162455
56;59,0;17,14;19,407117680382395
57;60,0;18,07;19,409608219140242
58;61,0;18,58;19,412098757898086
59;62,0;18,76;19,41458929665593
60;63,0;18,68;19,417079835413777
61;64,0;18,33;19,41957037417162
62;65,0;16,86;19,422060912929464
63;66,0;16,77;19,42455145168731
64;67,0;16,98;19,427041990445154
65;68,0;18,52;19,429532529202998
66;69,0;17,99;19,432023067960845
67;70,0;17,74;19,43451360671869
68;71,0;16,26;19,437004145476532
69;72,0;17,28;19,43949468423438
