;Time;Voltage;Temperature;Model_temp
0;0,0;6,49;156,28;300,0370885842858
1;1,0;7,36;177,23;300,12333635569166
2;2,0;6,59;158,69;300,20958412709746
3;3,0;9,32;224,43;300,2958318985033
4;4,0;10,72;258,14;300,38207966990916
5;5,0;11,18;269,21;300,46832744131495
6;6,0;12,05;290,16;300,5545752127208
7;7,0;11,89;286,31;300,64082298412666
8;8,0;12,11;291,61;300,72707075553245
9;9,0;12,21;294,02;300,8133185269383
10;10,0;12,19;293,54;300,8995662983441
11;11,0;12,57;302,69;300,98581406974995
12;12,0;12,38;298,11;301,0720618411558
13;13,0;12,86;309,67;301,1583096125616
14;14,0;12,38;298,11;301,24455738396745
15;15,0;11,63;280,05;301,3308051553733
16;16,0;9,19;221,3;301,4170529267791
17;17,0;12,69;305,58;301,50330069818494
18;18,0;12,79;307,98;301,5895484695908
19;19,0;14,56;350,6;301,6757962409966
20;20,0;12,41;298,83;301,76204401240244
21;21,0;12,64;304,37;301,8482917838083
22;22,0;11,63;280,05;301,9345395552141
23;23,0;12,97;312,32;302,02078732661994
24;24,0;12,47;300,28;302,10703509802573
25;25,0;12,68;305,33;302,1932828694316
26;26,0;10,14;244,17;302,27953064083744
27;27,0;12,5;301,0;302,36577841224323
28;28,0;12,97;312,32;302,4520261836491
29;29,0;12,61;303,65;302,53827395505493
30;30,0;13,61;327,73;302,6245217264607
31;31,0;12,56;302,44;302,7107694978666
32;32,0;12,62;303,89;302,79701726927243
33;33,0;12,88;310,15;302,8832650406782
34;34,0;12,62;303,89;302,9695128120841
35;35,0;13,06;314,48;303,0557605834899
36;36,0;12,66;304,85;303,1420083548957
37;37,0;12,82;308,71;303,2282561263016
38;38,0;12,57;302,69;303,31450389770737
39;39,0;12,96;312,08;303,4007516691132
40;40,0;12,46;300,04;303,48699944051907
41;41,0;13,07;314,73;303,57324721192487
42;42,0;12,45;299,8;303,6594949833307
43;43,0;12,96;312,08;303,74574275473657
44;44,0;13,14;316,41;303,83199052614236
45;45,0;11,47;276,2;303,9182382975482
46;46,0;13,0;313,04;304,00448606895407
47;47,0;13,02;313,52;304,09073384035986
48;48,0;12,66;304,85;304,1769816117657
49;49,0;12,53;301,72;304,26322938317156
50;50,0;10,82;260,55;304,34947715457736
51;51,0;12,78;307,74;304,4357249259832
52;52,0;13,17;317,13;304,52197269738906
53;53,0;12,73;306,54;304,60822046879485
54;54,0;12,96;312,08;304,6944682402007
55;55,0;14,19;341,7;304,7807160116065
56;56,0;12,73;306,54;304,86696378301235
57;57,0;13,11;315,69;304,9532115544182
58;58,0;13,2;317,86;305,039459325824
59;59,0;13,36;321,71;305,12570709722985
60;60,0;11,6;279,33;305,2119548686357
61;61,0;13,01;313,28;305,2982026400415
62;62,0;12,67;305,09;305,38445041144735
63;63,0;13,11;315,69;305,4706981828532
64;64,0;12,63;304,13;305,556945954259
65;65,0;13,21;318,1;305,64319372566484
66;66,0;12,78;307,74;305,7294414970707
67;67,0;13,23;318,58;305,8156892684765
68;68,0;12,6;303,41;305,90193703988234
69;69,0;13,24;318,82;305,98818481128814
70;70,0;12,73;306,54;306,074432582694
71;71,0;12,66;304,85;306,16068035409984
72;72,0;12,85;309,43;306,24692812550563
73;73,0;12,6;303,41;306,3331758969115
74;74,0;11,46;275,96;306,41942366831734
75;75,0;9,78;235,5;306,50567143972313
76;76,0;8,36;201,31;306,591919211129
77;77,0;6,17;148,57;306,67816698253483
78;78,0;8,4;202,27;306,7644147539406
79;79,0;8,36;201,31;306,8506625253465
80;80,0;7,29;175,54;306,93691029675233
81;81,0;9,07;218,41;307,0231580681581
82;82,0;10,73;258,38;307,109405839564
83;83,0;11,23;270,42;307,19565361096977
84;84,0;12,4;298,59;307,2819013823756
85;85,0;12,02;289,44;307,3681491537815
86;86,0;12,79;307,98;307,45439692518727
87;87,0;12,28;295,7;307,5406446965931
88;88,0;12,68;305,33;307,62689246799897
89;89,0;12,42;299,07;307,71314023940477
90;90,0;12,43;299,31;307,7993880108106
91;91,0;12,7;305,82;307,88563578221647
92;92,0;12,57;302,69;307,97188355362226
93;93,0;12,68;305,33;308,0581313250281
94;94,0;12,6;303,41;308,14437909643397
95;95,0;12,97;312,32;308,23062686783976
96;96,0;12,45;299,8;308,3168746392456
97;97,0;13,22;318,34;308,40312241065146
98;98,0;12,57;302,69;308,48937018205726
99;99,0;12,99;312,8;308,5756179534631
100;100,0;12,72;306,3;308,6618657248689
101;101,0;13,13;316,17;308,74811349627475
