;Time;Fy;Model_strength
0;0,0;13,98;24,897943732979265
1;1,0;12,82;24,920691120192295
2;2,0;13,02;24,943438507405325
3;3,0;12,89;24,966185894618352
4;4,0;12,89;24,988933281831383
5;5,0;13,12;25,011680669044413
6;6,0;12,93;25,034428056257443
7;7,0;13,27;25,057175443470474
8;8,0;12,86;25,079922830683504
9;9,0;13,09;25,10267021789653
10;10,0;14,41;25,12541760510956
11;11,0;13,97;25,14816499232259
12;12,0;13,56;25,170912379535622
13;13,0;14,59;25,193659766748652
14;14,0;14,22;25,216407153961683
15;15,0;14,18;25,23915454117471
16;16,0;15,01;25,26190192838774
17;17,0;14,1;25,28464931560077
18;18,0;14,02;25,3073967028138
19;19,0;14,6;25,33014409002683
20;20,0;14,0;25,352891477239858
21;21,0;15,21;25,37563886445289
22;22,0;14,57;25,39838625166592
23;23,0;13,91;25,42113363887895
24;24,0;14,34;25,44388102609198
25;25,0;14,81;25,46662841330501
26;26,0;14,51;25,489375800518037
27;27,0;15,29;25,512123187731067
28;28,0;15,48;25,534870574944097
29;29,0;15,01;25,557617962157128
30;30,0;15,89;25,580365349370158
31;31,0;15,09;25,60311273658319
32;32,0;15,29;25,625860123796215
33;33,0;15,93;25,648607511009246
34;34,0;15,59;25,671354898222276
35;35,0;15,64;25,694102285435306
36;36,0;15,88;25,716849672648337
37;37,0;15,96;25,739597059861367
38;38,0;16,05;25,762344447074394
39;39,0;15,88;25,785091834287424
40;40,0;15,72;25,807839221500455
41;41,0;16,22;25,830586608713485
42;42,0;15,72;25,853333995926516
43;43,0;15,9;25,876081383139542
44;44,0;16,04;25,898828770352573
45;45,0;15,99;25,921576157565603
46;46,0;16,22;25,944323544778634
47;47,0;15,87;25,967070931991664
48;48,0;16,57;25,989818319204694
49;49,0;15,88;26,01256570641772
50;50,0;16,01;26,03531309363075
51;51,0;16,29;26,058060480843782
52;52,0;16,25;26,080807868056812
53;53,0;16,36;26,103555255269843
54;54,0;16,15;26,12630264248287
55;55,0;15,95;26,1490500296959
56;56,0;16,05;26,17179741690893
57;57,0;16,43;26,19454480412196
58;58,0;16,33;26,21729219133499
59;59,0;16,83;26,24003957854802
60;60,0;16,92;26,262786965761048
61;61,0;16,49;26,28553435297408
62;62,0;14,82;26,30828174018711
63;63,0;15,51;26,33102912740014
64;64,0;19,74;26,35377651461317
65;65,0;21,98;26,3765239018262
66;66,0;22,84;26,399271289039227
67;67,0;22,84;26,422018676252257
68;68,0;23,18;26,444766063465288
69;69,0;23,29;26,467513450678318
70;70,0;23,01;26,49026083789135
71;71,0;23,41;26,51300822510438
72;72,0;24,01;26,535755612317406
73;73,0;24,23;26,558502999530436
