;Time;Voltage;Temperature;Model_temp
0;0,0;8,52;205,16;288,81383355550423
1;1,0;6,46;155,56;288,94688219839674
2;2,0;6,14;147,85;289,0799308412892
3;3,0;7,52;181,08;289,2129794841817
4;4,0;6,79;163,5;289,34602812707413
5;5,0;8,72;209,98;289,47907676996664
6;6,0;7,79;187,58;289,6121254128591
7;7,0;9,24;222,5;289,7451740557516
8;8,0;8,34;200,83;289,8782226986441
9;9,0;8,89;214,07;290,01127134153654
10;10,0;9,16;220,57;290,14431998442905
11;11,0;8,29;199,62;290,2773686273215
12;12,0;9,7;233,58;290,410417270214
13;13,0;9,22;222,02;290,54346591310644
14;14,0;10,48;252,36;290,67651455599895
15;15,0;8,72;209,98;290,80956319889145
16;16,0;9,98;240,32;290,9426118417839
17;17,0;8,74;210,46;291,0756604846764
18;18,0;10,06;242,24;291,20870912756885
19;19,0;8,7;209,5;291,34175777046136
20;20,0;10,31;248,26;291,4748064133538
21;21,0;8,61;207,33;291,6078550562463
22;22,0;10,32;248,51;291,7409036991388
23;23,0;8,77;211,18;291,87395234203126
24;24,0;10,79;259,82;292,00700098492376
25;25,0;8,91;214,55;292,1400496278162
26;26,0;10,44;251,4;292,2730982707087
27;27,0;8,93;215,03;292,40614691360116
28;28,0;10,54;253,8;292,53919555649367
29;29,0;8,15;196,25;292,67224419938617
30;30,0;10,33;248,75;292,8052928422786
31;31,0;9,02;217,2;292,9383414851711
32;32,0;10,5;252,84;293,07139012806357
33;33,0;9,16;220,57;293,2044387709561
34;34,0;10,3;248,02;293,3374874138485
35;35,0;9,49;228,52;293,470536056741
36;36,0;9,71;233,82;293,60358469963353
37;37,0;9,24;222,5;293,736633342526
38;38,0;10,56;254,28;293,8696819854185
39;39,0;9,32;224,43;294,0027306283109
40;40,0;10,03;241,52;294,13577927120343
41;41,0;9,95;239,6;294,26882791409594
42;42,0;9,5;228,76;294,4018765569884
43;43,0;10,47;252,12;294,5349251998809
44;44,0;9,4;226,35;294,66797384277334
45;45,0;10,8;260,06;294,80102248566584
46;46,0;9,75;234,78;294,9340711285583
47;47,0;10,62;255,73;295,0671197714508
48;48,0;10,22;246,1;295,2001684143433
49;49,0;9,91;238,63;295,33321705723574
50;50,0;10,23;246,34;295,46626570012825
51;51,0;10,34;248,99;295,5993143430207
52;52,0;9,75;234,78;295,7323629859132
53;53,0;10,83;260,79;295,86541162880565
54;54,0;10,08;242,73;295,99846027169815
55;55,0;10,26;247,06;296,13150891459065
56;56,0;10,08;242,73;296,2645575574831
57;57,0;10,84;261,03;296,3976062003756
58;58,0;9,88;237,91;296,53065484326805
59;59,0;11,06;266,32;296,66370348616056
60;60,0;9,93;239,11;296,796752129053
61;61,0;11,35;273,31;296,9298007719455
62;62,0;10,14;244,17;297,062849414838
63;63,0;11,15;268,49;297,19589805773046
64;64,0;9,89;238,15;297,32894670062296
65;65,0;11,02;265,36;297,4619953435154
66;66,0;10,01;241,04;297,5950439864079
67;67,0;11,07;266,57;297,72809262930036
68;68,0;10,21;245,86;297,86114127219287
69;69,0;10,59;255,01;297,99418991508537
70;70,0;11,02;265,36;298,1272385579778
71;71,0;11,11;267,53;298,2602872008703
72;72,0;9,6;231,17;298,39333584376277
73;73,0;11,6;279,33;298,5263844866553
74;74,0;10,17;244,89;298,6594331295477
75;75,0;11,38;274,03;298,7924817724402
76;76,0;10,02;241,28;298,92553041533273
77;77,0;10,84;261,03;299,0585790582252
78;78,0;10,14;244,17;299,1916277011177
79;79,0;10,25;246,82;299,32467634401013
80;80,0;10,01;241,04;299,45772498690263
81;81,0;10,19;245,38;299,5907736297951
82;82,0;8,29;199,62;299,7238222726876
83;83,0;6,46;155,56;299,8568709155801
84;84,0;6,27;150,98;299,98991955847254
85;85,0;10,71;257,9;300,12296820136504
86;86,0;8,27;199,14;300,2560168442575
87;87,0;9,68;233,09;300,38906548715
88;88,0;9,48;228,28;300,52211413004244
89;89,0;10,36;249,47;300,65516277293494
90;90,0;10,14;244,17;300,78821141582745
91;91,0;10,33;248,75;300,9212600587199
92;92,0;10,74;258,62;301,0543087016124
93;93,0;10,21;245,86;301,18735734450485
94;94,0;11,19;269,46;301,32040598739735
95;95,0;10,84;261,03;301,4534546302898
96;96,0;10,43;251,15;301,5865032731823
97;97,0;11,24;270,66;301,7195519160748
98;98,0;10,72;258,14;301,85260055896725
99;99,0;10,95;263,68;301,98564920185976
100;100,0;10,94;263,44;302,1186978447522
101;101,0;10,47;252,12;302,2517464876447
102;102,0;11,69;281,5;302,38479513053716
103;103,0;10,72;258,14;302,51784377342966
104;104,0;11,19;269,46;302,65089241632216
105;105,0;10,67;256,93;302,7839410592146
106;106,0;11,81;284,38;302,9169897021071
107;107,0;10,9;262,47;303,05003834499956
108;108,0;11,81;284,38;303,18308698789207
109;109,0;10,97;264,16;303,3161356307845
110;110,0;11,57;278,61;303,449184273677
111;111,0;10,94;263,44;303,5822329165695
112;112,0;11,98;288,48;303,71528155946197
113;113,0;11,13;268,01;303,8483302023545
114;114,0;11,76;283,18;303,9813788452469
115;115,0;11,7;281,74;304,1144274881394
116;116,0;11,4;274,51;304,24747613103193
117;117,0;12,09;291,13;304,3805247739244
118;118,0;11,15;268,49;304,5135734168169
119;119,0;12,49;300,76;304,64662205970933
120;120,0;12,15;292,57;304,77967070260183
121;121,0;11,4;274,51;304,9127193454943
122;122,0;12,02;289,44;305,0457679883868
123;123,0;11,47;276,2;305,17881663127923
124;124,0;11,56;278,36;305,31186527417174
125;125,0;11,93;287,27;305,44491391706424
126;126,0;11,47;276,2;305,5779625599567
127;127,0;12,38;298,11;305,7110112028492
128;128,0;11,6;279,33;305,84405984574164
129;129,0;12,27;295,46;305,97710848863414
130;130,0;11,5;276,92;306,11015713152665
131;131,0;12,42;299,07;306,2432057744191
132;132,0;11,58;278,85;306,3762544173116
133;133,0;12,44;299,56;306,50930306020405
134;134,0;12,03;289,68;306,64235170309655
135;135,0;12,03;289,68;306,775400345989
136;136,0;12,32;296,67;306,9084489888815
137;137,0;12,59;303,17;307,041497631774
138;138,0;12,03;289,68;307,17454627466645
139;139,0;12,17;293,05;307,30759491755896
140;140,0;12,26;295,22;307,4406435604514
141;141,0;11,94;287,52;307,5736922033439
142;142,0;12,29;295,94;307,70674084623636
143;143,0;12,0;288,96;307,83978948912886
144;144,0;12,44;299,56;307,97283813202137
145;145,0;12,05;290,16;308,1058867749138
146;146,0;12,16;292,81;308,2389354178063
147;147,0;12,02;289,44;308,37198406069876
148;148,0;12,44;299,56;308,50503270359127
149;149,0;12,29;295,94;308,6380813464837
150;150,0;12,64;304,37;308,7711299893762
151;151,0;12,1;291,37;308,9041786322687
152;152,0;12,82;308,71;309,0372272751612
153;153,0;12,26;295,22;309,1702759180537
154;154,0;12,72;306,3;309,3033245609461
155;155,0;12,11;291,61;309,4363732038386
156;156,0;12,67;305,09;309,5694218467311
157;157,0;12,19;293,54;309,7024704896236
158;158,0;12,38;298,11;309,8355191325161
159;159,0;12,21;294,02;309,96856777540853
160;160,0;11,97;288,24;310,10161641830103
161;161,0;12,46;300,04;310,2346650611935
162;162,0;12,18;293,29;310,367713704086
163;163,0;11,57;278,61;310,50076234697843
