;Time;Fy;Model_strength
0;0,0;17,87;25,366781001579398
1;1,0;16,47;25,400926284667612
2;2,0;19,29;25,435071567755823
3;3,0;20,57;25,469216850844038
4;4,0;18,54;25,503362133932253
5;5,0;18,06;25,537507417020468
6;6,0;19,22;25,57165270010868
7;7,0;20,27;25,605797983196894
8;8,0;20,8;25,63994326628511
9;9,0;19,31;25,67408854937332
10;10,0;19,56;25,708233832461534
11;11,0;20,85;25,74237911554975
12;12,0;20,43;25,776524398637964
13;13,0;20,66;25,810669681726175
14;14,0;20,26;25,84481496481439
15;15,0;19,86;25,878960247902604
16;16,0;21,5;25,91310553099082
17;17,0;20,51;25,94725081407903
18;18,0;21,24;25,981396097167245
19;19,0;21,11;26,01554138025546
20;20,0;19,76;26,04968666334367
21;21,0;21,47;26,083831946431886
22;22,0;21,62;26,1179772295201
23;23,0;20,77;26,152122512608315
24;24,0;21,45;26,186267795696526
25;25,0;21,24;26,22041307878474
26;26,0;21,31;26,254558361872956
27;27,0;21,43;26,288703644961167
28;28,0;19,83;26,322848928049382
29;29,0;20,65;26,356994211137597
30;30,0;20,48;26,39113949422581
31;31,0;20,7;26,425284777314022
32;32,0;20,07;26,459430060402237
33;33,0;20,32;26,493575343490452
34;34,0;21,75;26,527720626578663
35;35,0;20,8;26,561865909666878
36;36,0;20,05;26,596011192755093
37;37,0;20,83;26,630156475843307
38;38,0;20,33;26,66430175893152
39;39,0;20,1;26,698447042019733
40;40,0;20,85;26,732592325107948
41;41,0;20,25;26,766737608196163
42;42,0;20,72;26,800882891284374
43;43,0;20,36;26,83502817437259
44;44,0;19,98;26,869173457460803
45;45,0;20,72;26,903318740549015
46;46,0;20,86;26,93746402363723
47;47,0;21,29;26,971609306725444
48;48,0;21,49;27,00575458981366
49;49,0;21,17;27,03989987290187
50;50,0;21,71;27,074045155990085
51;51,0;21,68;27,1081904390783
52;52,0;21,58;27,142335722166514
53;53,0;21,97;27,176481005254725
54;54,0;22,09;27,21062628834294
55;55,0;22,42;27,244771571431155
56;56,0;23,1;27,278916854519366
57;57,0;23,05;27,31306213760758
58;58,0;23,14;27,347207420695796
59;59,0;22,76;27,38135270378401
60;60,0;22,87;27,41549798687222
61;61,0;22,86;27,449643269960436
62;62,0;24,32;27,48378855304865
63;63,0;23,52;27,517933836136862
64;64,0;24,4;27,552079119225077
65;65,0;23,94;27,58622440231329
66;66,0;24,14;27,620369685401506
67;67,0;23,73;27,654514968489718
68;68,0;24,53;27,688660251577932
69;69,0;24,25;27,722805534666147
70;70,0;25,09;27,75695081775436
71;71,0;24,75;27,791096100842573
72;72,0;25,17;27,825241383930788
73;73,0;24,78;27,859386667019002
74;74,0;24,93;27,893531950107214
75;75,0;24,47;27,92767723319543
76;76,0;25,02;27,961822516283643
77;77,0;24,64;27,995967799371854
78;78,0;25,43;28,03011308246007
79;79,0;24,69;28,064258365548284
80;80,0;21,39;28,0984036486365
81;81,0;20,01;28,13254893172471
82;82,0;18,81;28,166694214812924
83;83,0;14,65;28,20083949790114
84;84,0;20,71;28,23498478098935
85;85,0;24,29;28,269130064077565
86;86,0;25,87;28,30327534716578
87;87,0;25,91;28,337420630253995
88;88,0;26,82;28,371565913342206
89;89,0;25,37;28,40571119643042
90;90,0;26,13;28,439856479518635
91;91,0;26,36;28,47400176260685
92;92,0;26,2;28,50814704569506
93;93,0;25,53;28,542292328783276
94;94,0;26,54;28,57643761187149
95;95,0;27,89;28,610582894959705
96;96,0;26,99;28,644728178047917
97;97,0;27,52;28,67887346113613
98;98,0;26,8;28,713018744224346
99;99,0;27,62;28,747164027312557
100;100,0;28,55;28,781309310400772
101;101,0;26,93;28,815454593488987
102;102,0;27,86;28,8495998765772
103;103,0;27,02;28,883745159665413
104;104,0;28,62;28,917890442753627
105;105,0;28,45;28,952035725841842
106;106,0;28,83;28,986181008930053
107;107,0;28,25;29,020326292018268
108;108,0;28,38;29,054471575106483
109;109,0;29,34;29,088616858194698
110;110,0;28,11;29,12276214128291
111;111,0;28,85;29,156907424371123
112;112,0;28,38;29,191052707459338
113;113,0;29,88;29,22519799054755
114;114,0;28,97;29,259343273635764
115;115,0;29,53;29,29348855672398
116;116,0;28,58;29,327633839812194
117;117,0;28,99;29,361779122900405
118;118,0;29,33;29,39592440598862
119;119,0;28,33;29,430069689076834
120;120,0;29,64;29,464214972165045
121;121,0;29,34;29,49836025525326
122;122,0;30,25;29,532505538341475
123;123,0;29,01;29,56665082142969
124;124,0;30,17;29,6007961045179
125;125,0;28,9;29,634941387606116
126;126,0;30,16;29,66908667069433
127;127,0;29,56;29,70323195378254
128;128,0;31,0;29,737377236870756
129;129,0;29,89;29,77152251995897
130;130,0;30,17;29,805667803047186
131;131,0;30,55;29,8398130861354
132;132,0;30,31;29,87395836922361
133;133,0;30,55;29,908103652311826
134;134,0;30,4;29,942248935400038
135;135,0;32,17;29,976394218488252
136;136,0;29,25;30,010539501576467
137;137,0;30,46;30,044684784664682
138;138,0;30,28;30,078830067752897
139;139,0;30,66;30,112975350841108
140;140,0;29,93;30,147120633929323
141;141,0;31,27;30,181265917017534
142;142,0;29,46;30,21541120010575
143;143,0;31,92;30,249556483193963
144;144,0;30,65;30,283701766282178
145;145,0;31,33;30,317847049370393
146;146,0;31,11;30,351992332458604
147;147,0;31,67;30,38613761554682
148;148,0;31,45;30,420282898635033
149;149,0;30,61;30,454428181723245
150;150,0;30,77;30,48857346481146
151;151,0;31,47;30,522718747899674
152;152,0;31,48;30,55686403098789
153;153,0;31,36;30,5910093140761
154;154,0;32,11;30,625154597164315
155;155,0;32,06;30,65929988025253
156;156,0;32,59;30,69344516334074
157;157,0;30,72;30,727590446428955
158;158,0;32,45;30,76173572951717
159;159,0;30,9;30,795881012605385
160;160,0;32,35;30,830026295693596
161;161,0;31,63;30,86417157878181
162;162,0;30,39;30,898316861870025
163;163,0;26,67;30,932462144958237
164;164,0;23,41;30,96660742804645
165;165,0;20,48;31,000752711134666
166;166,0;16,97;31,03489799422288
167;167,0;16,96;31,069043277311092
168;168,0;25,24;31,103188560399307
169;169,0;28,24;31,13733384348752
170;170,0;29,35;31,171479126575733
171;171,0;31,82;31,205624409663947
172;172,0;30,69;31,239769692752162
173;173,0;31,66;31,273914975840377
174;174,0;30,29;31,30806025892859
175;175,0;31,68;31,342205542016803
176;176,0;31,9;31,376350825105018
177;177,0;32,52;31,41049610819323
178;178,0;31,51;31,444641391281444
179;179,0;31,92;31,47878667436966
180;180,0;32,06;31,512931957457873
181;181,0;32,13;31,547077240546088
182;182,0;31,93;31,5812225236343
183;183,0;33,4;31,615367806722514
184;184,0;33,81;31,649513089810725
185;185,0;30,94;31,68365837289894
186;186,0;32,45;31,717803655987154
187;187,0;31,4;31,75194893907537
188;188,0;32,5;31,786094222163584
189;189,0;32,95;31,820239505251795
190;190,0;33,31;31,85438478834001
191;191,0;31,95;31,888530071428224
192;192,0;33,04;31,922675354516436
193;193,0;32,03;31,95682063760465
194;194,0;31,28;31,990965920692865
195;195,0;31,34;32,02511120378108
196;196,0;33,37;32,059256486869295
197;197,0;33,26;32,09340176995751
198;198,0;32,79;32,12754705304572
199;199,0;32,83;32,16169233613393
200;200,0;32,49;32,19583761922215
201;201,0;33,34;32,22998290231036
202;202,0;32,17;32,264128185398576
203;203,0;31,78;32,29827346848679
204;204,0;33,26;32,332418751575005
205;205,0;32,1;32,36656403466321
206;206,0;32,35;32,40070931775143
207;207,0;32,55;32,43485460083964
208;208,0;33,05;32,46899988392786
209;209,0;31,84;32,50314516701607
210;210,0;32,33;32,53729045010429
211;211,0;32,34;32,5714357331925
212;212,0;34,2;32,60558101628071
213;213,0;31,84;32,639726299368924
214;214,0;32,23;32,67387158245714
215;215,0;34,25;32,70801686554535
216;216,0;34,69;32,74216214863357
217;217,0;34,68;32,77630743172178
218;218,0;33,63;32,81045271481
219;219,0;34,35;32,844597997898205
220;220,0;33,48;32,87874328098642
221;221,0;34,42;32,912888564074635
222;222,0;34,99;32,94703384716285
223;223,0;34,0;32,981179130251064
224;224,0;35,02;33,01532441333928
225;225,0;35,23;33,049469696427494
226;226,0;35,88;33,0836149795157
227;227,0;33,56;33,117760262603916
228;228,0;34,41;33,15190554569213
229;229,0;35,92;33,186050828780346
230;230,0;33,52;33,22019611186856
231;231,0;35,26;33,254341394956775
232;232,0;34,29;33,28848667804499
233;233,0;36,76;33,3226319611332
234;234,0;34,23;33,35677724422141
235;235,0;34,29;33,39092252730963
236;236,0;35,63;33,42506781039784
237;237,0;35,47;33,459213093486056
238;238,0;35,85;33,49335837657427
239;239,0;34,29;33,527503659662486
240;240,0;36,02;33,56164894275069
241;241,0;33,19;33,59579422583891
242;242,0;35,66;33,62993950892712
243;243,0;35,51;33,66408479201534
244;244,0;35,74;33,69823007510355
245;245,0;34,91;33,73237535819177
246;246,0;33,67;33,76652064127998
247;247,0;29,35;33,80066592436819
248;248,0;25,26;33,834811207456404
249;249,0;19,97;33,86895649054462
250;250,0;17,0;33,903101773632834
251;251,0;19,73;33,93724705672105
252;252,0;27,87;33,97139233980926
253;253,0;32,01;34,00553762289748
254;254,0;33,64;34,039682905985686
255;255,0;35,62;34,07382818907391
256;256,0;36,44;34,107973472162115
257;257,0;36,49;34,14211875525033
258;258,0;35,6;34,176264038338545
259;259,0;35,19;34,21040932142676
260;260,0;36,68;34,244554604514974
261;261,0;35,65;34,27869988760318
262;262,0;36,04;34,3128451706914
263;263,0;36,03;34,34699045377961
264;264,0;35,75;34,381135736867826
265;265,0;36,26;34,41528101995604
266;266,0;35,77;34,449426303044255
267;267,0;36,62;34,48357158613247
268;268,0;35,67;34,51771686922068
269;269,0;35,48;34,5518621523089
270;270,0;36,88;34,58600743539711
271;271,0;35,52;34,62015271848532
272;272,0;35,92;34,65429800157354
273;273,0;36,6;34,68844328466175
274;274,0;35,95;34,722588567749966
275;275,0;35,61;34,756733850838174
276;276,0;35,79;34,790879133926396
277;277,0;37,41;34,8250244170146
278;278,0;35,83;34,85916970010282
279;279,0;35,42;34,89331498319103
280;280,0;36,91;34,92746026627925
281;281,0;35,84;34,96160554936746
282;282,0;36,02;34,99575083245567
283;283,0;35,61;35,02989611554389
284;284,0;38,17;35,0640413986321
285;285,0;36,24;35,098186681720314
286;286,0;35,86;35,13233196480853
287;287,0;36,78;35,166477247896744
288;288,0;37,04;35,20062253098496
289;289,0;35,41;35,23476781407317
290;290,0;37,12;35,26891309716139
291;291,0;36,77;35,303058380249595
292;292,0;37,47;35,33720366333781
293;293,0;35,68;35,371348946426025
294;294,0;35,71;35,40549422951424
295;295,0;36,69;35,439639512602454
296;296,0;36,29;35,47378479569067
297;297,0;35,72;35,507930078778884
298;298,0;36,1;35,54207536186709
299;299,0;36,91;35,576220644955306
300;300,0;36,16;35,61036592804352
301;301,0;35,98;35,644511211131736
302;302,0;35,75;35,67865649421995
303;303,0;37,26;35,712801777308165
304;304,0;36,26;35,74694706039638
305;305,0;36,52;35,78109234348459
306;306,0;36,87;35,8152376265728
307;307,0;36,35;35,84938290966102
308;308,0;37,21;35,88352819274923
309;309,0;36,54;35,91767347583745
310;310,0;38,6;35,95181875892566
311;311,0;35,75;35,985964042013876
312;312,0;36,51;36,020109325102084
313;313,0;37,14;36,0542546081903
314;314,0;38,37;36,08839989127851
315;315,0;36,41;36,12254517436673
316;316,0;36,27;36,15669045745494
317;317,0;37,1;36,19083574054316
318;318,0;36,46;36,22498102363137
319;319,0;36,59;36,25912630671958
320;320,0;36,13;36,293271589807794
321;321,0;37,06;36,32741687289601
322;322,0;36,9;36,361562155984224
323;323,0;35,95;36,39570743907244
324;324,0;36,85;36,42985272216065
325;325,0;38,32;36,46399800524887
326;326,0;38,26;36,498143288337076
327;327,0;36,97;36,53228857142529
328;328,0;36,08;36,566433854513505
329;329,0;35,54;36,60057913760172
330;330,0;35,63;36,634724420689935
331;331,0;30,43;36,66886970377815
332;332,0;25,95;36,703014986866364
333;333,0;22,18;36,73716026995457
334;334,0;16,79;36,77130555304279
335;335,0;14,64;36,805450836131
336;336,0;23,95;36,839596119219216
337;337,0;32,49;36,87374140230743
338;338,0;34,45;36,907886685395646
339;339,0;37,75;36,94203196848386
340;340,0;38,8;36,97617725157207
341;341,0;39,13;37,01032253466029
342;342,0;38,48;37,0444678177485
343;343,0;37,32;37,07861310083671
344;344,0;38,5;37,11275838392493
345;345,0;38,24;37,14690366701314
346;346,0;37,71;37,181048950101356
347;347,0;39,11;37,215194233189564
348;348,0;37,48;37,249339516277786
349;349,0;37,81;37,28348479936599
350;350,0;38,56;37,31763008245421
351;351,0;38,72;37,35177536554242
352;352,0;37,41;37,38592064863064
353;353,0;38,99;37,42006593171885
354;354,0;36,88;37,45421121480706
355;355,0;37,17;37,48835649789528
356;356,0;39,14;37,52250178098349
357;357,0;37,88;37,556647064071704
358;358,0;36,94;37,59079234715992
359;359,0;38,98;37,624937630248134
360;360,0;37,51;37,65908291333635
361;361,0;37,02;37,693228196424556
362;362,0;39,99;37,72737347951278
363;363,0;37,43;37,761518762600986
364;364,0;37,11;37,7956640456892
