;Time;Fy;Model_strength
0;0,0;14,96;9,965364815285419
1;1,0;12,62;10,012013287174888
2;2,0;13,23;10,058661759064357
3;3,0;12,73;10,105310230953824
4;4,0;12,66;10,151958702843293
5;8,0;12,32;10,338552590401168
6;13,0;12,02;10,571794949848512
7;16,0;12,16;10,711740365516919
8;18,0;12,2;10,805037309295855
9;19,0;12,16;10,851685781185324
10;20,0;12,62;10,898334253074793
11;21,0;13,36;10,944982724964262
12;22,0;12,32;10,99163119685373
13;23,0;12,77;11,038279668743199
14;24,0;12,67;11,084928140632668
15;25,0;12,63;11,131576612522137
16;26,0;13,29;11,178225084411604
17;27,0;12,96;11,224873556301073
18;28,0;12,49;11,271522028190542
19;29,0;13,84;11,318170500080011
20;30,0;12,48;11,36481897196948
21;31,0;13,57;11,41146744385895
22;32,0;13,58;11,458115915748417
23;33,0;12,78;11,504764387637886
24;34,0;13,23;11,551412859527355
25;35,0;13,06;11,598061331416824
26;36,0;13,24;11,644709803306291
27;37,0;13,39;11,69135827519576
28;38,0;13,15;11,73800674708523
29;39,0;13,21;11,784655218974699
30;40,0;13,26;11,831303690864168
31;41,0;13,19;11,877952162753635
32;42,0;13,4;11,924600634643104
33;43,0;12,97;11,971249106532573
34;44,0;13,11;12,017897578422042
35;45,0;14,46;12,06454605031151
36;46,0;12,83;12,111194522200979
37;47,0;13,57;12,157842994090448
38;48,0;13,35;12,204491465979917
39;49,0;12,64;12,251139937869386
40;50,0;13,5;12,297788409758855
41;51,0;13,35;12,344436881648322
42;52,0;13,25;12,391085353537791
43;53,0;13,6;12,43773382542726
44;54,0;13,59;12,484382297316728
45;55,0;13,21;12,531030769206197
46;56,0;13,84;12,577679241095666
47;57,0;13,45;12,624327712985135
48;58,0;13,24;12,670976184874604
49;59,0;14,06;12,717624656764073
50;60,0;13,46;12,76427312865354
51;61,0;12,68;12,81092160054301
52;62,0;13,72;12,857570072432479
53;63,0;13,53;12,904218544321948
54;64,0;13,15;12,950867016211415
55;65,0;13,8;12,997515488100884
56;66,0;13,37;13,044163959990353
57;67,0;13,16;13,090812431879822
58;68,0;13,56;13,137460903769291
59;69,0;13,54;13,18410937565876
60;70,0;13,19;13,230757847548228
61;71,0;13,62;13,277406319437697
62;72,0;13,5;13,324054791327166
63;73,0;13,43;13,370703263216633
64;74,0;13,52;13,417351735106102
65;75,0;13,51;13,464000206995571
66;76,0;12,72;13,51064867888504
67;77,0;13,69;13,55729715077451
68;78,0;13,34;13,603945622663979
69;79,0;12,75;13,650594094553446
70;80,0;12,04;13,697242566442915
71;81,0;13,3;13,743891038332384
72;82,0;13,72;13,790539510221853
73;83,0;14,06;13,83718798211132
74;84,0;13,89;13,88383645400079
75;85,0;14,23;13,930484925890259
76;86,0;13,68;13,977133397779728
77;87,0;13,46;14,023781869669197
78;88,0;14,18;14,070430341558666
79;89,0;13,68;14,117078813448133
80;90,0;14,24;14,163727285337602
81;91,0;13,46;14,210375757227071
82;92,0;13,43;14,257024229116539
83;93,0;13,89;14,303672701006008
84;94,0;13,62;14,350321172895477
85;95,0;14,07;14,396969644784946
86;96,0;13,55;14,443618116674415
87;97,0;13,76;14,490266588563884
88;98,0;14,57;14,536915060453353
89;99,0;13,66;14,58356353234282
90;100,0;13,86;14,63021200423229
91;101,0;13,51;14,676860476121757
92;102,0;13,87;14,723508948011226
93;103,0;14,14;14,770157419900695
94;104,0;13,93;14,816805891790164
95;105,0;13,93;14,863454363679633
96;106,0;14,0;14,910102835569102
97;107,0;14,17;14,956751307458571
98;108,0;14,66;15,003399779348038
99;109,0;13,95;15,050048251237508
100;110,0;13,87;15,096696723126977
101;111,0;14,25;15,143345195016444
102;112,0;14,3;15,189993666905913
103;113,0;14,14;15,236642138795382
104;114,0;14,56;15,283290610684851
105;115,0;14,33;15,32993908257432
106;116,0;14,4;15,37658755446379
107;117,0;14,74;15,423236026353258
108;118,0;14,31;15,469884498242726
109;119,0;13,9;15,516532970132195
110;120,0;14,73;15,563181442021662
111;121,0;14,75;15,609829913911131
112;122,0;14,73;15,6564783858006
113;123,0;14,51;15,70312685769007
114;124,0;14,55;15,749775329579538
115;125,0;14,83;15,796423801469007
116;126,0;14,88;15,843072273358477
117;127,0;14,54;15,889720745247944
118;128,0;14,64;15,936369217137413
119;129,0;14,94;15,983017689026882
120;130,0;15,36;16,02966616091635
121;131,0;14,87;16,07631463280582
122;132,0;14,7;16,122963104695287
123;133,0;14,82;16,169611576584757
124;134,0;15,28;16,216260048474226
125;135,0;15,36;16,262908520363695
126;136,0;14,76;16,309556992253164
127;137,0;14,76;16,356205464142633
128;138,0;14,81;16,402853936032102
129;139,0;14,88;16,449502407921567
130;140,0;14,85;16,496150879811037
131;141,0;14,88;16,542799351700506
132;142,0;14,68;16,589447823589975
133;143,0;15,26;16,636096295479444
134;144,0;15,1;16,682744767368913
135;145,0;15,34;16,729393239258382
136;146,0;15,29;16,776041711147847
137;147,0;14,85;16,822690183037317
138;148,0;15,52;16,869338654926786
139;149,0;15,01;16,915987126816255
140;150,0;15,18;16,962635598705724
141;151,0;15,01;17,009284070595193
142;152,0;14,79;17,055932542484662
143;153,0;14,81;17,10258101437413
144;154,0;14,83;17,1492294862636
145;155,0;14,71;17,19587795815307
146;156,0;14,84;17,24252643004254
147;157,0;15,2;17,289174901932007
148;158,0;14,86;17,335823373821473
149;159,0;13,8;17,382471845710942
150;160,0;13,81;17,42912031760041
151;161,0;13,31;17,47576878948988
152;162,0;15,24;17,52241726137935
153;163,0;16,16;17,56906573326882
154;164,0;16,31;17,615714205158287
155;165,0;16,43;17,662362677047753
156;166,0;16,2;17,709011148937222
157;167,0;15,46;17,75565962082669
158;168,0;15,8;17,80230809271616
159;169,0;15,82;17,84895656460563
160;170,0;15,84;17,8956050364951
161;171,0;15,68;17,942253508384567
162;172,0;16,0;17,988901980274036
163;173,0;15,66;18,035550452163505
164;174,0;15,42;18,082198924052975
165;175,0;15,9;18,128847395942444
166;176,0;16,28;18,175495867831913
167;177,0;16,1;18,222144339721382
168;178,0;16,06;18,268792811610847
169;179,0;15,82;18,315441283500316
170;180,0;16,18;18,362089755389785
171;181,0;16,12;18,408738227279255
172;182,0;16,13;18,455386699168724
173;183,0;16,36;18,50203517105819
174;184,0;16,61;18,54868364294766
175;185,0;16,4;18,595332114837127
176;186,0;16,47;18,641980586726596
