;Time;Voltage;Temperature;Model_temp
0;0,0;14,03;337,84;236,23744643292753
1;1,0;8,11;195,29;236,5053260067965
2;2,0;7,55;181,8;236,7732055806655
3;3,0;8,46;203,72;237,04108515453444
4;4,0;8,73;210,22;237,30896472840342
5;5,0;9,04;217,68;237,5768443022724
6;6,0;8,86;213,35;237,8447238761414
7;7,0;7,99;192,4;238,11260345001037
8;8,0;9,19;221,3;238,38048302387935
9;9,0;9,14;220,09;238,6483625977483
10;10,0;6,98;168,08;238,91624217161728
11;11,0;9,12;219,61;239,18412174548627
12;12,0;8,67;208,77;239,45200131935525
13;13,0;8,86;213,35;239,71988089322423
14;14,0;8,25;198,66;239,98776046709318
15;15,0;8,39;202,03;240,25564004096216
16;16,0;7,69;185,18;240,52351961483114
17;17,0;9,81;236,22;240,79139918870013
18;18,0;9,27;223,22;241,0592787625691
19;19,0;9,61;231,41;241,32715833643806
20;20,0;8,02;193,12;241,59503791030704
21;21,0;8,53;205,4;241,86291748417602
22;22,0;9,38;225,87;242,130797058045
23;23,0;7,63;183,73;242,398676631914
24;24,0;9,82;236,47;242,66655620578297
25;25,0;6,93;166,87;242,93443577965192
26;26,0;9,59;230,93;243,2023153535209
27;27,0;11,75;282,94;243,47019492738988
28;28,0;9,89;238,15;243,73807450125886
29;29,0;10,14;244,17;244,00595407512785
30;30,0;12,24;294,74;244,2738336489968
31;31,0;9,85;237,19;244,54171322286578
32;32,0;9,76;235,02;244,80959279673476
33;33,0;10,17;244,89;245,07747237060374
34;34,0;8,83;212,63;245,34535194447272
35;35,0;11,78;283,66;245,6132315183417
36;36,0;10,46;251,88;245,88111109221066
37;37,0;7,89;189,99;246,14899066607964
38;38,0;8,54;205,64;246,41687023994862
39;39,0;10,9;262,47;246,6847498138176
40;40,0;12,17;293,05;246,95262938768659
41;41,0;7,6;183,01;247,22050896155554
42;42,0;6,53;157,24;247,48838853542452
43;43,0;9,71;233,82;247,7562681092935
44;44,0;10,79;259,82;248,02414768316248
45;45,0;7,17;172,65;248,29202725703146
46;46,0;10,36;249,47;248,55990683090045
47;47,0;10,42;250,91;248,8277864047694
48;48,0;10,98;264,4;249,09566597863838
49;49,0;10,71;257,9;249,36354555250736
50;50,0;9,37;225,63;249,63142512637634
51;51,0;8,8;211,9;249,89930470024532
52;52,0;6,51;156,76;250,16718427411428
53;53,0;7,13;171,69;250,43506384798326
54;54,0;8,23;198,18;250,70294342185224
55;55,0;7,5;180,6;250,97082299572122
56;56,0;10,04;241,76;251,2387025695902
57;57,0;10,74;258,62;251,50658214345918
58;58,0;7,93;190,95;251,77446171732814
59;59,0;6,78;163,26;252,04234129119712
60;60,0;12,0;288,96;252,3102208650661
61;61,0;11,03;265,6;252,57810043893508
62;62,0;10,37;249,71;252,84598001280406
63;63,0;12,07;290,65;253,11385958667302
64;64,0;8,96;215,76;253,381739160542
65;65,0;11,16;268,73;253,64961873441098
66;66,0;10,87;261,75;253,91749830827996
67;67,0;9,78;235,5;254,18537788214894
68;68,0;10,69;257,42;254,45325745601792
69;69,0;11,09;267,05;254,72113702988688
70;70,0;10,82;260,55;254,98901660375586
71;71,0;10,72;258,14;255,25689617762484
72;72,0;10,93;263,19;255,52477575149382
73;73,0;10,93;263,19;255,7926553253628
74;74,0;12,4;298,59;256,06053489923175
75;75,0;11,12;267,77;256,32841447310074
76;76,0;12,13;292,09;256,5962940469697
77;77,0;8,15;196,25;256,8641736208387
78;78,0;9,38;225,87;257,1320531947077
79;79,0;10,44;251,4;257,39993276857666
80;80,0;11,23;270,42;257,66781234244564
81;81,0;10,35;249,23;257,9356919163146
82;82,0;11,04;265,84;258,20357149018355
83;83,0;11,3;272,1;258,47145106405253
84;84,0;11,29;271,86;258,7393306379215
85;85,0;11,72;282,22;259,0072102117905
86;86,0;10,26;247,06;259,2750897856595
87;87,0;11,35;273,31;259,54296935952846
88;88,0;11,12;267,77;259,81084893339744
89;89,0;11,67;281,01;260,0787285072664
90;90,0;10,77;259,34;260,3466080811354
91;91,0;10,95;263,68;260,6144876550044
92;92,0;11,11;267,53;260,88236722887336
93;93,0;10,31;248,26;261,1502468027423
94;94,0;8,31;200,1;261,41812637661127
95;95,0;11,35;273,31;261,68600595048025
96;96,0;12,55;302,2;261,95388552434923
97;97,0;10,88;261,99;262,2217650982182
98;98,0;11,07;266,57;262,4896446720872
99;99,0;9,16;220,57;262,7575242459562
100;100,0;7,11;171,21;263,02540381982516
101;101,0;6,58;158,45;263,29328339369414
102;102,0;15,13;364,33;263,5611629675631
103;103,0;9,32;224,43;263,8290425414321
104;104,0;10,21;245,86;264,096922115301
105;105,0;12,85;309,43;264,36480168917
106;106,0;10,65;256,45;264,632681263039
107;107,0;10,16;244,65;264,90056083690797
108;108,0;11,6;279,33;265,16844041077695
109;109,0;11,61;279,57;265,43631998464593
110;110,0;11,84;285,11;265,7041995585149
111;111,0;11,81;284,38;265,9720791323839
112;112,0;13,64;328,45;266,2399587062529
113;113,0;11,47;276,2;266,50783828012186
114;114,0;11,92;287,03;266,77571785399084
115;115,0;11,81;284,38;267,04359742785977
116;116,0;11,51;277,16;267,31147700172875
117;117,0;11,33;272,83;267,5793565755977
118;118,0;11,75;282,94;267,8472361494667
119;119,0;11,66;280,77;268,1151157233357
120;120,0;11,92;287,03;268,3829952972047
121;121,0;11,32;272,59;268,65087487107365
122;122,0;12,03;289,68;268,91875444494264
123;123,0;11,97;288,24;269,1866340188116
124;124,0;11,78;283,66;269,4545135926806
125;125,0;12,52;301,48;269,7223931665495
126;126,0;12,1;291,37;269,9902727404185
127;127,0;12,07;290,65;270,2581523142875
128;128,0;11,89;286,31;270,52603188815647
129;129,0;12,31;296,42;270,79391146202545
130;130,0;11,84;285,11;271,06179103589443
131;131,0;11,7;281,74;271,3296706097634
132;132,0;11,5;276,92;271,5975501836324
133;133,0;10,2;245,62;271,8654297575014
134;134,0;11,29;271,86;272,13330933137036
135;135,0;11,62;279,81;272,40118890523934
136;136,0;13,22;318,34;272,6690684791083
137;137,0;10,03;241,52;272,93694805297724
138;138,0;11,44;275,48;273,2048276268462
139;139,0;10,98;264,4;273,4727072007152
140;140,0;11,95;287,76;273,7405867745842
141;141,0;11,97;288,24;274,00846634845317
142;142,0;9,66;232,61;274,27634592232215
143;143,0;11,92;287,03;274,54422549619113
144;144,0;11,41;274,75;274,8121050700601
145;145,0;11,6;279,33;275,0799846439291
146;146,0;11,56;278,36;275,3478642177981
147;147,0;11,34;273,07;275,615743791667
148;148,0;11,09;267,05;275,883623365536
149;149,0;11,18;269,21;276,15150293940496
150;150,0;10,79;259,82;276,41938251327394
151;151,0;11,97;288,24;276,6872620871429
152;152,0;6,52;157,0;276,9551416610119
153;153,0;6,66;160,37;277,2230212348809
154;154,0;11,18;269,21;277,49090080874987
155;155,0;14,19;341,7;277,75878038261885
156;156,0;12,78;307,74;278,02665995648783
157;157,0;12,75;307,02;278,2945395303568
158;158,0;12,04;289,92;278,5624191042258
159;159,0;11,11;267,53;278,8302986780947
160;160,0;11,51;277,16;279,0981782519637
161;161,0;12,54;301,96;279,3660578258327
162;162,0;11,9;286,55;279,63393739970167
