;Time;Voltage;Temperature;Model_temp
0;0,0;10,88;261,99;278,60459381870004
1;1,0;6,18;148,81;278,77905845239735
2;2,0;6,36;153,15;278,9535230860947
3;3,0;7,72;185,9;279,12798771979203
4;4,0;7,97;191,92;279,3024523534894
5;5,0;6,67;160,61;279,4769169871867
6;6,0;8,28;199,38;279,651381620884
7;7,0;8,24;198,42;279,8258462545814
8;8,0;6,91;166,39;280,0003108882787
9;9,0;8,54;205,64;280,1747755219761
10;10,0;7,15;172,17;280,3492401556734
11;11,0;8,47;203,96;280,52370478937075
12;12,0;7,27;175,06;280,69816942306807
13;13,0;8,92;214,79;280,8726340567654
14;14,0;7,96;191,68;281,04709869046275
15;15,0;9,13;219,85;281,22156332416006
16;16,0;7,59;182,77;281,3960279578574
17;17,0;9,28;223,46;281,57049259155474
18;18,0;8,14;196,01;281,74495722525205
19;19,0;9,01;216,96;281,9194218589494
20;20,0;8,87;213,59;282,09388649264673
21;21,0;9,05;217,92;282,2683511263441
22;22,0;8,63;207,81;282,4428157600414
23;23,0;8,79;211,66;282,6172803937387
24;24,0;8,21;197,7;282,7917450274361
25;25,0;9,55;229,96;282,9662096611334
26;26,0;8,92;214,79;283,1406742948308
27;27,0;8,99;216,48;283,3151389285281
28;28,0;9,01;216,96;283,4896035622254
29;29,0;8,5;204,68;283,66406819592277
30;30,0;9,48;228,28;283,8385328296201
31;31,0;8,38;201,79;284,01299746331745
32;32,0;9,34;224,91;284,18746209701476
33;33,0;9,72;234,06;284,3619267307121
34;34,0;9,29;223,7;284,53639136440944
35;35,0;9,59;230,93;284,71085599810675
36;36,0;9,71;233,82;284,8853206318041
37;37,0;9,24;222,5;285,05978526550143
38;38,0;10,25;246,82;285,2342498991988
39;39,0;9,49;228,52;285,4087145328961
40;40,0;10,49;252,6;285,5831791665934
41;41,0;9,66;232,61;285,7576438002908
42;42,0;10,68;257,17;285,9321084339881
43;43,0;10,04;241,76;286,1065730676855
44;44,0;10,36;249,47;286,2810377013828
45;45,0;9,94;239,36;286,4555023350801
46;46,0;10,76;259,1;286,62996696877747
47;47,0;10,0;240,8;286,8044316024748
48;48,0;10,88;261,99;286,97889623617215
49;49,0;10,24;246,58;287,15336086986946
50;50,0;10,75;258,86;287,3278255035668
51;51,0;10,01;241,04;287,50229013726414
52;52,0;11,32;272,59;287,67675477096145
53;53,0;10,21;245,86;287,8512194046588
54;54,0;10,96;263,92;288,02568403835613
55;55,0;10,25;246,82;288,2001486720535
56;56,0;11,16;268,73;288,3746133057508
57;57,0;10,68;257,17;288,5490779394481
58;58,0;11,14;268,25;288,7235425731455
59;59,0;10,47;252,12;288,8980072068428
60;60,0;11,35;273,31;289,0724718405402
61;61,0;10,68;257,17;289,2469364742375
62;62,0;11,43;275,23;289,4214011079348
63;63,0;10,51;253,08;289,59586574163217
64;64,0;11,39;274,27;289,7703303753295
65;65,0;10,7;257,66;289,94479500902685
66;66,0;11,37;273,79;290,11925964272416
67;67,0;10,03;241,52;290,2937242764215
68;68,0;11,51;277,16;290,46818891011884
69;69,0;10,8;260,06;290,64265354381615
70;70,0;11,5;276,92;290,8171181775135
71;71,0;10,92;262,95;290,99158281121083
72;72,0;11,37;273,79;291,1660474449082
73;73,0;10,42;250,91;291,3405120786055
74;74,0;11,57;278,61;291,5149767123028
75;75,0;10,66;256,69;291,6894413460002
76;76,0;11,19;269,46;291,8639059796975
77;77,0;10,27;247,3;292,0383706133949
78;78,0;10,96;263,92;292,2128352470922
79;79,0;11,14;268,25;292,3872998807895
80;80,0;10,58;254,77;292,56176451448687
81;81,0;9,04;217,68;292,7362291481842
82;82,0;8,07;194,33;292,91069378188155
83;83,0;10,79;259,82;293,08515841557886
84;84,0;12,45;299,8;293,2596230492762
85;85,0;9,46;227,8;293,43408768297354
86;86,0;9,32;224,43;293,60855231667085
87;87,0;8,48;204,2;293,7830169503682
88;88,0;9,25;222,74;293,95748158406553
89;89,0;9,13;219,85;294,1319462177629
90;90,0;10,25;246,82;294,3064108514602
91;91,0;10,08;242,73;294,4808754851575
92;92,0;10,71;257,9;294,6553401188549
93;93,0;10,04;241,76;294,8298047525522
94;94,0;11,35;273,31;295,0042693862496
95;95,0;10,6;255,25;295,1787340199469
96;96,0;11,03;265,6;295,3531986536442
97;97,0;10,92;262,95;295,52766328734157
98;98,0;11,54;277,88;295,7021279210389
99;99,0;11,26;271,14;295,87659255473625
100;100,0;11,92;287,03;296,05105718843356
101;101,0;11,95;287,76;296,2255218221309
102;102,0;11,64;280,29;296,39998645582824
103;103,0;11,77;283,42;296,57445108952555
104;104,0;11,77;283,42;296,7489157232229
105;105,0;11,63;280,05;296,92338035692023
106;106,0;11,83;284,87;297,09784499061755
107;107,0;11,35;273,31;297,2723096243149
108;108,0;12,0;288,96;297,4467742580122
109;109,0;11,41;274,75;297,6212388917096
110;110,0;12,02;289,44;297,7957035254069
111;111,0;11,0;264,88;297,9701681591042
112;112,0;11,9;286,55;298,1446327928016
113;113,0;11,37;273,79;298,3190974264989
114;114,0;12,19;293,54;298,49356206019627
115;115,0;11,57;278,61;298,6680266938936
116;116,0;12,2;293,78;298,84249132759095
117;117,0;11,32;272,59;299,01695596128826
118;118,0;12,1;291,37;299,1914205949856
