;Time;Fy;Model_strength
0;0,0;12,03;18,985350540956286
1;1,0;13,51;19,027332000409473
2;2,0;12,48;19,06931345986266
3;3,0;14,59;19,111294919315846
4;4,0;13,9;19,153276378769032
5;5,0;13,6;19,19525783822222
6;6,0;14,6;19,237239297675405
7;7,0;15,16;19,27922075712859
8;8,0;14,17;19,321202216581778
9;9,0;14,63;19,363183676034964
10;10,0;14,63;19,40516513548815
11;11,0;13,94;19,447146594941337
12;12,0;14,69;19,489128054394524
13;13,0;14,82;19,53110951384771
14;14,0;14,41;19,573090973300896
15;15,0;14,67;19,615072432754083
16;16,0;14,33;19,65705389220727
17;17,0;15,24;19,699035351660456
18;18,0;14,66;19,741016811113642
19;19,0;14,79;19,78299827056683
20;20,0;15,4;19,824979730020015
21;21,0;15,82;19,8669611894732
22;22,0;15,32;19,908942648926388
23;23,0;15,35;19,950924108379574
24;24,0;15,81;19,99290556783276
25;25,0;14,68;20,034887027285947
26;26,0;15,59;20,076868486739134
27;27,0;15,14;20,11884994619232
28;28,0;15,3;20,160831405645506
29;29,0;15,36;20,202812865098693
30;30,0;15,23;20,24479432455188
31;31,0;15,91;20,286775784005066
32;32,0;15,69;20,328757243458252
33;33,0;15,47;20,37073870291144
34;34,0;15,4;20,412720162364625
35;35,0;15,63;20,45470162181781
36;36,0;15,61;20,496683081270998
37;37,0;16,36;20,538664540724184
38;38,0;16,3;20,58064600017737
39;39,0;16,55;20,622627459630557
40;40,0;16,14;20,664608919083744
41;41,0;16,57;20,70659037853693
42;42,0;15,93;20,748571837990117
43;43,0;16,9;20,790553297443303
44;44,0;16,42;20,83253475689649
45;45,0;17,57;20,874516216349676
46;46,0;16,54;20,916497675802862
47;47,0;16,84;20,95847913525605
48;48,0;16,6;21,000460594709235
49;49,0;16,62;21,04244205416242
50;50,0;16,88;21,084423513615608
51;51,0;17,3;21,126404973068794
52;52,0;17,83;21,16838643252198
53;53,0;17,59;21,210367891975167
54;54,0;17,71;21,252349351428354
55;55,0;17,52;21,29433081088154
56;56,0;17,39;21,336312270334727
57;57,0;17,55;21,378293729787913
58;58,0;17,57;21,4202751892411
59;59,0;16,98;21,462256648694286
60;60,0;18,52;21,504238108147472
61;61,0;18,13;21,54621956760066
62;62,0;17,9;21,588201027053845
63;63,0;18,39;21,63018248650703
64;64,0;17,94;21,672163945960218
65;65,0;19,15;21,714145405413404
66;66,0;18,74;21,75612686486659
67;67,0;18,25;21,798108324319777
68;68,0;18,33;21,840089783772964
69;69,0;19,04;21,88207124322615
