;Time;Fy;Model_strength
0;0,0;12,91;29,313659598484698
1;1,0;16,77;29,37682244152795
2;2,0;19,41;29,4399852845712
3;3,0;21,57;29,503148127614452
4;4,0;21,78;29,566310970657707
5;5,0;20,0;29,629473813700958
6;6,0;20,13;29,69263665674421
7;7,0;20,4;29,75579949978746
8;8,0;21,69;29,818962342830712
9;9,0;21,39;29,882125185873964
10;10,0;19,08;29,945288028917215
11;11,0;17,64;30,008450871960466
12;12,0;18,68;30,07161371500372
13;13,0;19,58;30,134776558046973
14;14,0;19,0;30,197939401090224
15;15,0;19,53;30,261102244133475
16;16,0;19,06;30,324265087176727
17;17,0;19,92;30,387427930219978
18;18,0;19,9;30,45059077326323
19;19,0;20,57;30,51375361630648
20;20,0;19,05;30,576916459349736
21;21,0;19,42;30,640079302392987
22;22,0;19,94;30,70324214543624
23;23,0;20,39;30,76640498847949
24;24,0;20,29;30,82956783152274
25;25,0;20,44;30,892730674565993
26;26,0;21,59;30,955893517609244
27;27,0;22,11;31,0190563606525
28;28,0;22,19;31,08221920369575
29;29,0;23,88;31,145382046739
30;30,0;24,2;31,208544889782253
31;31,0;25,11;31,271707732825504
32;32,0;24,71;31,334870575868756
33;33,0;25,46;31,398033418912007
34;34,0;26,4;31,46119626195526
35;35,0;28,96;31,524359104998513
36;36,0;27,23;31,587521948041765
37;37,0;28,44;31,650684791085016
38;38,0;28,37;31,713847634128268
39;39,0;30,64;31,77701047717152
40;40,0;29,49;31,84017332021477
41;41,0;29,82;31,903336163258025
42;42,0;30,97;31,966499006301277
43;43,0;31,99;32,02966184934453
44;44,0;30,49;32,09282469238778
45;45,0;30,01;32,15598753543103
46;46,0;31,22;32,21915037847428
47;47,0;32,43;32,28231322151753
48;48,0;30,29;32,345476064560785
49;49,0;32,1;32,408638907604036
50;50,0;33,11;32,47180175064729
51;51,0;31,9;32,53496459369054
52;52,0;32,57;32,59812743673379
53;53,0;33,58;32,66129027977705
54;54,0;35,79;32,7244531228203
55;55,0;32,71;32,78761596586355
56;56,0;33,06;32,8507788089068
57;57,0;34,7;32,913941651950054
58;58,0;35,82;32,977104494993306
59;59,0;33,88;33,04026733803656
60;60,0;33,76;33,10343018107981
61;61,0;36,12;33,16659302412306
62;62,0;36,56;33,22975586716631
63;63,0;35,21;33,29291871020956
64;64,0;35,89;33,356081553252814
65;65,0;37,0;33,419244396296065
66;66,0;36,74;33,48240723933932
67;67,0;35,83;33,54557008238257
68;68,0;38,3;33,60873292542583
69;69,0;37,88;33,67189576846908
70;70,0;36,41;33,73505861151233
71;71,0;37,26;33,79822145455558
72;72,0;38,89;33,86138429759883
73;73,0;35,83;33,92454714064208
74;74,0;37,04;33,987709983685335
75;75,0;38,27;34,050872826728586
76;76,0;36,01;34,11403566977184
77;77,0;35,89;34,17719851281509
78;78,0;35,26;34,24036135585834
79;79,0;32,97;34,30352419890159
80;80,0;31,14;34,36668704194484
81;81,0;25,1;34,429849884988094
82;82,0;21,71;34,493012728031346
83;83,0;18,15;34,556175571074604
84;84,0;14,34;34,619338414117856
85;85,0;25,24;34,68250125716111
86;86,0;31,72;34,74566410020436
87;87,0;32,37;34,80882694324761
88;88,0;34,64;34,87198978629086
89;89,0;36,08;34,93515262933411
90;90,0;38,37;34,998315472377364
91;91,0;35,18;35,061478315420615
92;92,0;35,27;35,12464115846387
93;93,0;38,2;35,18780400150712
94;94,0;36,52;35,25096684455037
95;95,0;35,8;35,31412968759362
96;96,0;37,28;35,37729253063687
97;97,0;39,81;35,44045537368012
98;98,0;36,34;35,50361821672338
99;99,0;37,41;35,56678105976663
100;100,0;39,13;35,629943902809885
101;101,0;38,5;35,693106745853136
102;102,0;37,91;35,75626958889639
103;103,0;37,1;35,81943243193964
104;104,0;39,83;35,88259527498289
105;105,0;37,34;35,94575811802614
106;106,0;37,95;36,00892096106939
107;107,0;40,15;36,072083804112644
108;108,0;36,52;36,135246647155896
109;109,0;37,15;36,19840949019915
110;110,0;39,54;36,2615723332424
111;111,0;36,21;36,32473517628565
112;112,0;36,61;36,3878980193289
113;113,0;38,75;36,45106086237216
114;114,0;36,99;36,51422370541541
115;115,0;36,27;36,57738654845866
116;116,0;39,98;36,640549391501914
117;117,0;38,58;36,703712234545165
118;118,0;36,66;36,766875077588416
119;119,0;38,87;36,83003792063167
120;120,0;40,26;36,89320076367492
121;121,0;36,64;36,95636360671817
122;122,0;37,69;37,01952644976142
123;123,0;40,0;37,08268929280467
124;124,0;36,48;37,145852135847925
125;125,0;37,25;37,209014978891176
126;126,0;39,7;37,27217782193443
127;127,0;37,2;37,33534066497768
128;128,0;37,74;37,39850350802094
129;129,0;40,75;37,46166635106418
130;130,0;37,33;37,52482919410744
131;131,0;37,68;37,58799203715069
132;132,0;40,46;37,65115488019394
133;133,0;38,07;37,714317723237194
134;134,0;37,59;37,777480566280445
135;135,0;40,34;37,8406434093237
136;136,0;38,22;37,90380625236695
137;137,0;37,98;37,9669690954102
138;138,0;40,0;38,03013193845345
139;139,0;38,02;38,0932947814967
140;140,0;36,77;38,156457624539954
141;141,0;40,99;38,219620467583205
142;142,0;40,96;38,282783310626456
143;143,0;36,9;38,345946153669715
144;144,0;38,67;38,40910899671296
145;145,0;41,61;38,47227183975622
146;146,0;36,86;38,53543468279947
147;147,0;39,03;38,59859752584272
148;148,0;40,31;38,66176036888597
149;149,0;37,02;38,72492321192922
150;150,0;38,83;38,788086054972474
151;151,0;41,35;38,851248898015726
152;152,0;37,83;38,91441174105898
153;153,0;38,41;38,97757458410223
154;154,0;41,51;39,04073742714548
155;155,0;38,99;39,10390027018873
156;156,0;37,59;39,16706311323198
157;157,0;39,21;39,230225956275234
158;158,0;39,29;39,29338879931849
159;159,0;37,76;39,35655164236174
160;160,0;37,78;39,419714485404995
161;161,0;39,1;39,48287732844825
162;162,0;35,75;39,5460401714915
163;163,0;35,12;39,60920301453475
164;164,0;31,17;39,672365857578
165;165,0;26,57;39,73552870062125
166;166,0;22,0;39,7986915436645
167;167,0;19,0;39,861854386707755
168;168,0;14,91;39,925017229751006
169;169,0;23,14;39,98818007279426
170;170,0;30,58;40,05134291583751
171;171,0;34,72;40,11450575888076
172;172,0;35,83;40,17766860192401
173;173,0;37,5;40,24083144496727
174;174,0;40,16;40,303994288010514
175;175,0;38,22;40,36715713105377
176;176,0;38,62;40,430319974097024
177;177,0;40,61;40,493482817140276
