;Time;Fy;Model_strength
0;0,0;12,04;38,63461077528481
1;1,0;16,36;38,653571312043056
2;2,0;14,7;38,672531848801306
3;3,0;14,3;38,69149238555955
4;4,0;14,63;38,7104529223178
5;5,0;14,41;38,72941345907604
6;6,0;14,42;38,748373995834285
7;7,0;15,16;38,767334532592535
8;8,0;15,11;38,78629506935078
9;9,0;15,39;38,80525560610903
10;10,0;15,27;38,82421614286727
11;11,0;15,6;38,843176679625515
12;12,0;17,24;38,862137216383765
13;13,0;16,57;38,88109775314201
14;14,0;16,02;38,90005828990026
15;15,0;16,48;38,9190188266585
16;16,0;16,93;38,93797936341675
17;17,0;16,99;38,956939900174994
18;18,0;17,55;38,97590043693324
19;19,0;17,18;38,99486097369149
20;20,0;17,96;39,01382151044973
21;21,0;17,8;39,03278204720798
22;22,0;18,49;39,051742583966224
23;23,0;18,69;39,07070312072447
24;24,0;18,47;39,08966365748272
25;25,0;18,65;39,10862419424096
26;26,0;19,52;39,12758473099921
27;27,0;19,28;39,14654526775745
28;28,0;19,54;39,165505804515696
29;29,0;20,73;39,18446634127395
30;30,0;20,22;39,20342687803219
31;31,0;19,57;39,22238741479044
32;32,0;20,02;39,24134795154868
33;33,0;21,08;39,260308488306926
34;34,0;22,56;39,279269025065176
35;35,0;21,96;39,29822956182342
36;36,0;22,94;39,31719009858167
37;37,0;22,88;39,33615063533991
38;38,0;22,73;39,355111172098155
39;39,0;24,06;39,374071708856405
40;40,0;22,81;39,39303224561465
41;41,0;24,09;39,4119927823729
42;42,0;23,34;39,43095331913114
43;43,0;24,22;39,44991385588939
44;44,0;24,97;39,468874392647635
45;45,0;24,96;39,48783492940588
46;46,0;25,18;39,50679546616413
47;47,0;25,59;39,52575600292237
48;48,0;26,23;39,54471653968062
49;49,0;26,32;39,563677076438864
50;50,0;25,61;39,58263761319711
51;51,0;27,54;39,60159814995536
52;52,0;26,01;39,6205586867136
53;53,0;27,36;39,63951922347185
54;54,0;26,99;39,658479760230094
55;55,0;27,07;39,67744029698834
56;56,0;28,26;39,69640083374659
57;57,0;28,04;39,71536137050483
58;58,0;27,92;39,73432190726308
59;59,0;28,82;39,75328244402132
60;60,0;28,69;39,772242980779566
61;61,0;29,16;39,79120351753782
62;62,0;30,03;39,81016405429606
63;63,0;28,74;39,82912459105431
64;64,0;31,27;39,84808512781255
65;65,0;31,03;39,867045664570796
66;66,0;30,13;39,886006201329046
67;67,0;27,82;39,90496673808729
68;68,0;32,86;39,92392727484554
69;69,0;32,94;39,94288781160378
70;70,0;36,4;39,961848348362025
71;71,0;35,72;39,980808885120275
72;72,0;33,45;39,99976942187852
73;73,0;34,82;40,01872995863677
74;74,0;34,3;40,03769049539501
75;75,0;36,59;40,05665103215326
76;76,0;35,9;40,075611568911505
77;77,0;35,31;40,09457210566975
78;78,0;36,56;40,113532642428
79;79,0;36,86;40,13249317918624
80;80,0;36,64;40,15145371594449
81;81,0;38,81;40,170414252702734
82;82,0;38,77;40,18937478946098
83;83,0;37,22;40,20833532621923
84;84,0;37,54;40,22729586297747
85;85,0;39,89;40,24625639973572
86;86,0;36,27;40,265216936493964
87;87,0;38,7;40,28417747325221
88;88,0;37,98;40,30313801001046
89;89,0;38,44;40,3220985467687
90;90,0;37,41;40,34105908352695
91;91,0;37,67;40,36001962028519
92;92,0;39,96;40,378980157043436
93;93,0;37,84;40,39794069380169
94;94,0;38,91;40,41690123055993
95;95,0;38,83;40,43586176731818
96;96,0;39,35;40,45482230407642
97;97,0;38,04;40,47378284083467
98;98,0;38,61;40,492743377592916
99;99,0;38,97;40,51170391435116
100;100,0;38,9;40,53066445110941
101;101,0;39,3;40,54962498786765
102;102,0;39,19;40,5685855246259
103;103,0;40,3;40,587546061384145
104;104,0;38,3;40,60650659814239
105;105,0;38,32;40,62546713490064
106;106,0;39,26;40,64442767165888
107;107,0;38,83;40,66338820841713
108;108,0;37,84;40,682348745175375
109;109,0;40,06;40,70130928193362
110;110,0;38,08;40,72026981869187
111;111,0;39,15;40,73923035545011
112;112,0;38,69;40,75819089220836
113;113,0;39,06;40,777151428966604
114;114,0;37,86;40,79611196572485
115;115,0;38,29;40,8150725024831
116;116,0;41,48;40,83403303924134
117;117,0;38,31;40,85299357599959
118;118,0;39,58;40,871954112757834
119;119,0;39,29;40,89091464951608
120;120,0;40,03;40,90987518627433
121;121,0;38,71;40,92883572303257
122;122,0;39,56;40,94779625979082
123;123,0;40,84;40,96675679654906
124;124,0;38,63;40,985717333307306
125;125,0;40,07;41,00467787006556
126;126,0;40,43;41,0236384068238
127;127,0;41,78;41,04259894358205
128;128,0;38,55;41,06155948034029
129;129,0;39,73;41,08052001709854
130;130,0;40,49;41,099480553856786
131;131,0;39,98;41,11844109061503
132;132,0;38,81;41,13740162737328
133;133,0;39,87;41,15636216413152
134;134,0;41,3;41,17532270088977
135;135,0;38,06;41,194283237648015
136;136,0;39,01;41,21324377440626
137;137,0;39,4;41,23220431116451
138;138,0;25,26;41,25116484792275
139;139,0;33,78;41,270125384681
140;140,0;40,24;41,289085921439245
141;141,0;43,47;41,30804645819749
142;142,0;42,53;41,32700699495574
143;143,0;42,97;41,34596753171398
144;144,0;40,66;41,36492806847223
145;145,0;40,35;41,383888605230474
146;146,0;40,57;41,40284914198872
147;147,0;44,04;41,42180967874697
148;148,0;41,6;41,44077021550521
149;149,0;41,9;41,45973075226346
150;150,0;41,36;41,478691289021704
151;151,0;41,19;41,497651825779954
152;152,0;41,91;41,5166123625382
153;153,0;42,81;41,53557289929644
154;154,0;41,65;41,55453343605469
155;155,0;44,26;41,57349397281293
156;156,0;41,18;41,59245450957118
157;157,0;42,74;41,61141504632943
158;158,0;43,42;41,63037558308767
159;159,0;43,29;41,64933611984592
160;160,0;42,67;41,66829665660416
161;161,0;42,0;41,68725719336241
162;162,0;43,78;41,706217730120656
163;163,0;41,32;41,7251782668789
164;164,0;43,17;41,74413880363715
165;165,0;43,05;41,76309934039539
166;166,0;44,07;41,78205987715364
