;Time;Voltage;Temperature;Model_temp
0;0,0;7,67;184,69;309,47259379993363
1;1,0;9,26;222,98;310,2893412178417
2;2,0;6,67;160,61;311,10608863574976
3;3,0;8,22;197,94;311,9228360536578
4;4,0;9,52;229,24;312,7395834715659
5;5,0;11,74;282,7;313,5563308894739
6;6,0;9,72;234,06;314,37307830738195
7;7,0;11,85;285,35;315,18982572529
8;8,0;10,51;253,08;316,00657314319807
9;9,0;11,87;285,83;316,82332056110613
10;10,0;10,79;259,82;317,6400679790142
11;11,0;11,72;282,22;318,45681539692225
12;12,0;11,6;279,33;319,2735628148303
13;13,0;11,87;285,83;320,0903102327384
14;14,0;11,84;285,11;320,90705765064644
15;15,0;9,53;229,48;321,72380506855444
16;16,0;11,42;274,99;322,5405524864625
17;17,0;11,16;268,73;323,35729990437056
18;18,0;13,0;313,04;324,1740473222786
19;19,0;11,69;281,5;324,9907947401867
20;20,0;14,64;352,53;325,80754215809475
21;21,0;11,66;280,77;326,6242895760028
22;22,0;12,39;298,35;327,44103699391087
23;23,0;12,01;289,2;328,25778441181893
24;24,0;12,92;311,11;329,074531829727
25;25,0;12,66;304,85;329,891279247635
26;26,0;13,67;329,17;330,70802666554306
27;27,0;13,68;329,41;331,5247740834511
28;28,0;14,3;344,34;332,3415215013592
29;29,0;14,36;345,79;333,15826891926724
30;30,0;14,41;346,99;333,9750163371753
31;31,0;14,17;341,21;334,79176375508337
32;32,0;12,95;311,84;335,6085111729914
33;33,0;13,77;331,58;336,4252585908995
34;34,0;13,43;323,39;337,2420060088075
35;35,0;12,44;299,56;338,05875342671555
36;36,0;14,08;339,05;338,8755008446236
37;37,0;13,91;334,95;339,6922482625317
38;38,0;15,08;363,13;340,50899568043974
39;39,0;14,93;359,51;341,3257430983478
40;40,0;14,56;350,6;342,14249051625586
41;41,0;14,09;339,29;342,9592379341639
42;42,0;14,71;354,22;343,775985352072
43;43,0;15,2;366,02;344,59273276998
44;44,0;14,77;355,66;345,40948018788805
45;45,0;15,08;363,13;346,2262276057961
46;46,0;14,65;352,77;347,0429750237042
47;47,0;15,36;369,87;347,85972244161223
48;48,0;14,9;358,79;348,6764698595203
49;49,0;14,59;351,33;349,49321727742836
50;50,0;14,66;353,01;350,3099646953364
51;51,0;15,88;382,39;351,1267121132445
52;52,0;15,69;377,82;351,9434595311525
53;53,0;15,9;382,87;352,76020694906055
54;54,0;15,79;380,22;353,5769543669686
55;55,0;15,93;383,59;354,39370178487667
56;56,0;15,55;374,44;355,21044920278473
57;57,0;16,36;393,95;356,0271966206928
58;58,0;16,13;388,41;356,84394403860085
59;59,0;16,31;392,74;357,6606914565089
60;60,0;16,29;392,26;358,477438874417
61;61,0;16,56;398,76;359,29418629232504
62;62,0;16,72;402,62;360,1109337102331
63;63,0;16,6;399,73;360,9276811281411
64;64,0;16,88;406,47;361,74442854604916
65;65,0;16,63;400,45;362,5611759639572
66;66,0;16,64;400,69;363,3779233818653
67;67,0;16,61;399,97;364,19467079977335
68;68,0;16,6;399,73;365,0114182176814
69;69,0;16,37;394,19;365,82816563558947
70;70,0;15,11;363,85;366,64491305349753
71;71,0;15,66;377,09;367,4616604714056
72;72,0;15,12;364,09;368,2784078893136
73;73,0;16,5;397,32;369,09515530722166
74;74,0;16,98;408,88;369,9119027251297
75;75,0;16,4;394,91;370,7286501430378
76;76,0;13,07;314,73;371,54539756094584
77;77,0;14,37;346,03;372,3621449788539
78;78,0;16,78;404,06;373,17889239676197
79;79,0;15,58;375,17;373,99563981467
80;80,0;13,4;322,67;374,8123872325781
81;81,0;12,7;305,82;375,6291346504861
82;82,0;9,99;240,56;376,44588206839416
83;83,0;9,4;226,35;377,2626294863022
84;84,0;6,51;156,76;378,0793769042103
85;85,0;8,96;215,76;378,89612432211834
86;86,0;6,71;161,58;379,7128717400264
87;87,0;7,22;173,86;380,52961915793446
88;88,0;11,13;268,01;381,3463665758425
89;89,0;13,46;324,12;382,1631139937506
90;90,0;15,44;371,8;382,9798614116586
91;91,0;14,45;347,96;383,7966088295667
92;92,0;14,87;358,07;384,6133562474747
93;93,0;15,01;361,44;385,4301036653828
94;94,0;15,56;374,68;386,24685108329084
95;95,0;15,57;374,93;387,0635985011989
96;96,0;16,14;388,65;387,88034591910696
97;97,0;16,04;386,24;388,697093337015
98;98,0;13,96;336,16;389,5138407549231
99;99,0;15,06;362,64;390,3305881728311
100;100,0;16,22;390,58;391,1473355907392
101;101,0;14,31;344,58;391,9640830086472
102;102,0;16,84;405,51;392,78083042655527
103;103,0;17,01;409,6;393,59757784446333
104;104,0;17,8;428,62;394,4143252623714
105;105,0;19,39;466,91;395,23107268027945
106;106,0;15,63;376,37;396,0478200981875
107;107,0;19,75;475,58;396,8645675160956
108;108,0;17,33;417,31;397,6813149340036
109;109,0;12,01;289,2;398,4980623519117
110;110,0;17,06;410,8;399,3148097698197
111;111,0;17,02;409,84;400,13155718772776
112;112,0;17,3;416,58;400,9483046056358
113;113,0;16,17;389,37;401,7650520235439
114;114,0;16,98;408,88;402,58179944145195
115;115,0;14,53;349,88;403,39854685936
116;116,0;13,58;327,01;404,2152942772681
117;117,0;16,46;396,36;405,03204169517613
118;118,0;14,62;352,05;405,8487891130842
119;119,0;15,57;374,93;406,6655365309922
120;120,0;16,76;403,58;407,48228394890026
121;121,0;16,5;397,32;408,2990313668083
122;122,0;17,51;421,64;409,1157787847164
123;123,0;17,47;420,68;409,93252620262444
124;124,0;16,43;395,63;410,7492736205325
125;125,0;17,66;425,25;411,56602103844057
126;126,0;17,3;416,58;412,38276845634863
127;127,0;16,38;394,43;413,1995158742567
128;128,0;17,06;410,8;414,0162632921647
129;129,0;17,18;413,69;414,8330107100728
130;130,0;18,13;436,57;415,6497581279808
131;131,0;13,5;325,08;416,4665055458889
132;132,0;19,74;475,34;417,28325296379694
133;133,0;19,86;478,23;418,100000381705
134;134,0;17,95;432,24;418,91674779961306
135;135,0;17,97;432,72;419,7334952175211
136;136,0;13,51;325,32;420,5502426354292
137;137,0;17,87;430,31;421,3669900533372
138;138,0;17,77;427,9;422,1837374712453
139;139,0;17,96;432,48;423,0004848891533
140;140,0;17,82;429,11;423,8172323070614
141;141,0;17,78;428,14;424,63397972496944
142;142,0;16,06;386,72;425,4507271428775
143;143,0;17,85;429,83;426,26747456078556
144;144,0;18,1;435,85;427,0842219786936
145;145,0;17,13;412,49;427,9009693966017
146;146,0;17,87;430,31;428,7177168145097
147;147,0;17,63;424,53;429,5344642324178
148;148,0;18,01;433,68;430,3512116503258
149;149,0;18,0;433,44;431,16795906823387
150;150,0;17,95;432,24;431,98470648614193
151;151,0;18,8;452,7;432,80145390405
152;152,0;16,81;404,78;433,61820132195805
153;153,0;17,92;431,51;434,4349487398661
154;154,0;18,07;435,13;435,2516961577742
155;155,0;17,91;431,27;436,06844357568224
156;156,0;18,33;441,39;436,8851909935903
157;157,0;18,09;435,61;437,7019384114983
158;158,0;18,02;433,92;438,5186858294064
159;159,0;17,64;424,77;439,3354332473144
160;160,0;17,8;428,62;440,1521806652225
161;161,0;16,18;389,61;440,96892808313055
162;162,0;17,69;425,98;441,7856755010386
163;163,0;15,25;367,22;442,6024229189467
164;164,0;16,87;406,23;443,4191703368547
165;165,0;15,74;379,02;444,2359177547628
166;166,0;14,3;344,34;445,0526651726708
167;167,0;11,64;280,29;445,8694125905789
168;168,0;10,17;244,89;446,6861600084869
169;169,0;8,26;198,9;447,502907426395
170;170,0;7,08;170,49;448,31965484430305
171;171,0;6,16;148,33;449,1364022622111
