;Time;Voltage;Temperature;Model_temp
0;0,0;11,52;277,4;320,6532144080735
1;1,0;8,41;202,51;320,68476392743736
2;2,0;9,71;233,82;320,71631344680117
3;3,0;10,14;244,17;320,74786296616503
4;4,0;8,7;209,5;320,7794124855289
5;5,0;9,0;216,72;320,81096200489276
6;6,0;7,15;172,17;320,84251152425657
7;7,0;10,56;254,28;320,87406104362043
8;8,0;7,96;191,68;320,9056105629843
9;9,0;10,44;251,4;320,93716008234816
10;10,0;9,98;240,32;320,96870960171196
11;11,0;8,44;203,24;321,0002591210758
12;12,0;12,25;294,98;321,0318086404397
13;13,0;11,29;271,86;321,06335815980356
14;14,0;8,03;193,36;321,09490767916736
15;15,0;12,05;290,16;321,1264571985312
16;16,0;8,57;206,37;321,1580067178951
17;17,0;11,55;278,12;321,18955623725896
18;18,0;10,81;260,3;321,22110575662276
19;19,0;8,86;213,35;321,2526552759866
20;20,0;10,95;263,68;321,2842047953505
21;21,0;11,68;281,25;321,3157543147143
22;22,0;9,47;228,04;321,34730383407816
23;23,0;12,42;299,07;321,378853353442
24;24,0;9,9;238,39;321,4104028728059
25;25,0;12,02;289,44;321,4419523921697
26;26,0;14,57;350,85;321,47350191153356
27;27,0;10,09;242,97;321,5050514308974
28;28,0;12,01;289,2;321,5366009502613
29;29,0;10,67;256,93;321,5681504696251
30;30,0;11,61;279,57;321,59969998898896
31;31,0;13,27;319,54;321,6312495083528
32;32,0;10,73;258,38;321,6627990277167
33;33,0;12,73;306,54;321,6943485470805
34;34,0;14,59;351,33;321,72589806644436
35;35,0;12,11;291,61;321,7574475858082
36;36,0;14,07;338,81;321,7889971051721
37;37,0;10,95;263,68;321,8205466245359
38;38,0;12,57;302,69;321,85209614389976
39;39,0;13,41;322,91;321,8836456632636
40;40,0;12,79;307,98;321,91519518262743
41;41,0;11,59;279,09;321,9467447019913
42;42,0;14,05;338,32;321,97829422135516
43;43,0;12,44;299,56;322,009843740719
44;44,0;15,0;361,2;322,0413932600828
