;Time;Fy;Model_strength
0;0,0;12,93;29,69327467941597
1;1,0;13,36;29,73117817675023
2;3,0;12,33;29,806985171418752
3;18,0;16,1;30,375537631432653
4;19,0;17,2;30,413441128766912
5;20,0;15,02;30,451344626101175
6;21,0;13,6;30,489248123435434
7;22,0;16,53;30,527151620769693
8;23,0;16,42;30,565055118103952
9;24,0;15,72;30,602958615438215
10;25,0;15,69;30,640862112772474
11;26,0;15,0;30,678765610106733
12;27,0;14,9;30,716669107440996
13;28,0;15,36;30,754572604775255
14;29,0;15,77;30,792476102109514
15;30,0;15,5;30,830379599443773
16;31,0;15,19;30,868283096778036
17;32,0;15,31;30,906186594112295
18;33,0;15,42;30,944090091446554
19;34,0;15,59;30,981993588780817
20;35,0;15,76;31,019897086115076
21;36,0;14,85;31,057800583449335
22;37,0;16,16;31,095704080783594
23;38,0;15,65;31,133607578117857
24;39,0;15,32;31,171511075452116
25;40,0;16,78;31,209414572786375
26;41,0;17,18;31,247318070120635
27;42,0;17,27;31,285221567454897
28;43,0;17,17;31,323125064789156
29;44,0;17,53;31,361028562123415
30;45,0;17,01;31,398932059457678
31;46,0;17,8;31,436835556791937
32;47,0;17,77;31,474739054126196
33;48,0;18,56;31,512642551460456
34;49,0;18,31;31,55054604879472
35;50,0;18,93;31,588449546128977
36;51,0;20,0;31,626353043463237
37;52,0;21,42;31,664256540797496
38;53,0;19,98;31,70216003813176
39;54,0;20,41;31,740063535466017
40;55,0;20,37;31,777967032800277
41;56,0;20,71;31,81587053013454
42;57,0;21,09;31,8537740274688
43;58,0;20,06;31,891677524803058
44;59,0;20,57;31,92958102213732
45;60,0;21,5;31,96748451947158
46;61,0;21,44;32,00538801680584
47;62,0;21,27;32,0432915141401
48;63,0;21,57;32,08119501147436
49;64,0;22,17;32,11909850880862
50;65,0;22,24;32,15700200614288
51;66,0;20,89;32,19490550347714
52;67,0;21,82;32,2328090008114
53;68,0;22,03;32,270712498145656
54;69,0;22,1;32,30861599547992
55;70,0;21,32;32,34651949281418
56;71,0;23,51;32,38442299014844
57;72,0;22,73;32,4223264874827
58;73,0;22,77;32,46022998481696
59;74,0;22,77;32,49813348215122
60;75,0;23,16;32,53603697948548
61;76,0;22,3;32,57394047681974
62;77,0;22,47;32,611843974154
63;78,0;24,35;32,64974747148826
64;79,0;24,24;32,687650968822524
65;80,0;23,74;32,72555446615678
66;81,0;25,71;32,76345796349104
67;82,0;25,09;32,8013614608253
68;83,0;25,78;32,83926495815956
69;84,0;24,16;32,87716845549382
70;85,0;23,86;32,91507195282808
71;86,0;25,41;32,95297545016234
72;87,0;24,71;32,990878947496604
73;88,0;24,96;33,02878244483086
74;89,0;24,88;33,06668594216512
75;90,0;26,85;33,104589439499385
76;91,0;26,65;33,14249293683364
77;92,0;27,77;33,1803964341679
78;93,0;26,14;33,21829993150216
79;94,0;27,31;33,25620342883642
80;95,0;27,15;33,294106926170684
81;96,0;27,85;33,33201042350494
82;97,0;29,02;33,3699139208392
83;98,0;27,74;33,407817418173465
84;99,0;28,78;33,44572091550772
85;100,0;29,25;33,48362441284198
86;101,0;30,73;33,521527910176246
87;102,0;29,57;33,5594314075105
88;103,0;30,54;33,597334904844764
89;104,0;29,64;33,63523840217903
90;105,0;31,67;33,67314189951328
91;106,0;31,55;33,711045396847545
92;107,0;30,73;33,74894889418181
93;108,0;31,56;33,786852391516064
94;109,0;31,38;33,824755888850326
95;110,0;31,16;33,86265938618458
96;111,0;33,28;33,900562883518845
97;112,0;31,31;33,93846638085311
98;113,0;32,32;33,97636987818736
99;114,0;31,94;34,014273375521626
100;115,0;32,24;34,05217687285588
101;116,0;33,8;34,090080370190144
102;117,0;32,96;34,12798386752441
103;118,0;33,93;34,16588736485866
104;119,0;32,2;34,203790862192925
105;120,0;33,69;34,24169435952719
106;121,0;32,93;34,27959785686144
107;122,0;32,28;34,317501354195706
