;Time;Fy;Model_strength
0;0,0;14,1;10,282838246520642
1;1,0;13,16;10,29611822562386
2;2,0;13,73;10,30939820472708
3;3,0;12,95;10,322678183830297
4;4,0;13,51;10,335958162933515
5;5,0;13,58;10,349238142036734
6;6,0;13,58;10,362518121139953
7;7,0;13,2;10,37579810024317
8;8,0;13,08;10,389078079346389
9;9,0;13,49;10,402358058449607
10;10,0;12,66;10,415638037552826
11;11,0;13,74;10,428918016656043
12;12,0;13,04;10,442197995759262
13;13,0;13,44;10,45547797486248
14;14,0;13,08;10,4687579539657
15;15,0;13,26;10,482037933068918
16;16,0;13,38;10,495317912172135
17;17,0;13,28;10,508597891275354
18;18,0;13,19;10,521877870378573
19;19,0;12,85;10,535157849481791
20;20,0;13,67;10,548437828585008
21;21,0;13,19;10,561717807688227
22;22,0;13,82;10,574997786791446
23;23,0;13,5;10,588277765894665
24;24,0;13,38;10,601557744997884
25;25,0;14,11;10,6148377241011
26;26,0;12,81;10,62811770320432
27;27,0;13,77;10,641397682307538
28;28,0;13,86;10,654677661410757
29;29,0;13,35;10,667957640513974
30;30,0;13,38;10,681237619617193
31;31,0;13,55;10,694517598720411
32;32,0;13,68;10,70779757782363
33;33,0;13,29;10,721077556926847
34;34,0;13,88;10,734357536030066
35;35,0;13,65;10,747637515133285
36;36,0;13,42;10,760917494236503
37;37,0;13,7;10,774197473339722
38;38,0;13,35;10,787477452442939
39;39,0;14,53;10,800757431546158
40;40,0;13,68;10,814037410649377
41;41,0;13,84;10,827317389752595
42;42,0;13,32;10,840597368855812
43;43,0;13,54;10,853877347959031
44;44,0;13,9;10,86715732706225
45;45,0;13,6;10,880437306165469
46;46,0;13,65;10,893717285268686
47;47,0;13,6;10,906997264371904
48;48,0;14,31;10,920277243475123
49;49,0;13,75;10,933557222578342
50;50,0;13,7;10,94683720168156
51;51,0;14,06;10,960117180784778
52;52,0;13,78;10,973397159887996
53;53,0;13,75;10,986677138991215
54;54,0;13,26;10,999957118094434
55;55,0;14,51;11,013237097197651
56;56,0;13,73;11,02651707630087
57;57,0;13,41;11,039797055404089
58;58,0;13,37;11,053077034507307
59;59,0;13,68;11,066357013610524
60;60,0;13,93;11,079636992713743
61;61,0;13,2;11,092916971816962
62;62,0;14,11;11,10619695092018
63;63,0;13,82;11,1194769300234
64;64,0;13,44;11,132756909126616
65;65,0;14,09;11,146036888229835
66;66,0;13,31;11,159316867333054
67;67,0;13,8;11,172596846436273
68;68,0;13,67;11,18587682553949
69;69,0;13,49;11,199156804642708
70;70,0;13,95;11,212436783745927
71;71,0;13,38;11,225716762849146
72;72,0;13,79;11,238996741952365
73;73,0;13,87;11,252276721055582
74;74,0;13,59;11,2655567001588
75;75,0;13,9;11,27883667926202
76;76,0;13,37;11,292116658365238
77;77,0;14,39;11,305396637468455
78;78,0;13,98;11,318676616571674
79;79,0;14,55;11,331956595674892
80;80,0;14,16;11,345236574778111
81;81,0;12,8;11,35851655388133
82;82,0;14,72;11,371796532984547
83;83,0;14,81;11,385076512087766
84;84,0;14,3;11,398356491190984
85;85,0;14,29;11,411636470294203
86;86,0;13,77;11,42491644939742
87;87,0;14,01;11,438196428500639
88;88,0;14,17;11,451476407603858
89;89,0;13,4;11,464756386707077
90;90,0;14,67;11,478036365810294
91;91,0;13,34;11,491316344913512
92;92,0;14,35;11,504596324016731
93;93,0;13,82;11,51787630311995
94;94,0;13,77;11,531156282223169
95;95,0;14,28;11,544436261326386
96;96,0;13,71;11,557716240429604
97;97,0;14,36;11,570996219532823
98;98,0;13,59;11,584276198636042
99;99,0;14,18;11,597556177739259
100;100,0;14,34;11,610836156842478
101;101,0;13,64;11,624116135945696
102;102,0;14,63;11,637396115048915
103;103,0;13,87;11,650676094152132
104;104,0;14,42;11,66395607325535
105;105,0;13,93;11,67723605235857
106;106,0;13,43;11,690516031461788
107;107,0;14,06;11,703796010565007
108;108,0;13,74;11,717075989668224
109;109,0;13,93;11,730355968771443
110;110,0;13,88;11,743635947874662
