;Time;Voltage;Temperature;Model_temp
0;0,0;6,45;155,32;169,57686036904755
1;1,0;6,52;157,0;169,64360337899856
2;2,0;6,31;151,94;169,71034638894957
3;3,0;6,39;153,87;169,7770893989006
4;4,0;6,49;156,28;169,84383240885163
5;5,0;6,45;155,32;169,91057541880264
6;6,0;6,97;167,84;169,97731842875365
7;7,0;6,51;156,76;170,0440614387047
8;8,0;6,83;164,47;170,1108044486557
9;9,0;6,42;154,59;170,1775474586067
10;10,0;6,82;164,23;170,24429046855772
11;11,0;6,52;157,0;170,31103347850876
12;12,0;6,44;155,08;170,37777648845977
13;13,0;6,97;167,84;170,44451949841078
14;14,0;6,6;158,93;170,5112625083618
15;15,0;6,79;163,5;170,57800551831284
16;16,0;6,51;156,76;170,64474852826385
17;17,0;6,72;161,82;170,71149153821486
18;18,0;6,42;154,59;170,77823454816587
19;19,0;6,68;160,85;170,8449775581169
20;20,0;6,45;155,32;170,91172056806792
21;21,0;6,85;164,95;170,97846357801893
22;22,0;6,96;167,6;171,04520658796994
23;23,0;6,15;148,09;171,11194959792098
24;24,0;6,72;161,82;171,178692607872
25;25,0;6,8;163,74;171,245435617823
26;26,0;6,73;162,06;171,31217862777402
27;27,0;6,56;157,96;171,37892163772506
28;28,0;6,43;154,83;171,44566464767607
29;29,0;6,87;165,43;171,51240765762708
30;30,0;6,99;168,32;171,5791506675781
31;31,0;6,5;156,52;171,64589367752913
32;32,0;6,75;162,54;171,71263668748014
33;33,0;6,63;159,65;171,77937969743115
34;34,0;6,7;161,34;171,84612270738216
35;35,0;6,95;167,36;171,9128657173332
36;36,0;6,39;153,87;171,97960872728422
37;37,0;7,2;173,38;172,04635173723523
38;38,0;6,9;166,15;172,11309474718624
39;39,0;6,29;151,46;172,17983775713728
40;40,0;6,49;156,28;172,2465807670883
41;41,0;6,92;166,63;172,3133237770393
42;42,0;6,72;161,82;172,3800667869903
43;43,0;6,36;153,15;172,44680979694135
44;44,0;7,0;168,56;172,51355280689236
45;45,0;6,6;158,93;172,58029581684337
46;46,0;6,85;164,95;172,6470388267944
47;47,0;6,89;165,91;172,71378183674543
48;48,0;6,33;152,43;172,78052484669644
49;49,0;6,23;150,02;172,84726785664745
50;50,0;8,0;192,64;172,91401086659846
51;51,0;7,73;186,14;172,9807538765495
52;52,0;6,67;160,61;173,0474968865005
53;53,0;6,36;153,15;173,11423989645152
54;54,0;6,84;164,71;173,18098290640253
55;55,0;6,92;166,63;173,24772591635357
56;56,0;6,56;157,96;173,31446892630458
57;57,0;6,56;157,96;173,3812119362556
58;58,0;6,14;147,85;173,4479549462066
59;59,0;6,79;163,5;173,51469795615765
60;60,0;6,52;157,0;173,58144096610866
61;61,0;6,67;160,61;173,64818397605967
62;62,0;6,49;156,28;173,71492698601068
63;63,0;6,63;159,65;173,78166999596172
64;64,0;6,46;155,56;173,84841300591273
65;65,0;6,74;162,3;173,91515601586374
66;66,0;6,56;157,96;173,98189902581476
67;67,0;6,91;166,39;174,0486420357658
68;68,0;6,7;161,34;174,1153850457168
69;69,0;6,9;166,15;174,18212805566782
70;70,0;6,63;159,65;174,24887106561883
71;71,0;6,24;150,26;174,31561407556987
72;72,0;6,78;163,26;174,38235708552088
73;73,0;6,67;160,61;174,4491000954719
74;74,0;6,47;155,8;174,5158431054229
75;75,0;6,88;165,67;174,58258611537394
76;76,0;6,59;158,69;174,64932912532495
77;77,0;6,83;164,47;174,71607213527597
78;78,0;7,21;173,62;174,78281514522698
79;79,0;6,59;158,69;174,84955815517802
80;80,0;7,02;169,04;174,91630116512903
81;81,0;7,01;168,8;174,98304417508004
82;82,0;6,86;165,19;175,04978718503105
83;83,0;7,08;170,49;175,1165301949821
84;84,0;7,06;170,0;175,1832732049331
85;85,0;6,67;160,61;175,2500162148841
86;86,0;7,18;172,89;175,31675922483512
87;87,0;6,97;167,84;175,38350223478614
88;88,0;6,71;161,58;175,45024524473718
89;89,0;7,16;172,41;175,5169882546882
90;90,0;6,82;164,23;175,5837312646392
91;91,0;6,91;166,39;175,6504742745902
92;92,0;6,46;155,56;175,71721728454125
93;93,0;7,13;171,69;175,78396029449226
94;94,0;7,01;168,8;175,85070330444327
95;95,0;7,21;173,62;175,91744631439428
96;96,0;7,01;168,8;175,98418932434532
97;97,0;6,82;164,23;176,05093233429633
98;98,0;6,93;166,87;176,11767534424735
99;99,0;7,07;170,25;176,18441835419836
100;100,0;6,94;167,12;176,2511613641494
101;101,0;7,02;169,04;176,3179043741004
102;102,0;7,01;168,8;176,38464738405142
103;103,0;7,17;172,65;176,45139039400243
104;104,0;7,25;174,58;176,51813340395347
105;105,0;7,15;172,17;176,58487641390448
106;106,0;7,18;172,89;176,6516194238555
107;107,0;7,09;170,73;176,7183624338065
108;108,0;7,15;172,17;176,78510544375754
109;109,0;7,41;178,43;176,85184845370856
110;110,0;7,25;174,58;176,91859146365957
111;111,0;6,01;144,72;176,98533447361058
112;112,0;6,98;168,08;177,05207748356162
113;113,0;6,63;159,65;177,11882049351263
114;114,0;6,53;157,24;177,18556350346364
115;115,0;6,63;159,65;177,25230651341465
116;116,0;7,02;169,04;177,3190495233657
117;117,0;6,72;161,82;177,3857925333167
118;118,0;6,81;163,98;177,45253554326771
119;119,0;6,97;167,84;177,51927855321873
120;120,0;6,64;159,89;177,58602156316977
121;121,0;7,06;170,0;177,65276457312078
122;122,0;6,97;167,84;177,7195075830718
123;123,0;6,78;163,26;177,7862505930228
124;124,0;6,99;168,32;177,85299360297384
125;125,0;7,13;171,69;177,91973661292485
126;126,0;6,97;167,84;177,98647962287586
127;127,0;6,97;167,84;178,05322263282687
128;128,0;6,72;161,82;178,1199656427779
129;129,0;6,88;165,67;178,18670865272892
130;130,0;7,28;175,3;178,25345166267994
131;131,0;6,83;164,47;178,32019467263095
132;132,0;6,97;167,84;178,386937682582
133;133,0;7,05;169,76;178,453680692533
134;134,0;7,16;172,41;178,520423702484
135;135,0;7,34;176,75;178,58716671243502
136;136,0;7,19;173,14;178,65390972238606
137;137,0;6,79;163,5;178,72065273233707
138;138,0;7,1;170,97;178,78739574228808
139;139,0;7,21;173,62;178,8541387522391
140;140,0;7,14;171,93;178,92088176219013
141;141,0;7,4;178,19;178,98762477214115
142;142,0;6,99;168,32;179,05436778209216
143;143,0;7,16;172,41;179,12111079204317
144;144,0;7,44;179,16;179,1878538019942
145;145,0;7,22;173,86;179,25459681194522
146;146,0;7,09;170,73;179,32133982189623
147;147,0;7,24;174,34;179,38808283184724
148;148,0;7,07;170,25;179,45482584179828
149;149,0;7,51;180,84;179,5215688517493
150;150,0;7,22;173,86;179,5883118617003
151;151,0;7,06;170,0;179,65505487165132
152;152,0;7,39;177,95;179,72179788160236
153;153,0;7,45;179,4;179,78854089155337
154;154,0;7,12;171,45;179,85528390150438
155;155,0;7,5;180,6;179,9220269114554
156;156,0;7,17;172,65;179,98876992140643
157;157,0;7,28;175,3;180,05551293135744
158;158,0;7,53;181,32;180,12225594130845
159;159,0;7,23;174,1;180,18899895125946
160;160,0;7,12;171,45;180,2557419612105
161;161,0;7,43;178,91;180,32248497116151
162;162,0;7,01;168,8;180,38922798111253
163;163,0;7,67;184,69;180,45597099106354
164;164,0;7,35;176,99;180,52271400101455
165;165,0;6,94;167,12;180,5894570109656
166;166,0;7,32;176,27;180,6562000209166
167;167,0;7,47;179,88;180,7229430308676
168;168,0;6,93;166,87;180,78968604081865
169;169,0;7,64;183,97;180,85642905076966
170;170,0;7,16;172,41;180,92317206072067
171;171,0;7,5;180,6;180,98991507067169
172;172,0;7,94;191,2;181,0566580806227
173;173,0;7,3;175,78;181,12340109057374
174;174,0;7,26;174,82;181,19014410052475
175;175,0;7,69;185,18;181,25688711047576
176;176,0;7,04;169,52;181,3236301204268
177;177,0;7,81;188,06;181,3903731303778
178;178,0;7,69;185,18;181,45711614032882
179;179,0;7,22;173,86;181,52385915027983
180;180,0;7,32;176,27;181,59060216023084
181;181,0;8,56;206,12;181,65734517018188
182;182,0;7,44;179,16;181,7240881801329
183;183,0;6,83;164,47;181,7908311900839
184;184,0;6,78;163,26;181,85757420003492
185;185,0;7,23;174,1;181,92431720998596
186;186,0;7,37;177,47;181,99106021993697
187;187,0;6,96;167,6;182,05780322988798
188;188,0;7,31;176,02;182,124546239839
189;189,0;7,24;174,34;182,19128924979003
190;190,0;7,0;168,56;182,25803225974104
191;191,0;7,33;176,51;182,32477526969205
192;192,0;7,17;172,65;182,39151827964307
193;193,0;7,15;172,17;182,4582612895941
194;194,0;7,42;178,67;182,52500429954512
195;195,0;7,27;175,06;182,59174730949613
196;196,0;7,52;181,08;182,65849031944714
197;197,0;7,68;184,93;182,72523332939818
198;198,0;7,27;175,06;182,7919763393492
199;199,0;7,35;176,99;182,8587193493002
200;200,0;7,5;180,6;182,9254623592512
201;201,0;7,23;174,1;182,99220536920225
202;202,0;7,37;177,47;183,05894837915326
203;203,0;7,58;182,53;183,12569138910428
204;204,0;7,49;180,36;183,1924343990553
205;205,0;7,44;179,16;183,25917740900633
206;206,0;7,51;180,84;183,32592041895734
207;207,0;7,28;175,3;183,39266342890835
208;208,0;7,52;181,08;183,45940643885936
209;209,0;7,43;178,91;183,5261494488104
210;210,0;7,49;180,36;183,5928924587614
211;211,0;7,67;184,69;183,65963546871242
212;212,0;7,44;179,16;183,72637847866343
213;213,0;7,53;181,32;183,79312148861447
214;214,0;7,74;186,38;183,85986449856549
215;215,0;7,54;181,56;183,9266075085165
216;216,0;7,5;180,6;183,9933505184675
217;217,0;7,66;184,45;184,06009352841855
218;218,0;7,68;184,93;184,12683653836956
219;219,0;7,6;183,01;184,19357954832057
220;220,0;7,72;185,9;184,26032255827158
221;221,0;7,72;185,9;184,32706556822262
222;222,0;7,78;187,34;184,39380857817363
223;223,0;7,77;187,1;184,46055158812464
224;224,0;7,6;183,01;184,52729459807566
225;225,0;7,73;186,14;184,5940376080267
226;226,0;8,07;194,33;184,6607806179777
227;227,0;7,73;186,14;184,72752362792872
228;228,0;7,78;187,34;184,79426663787973
229;229,0;7,78;187,34;184,86100964783077
230;230,0;7,75;186,62;184,92775265778178
231;231,0;7,81;188,06;184,9944956677328
232;232,0;7,87;189,51;185,0612386776838
233;233,0;7,68;184,93;185,12798168763484
234;234,0;7,92;190,71;185,19472469758585
235;235,0;8,02;193,12;185,26146770753687
236;236,0;7,82;188,31;185,32821071748788
237;237,0;7,97;191,92;185,39495372743892
238;238,0;7,86;189,27;185,46169673738993
239;239,0;7,58;182,53;185,52843974734094
240;240,0;8,01;192,88;185,59518275729195
241;241,0;8,0;192,64;185,66192576724296
242;242,0;7,61;183,25;185,728668777194
243;243,0;8,07;194,33;185,795411787145
244;244,0;7,93;190,95;185,86215479709603
