;Time;Fy;Model_strength
0;0,0;12,44;12,867345139970825
1;1,0;13,92;12,887656083214809
2;2,0;14,06;12,907967026458795
3;3,0;14,25;12,92827796970278
4;4,0;14,27;12,948588912946764
5;5,0;13,17;12,96889985619075
6;6,0;13,87;12,989210799434735
7;7,0;13,12;13,00952174267872
8;8,0;13,41;13,029832685922706
9;9,0;13,7;13,05014362916669
10;10,0;13,14;13,070454572410675
11;11,0;14,46;13,090765515654661
12;12,0;13,84;13,111076458898646
13;13,0;13,47;13,13138740214263
14;14,0;13,51;13,151698345386617
15;15,0;14,71;13,172009288630601
16;16,0;14,5;13,192320231874586
17;17,0;14,03;13,21263117511857
18;18,0;13,96;13,232942118362557
19;19,0;14,4;13,253253061606541
20;20,0;14,22;13,273564004850526
21;21,0;14,17;13,293874948094512
22;22,0;14,2;13,314185891338497
23;23,0;14,14;13,334496834582481
24;24,0;14,38;13,354807777826467
25;25,0;13,99;13,375118721070452
26;26,0;14,28;13,395429664314436
27;27,0;14,11;13,415740607558423
28;28,0;14,3;13,436051550802407
29;29,0;14,92;13,456362494046392
30;30,0;13,96;13,476673437290378
31;31,0;14,65;13,496984380534363
32;32,0;14,17;13,517295323778347
33;33,0;14,26;13,537606267022333
34;34,0;14,81;13,557917210266318
35;35,0;14,42;13,578228153510302
36;36,0;13,57;13,598539096754289
37;37,0;14,25;13,618850039998273
38;38,0;14,86;13,639160983242258
39;39,0;14,7;13,659471926486244
40;40,0;15,08;13,679782869730229
41;41,0;13,91;13,700093812974213
42;42,0;14,22;13,7204047562182
43;43,0;14,07;13,740715699462184
44;44,0;14,29;13,761026642706168
45;45,0;13,85;13,781337585950155
46;46,0;13,86;13,80164852919414
47;47,0;13,39;13,821959472438124
48;48,0;14,28;13,842270415682108
49;49,0;14,4;13,862581358926095
50;50,0;14,47;13,88289230217008
51;51,0;15,21;13,903203245414064
52;52,0;14,73;13,92351418865805
53;53,0;14,33;13,943825131902035
54;54,0;15,38;13,964136075146019
55;55,0;14,83;13,984447018390005
56;56,0;15,19;14,00475796163399
57;57,0;14,78;14,025068904877974
58;58,0;14,38;14,04537984812196
59;59,0;14,93;14,065690791365945
60;60,0;15,01;14,08600173460993
61;61,0;15,06;14,106312677853916
62;62,0;14,66;14,1266236210979
63;63,0;14,54;14,146934564341885
64;64,0;14,66;14,167245507585871
65;65,0;15,41;14,187556450829856
66;66,0;14,44;14,20786739407384
67;67,0;14,94;14,228178337317827
68;68,0;15,15;14,248489280561811
69;69,0;14,64;14,268800223805796
70;70,0;15,56;14,289111167049782
71;71,0;15,16;14,309422110293767
72;72,0;16,33;14,329733053537751
73;73,0;17,25;14,350043996781736
74;74,0;16,04;14,370354940025722
75;75,0;16,96;14,390665883269707
76;76,0;16,07;14,410976826513693
77;77,0;15,42;14,431287769757677
78;78,0;15,6;14,451598713001662
