;Time;Voltage;Temperature;Model_temp
0;0,0;10,34;248,99;219,55822556167652
1;1,0;10,75;258,86;219,6314680662171
2;2,0;6,65;160,13;219,7047105707577
3;3,0;6,24;150,26;219,77795307529829
4;4,0;8,61;207,33;219,85119557983887
5;5,0;7,16;172,41;219,92443808437946
6;6,0;6,93;166,87;219,99768058892005
7;7,0;6,53;157,24;220,07092309346066
8;8,0;6,84;164,71;220,14416559800125
9;9,0;6,57;158,21;220,21740810254184
10;10,0;8,18;196,97;220,29065060708243
11;11,0;6,87;165,43;220,363893111623
12;12,0;6,23;150,02;220,4371356161636
13;13,0;7,07;170,25;220,5103781207042
14;14,0;6,86;165,19;220,58362062524478
15;15,0;7,98;192,16;220,65686312978536
16;16,0;7,19;173,14;220,73010563432595
17;17,0;8,0;192,64;220,80334813886654
18;18,0;7,36;177,23;220,87659064340713
19;19,0;7,75;186,62;220,94983314794774
20;20,0;9,92;238,87;221,02307565248833
21;21,0;7,46;179,64;221,09631815702892
22;22,0;10,8;260,06;221,1695606615695
23;23,0;7,31;176,02;221,2428031661101
24;24,0;11,36;273,55;221,31604567065068
25;25,0;7,39;177,95;221,38928817519127
26;26,0;8,83;212,63;221,46253067973186
27;27,0;7,33;176,51;221,53577318427244
28;28,0;7,72;185,9;221,60901568881303
29;29,0;10,33;248,75;221,68225819335362
30;30,0;9,74;234,54;221,7555006978942
31;31,0;12,73;306,54;221,8287432024348
32;32,0;8,85;213,11;221,9019857069754
33;33,0;7,55;181,8;221,975228211516
34;34,0;7,15;172,17;222,04847071605658
35;35,0;7,17;172,65;222,12171322059717
36;36,0;7,22;173,86;222,19495572513776
37;37,0;8,33;200,59;222,26819822967835
38;38,0;8,04;193,6;222,34144073421893
39;39,0;7,71;185,66;222,41468323875952
40;40,0;9,05;217,92;222,4879257433001
41;41,0;9,57;230,45;222,5611682478407
42;42,0;7,77;187,1;222,63441075238129
43;43,0;7,35;176,99;222,70765325692187
44;44,0;7,11;171,21;222,78089576146246
45;45,0;7,89;189,99;222,85413826600308
46;46,0;7,84;188,79;222,92738077054366
47;47,0;8,85;213,11;223,00062327508425
48;48,0;7,46;179,64;223,07386577962484
49;49,0;8,24;198,42;223,14710828416543
50;50,0;9,82;236,47;223,220350788706
51;51,0;7,42;178,67;223,2935932932466
52;52,0;7,59;182,77;223,3668357977872
53;53,0;8,21;197,7;223,44007830232778
54;54,0;8,89;214,07;223,51332080686836
55;55,0;7,33;176,51;223,58656331140895
56;56,0;8,61;207,33;223,65980581594954
57;57,0;7,99;192,4;223,73304832049013
58;58,0;8,13;195,77;223,80629082503074
59;59,0;9,19;221,3;223,87953332957133
60;60,0;7,98;192,16;223,95277583411192
61;61,0;9,59;230,93;224,0260183386525
62;62,0;8,89;214,07;224,0992608431931
63;63,0;8,64;208,05;224,17250334773368
64;64,0;9,62;231,65;224,24574585227427
65;65,0;10,8;260,06;224,31898835681486
66;66,0;6,6;158,93;224,39223086135544
67;67,0;8,28;199,38;224,46547336589603
68;68,0;7,94;191,2;224,53871587043662
69;69,0;7,93;190,95;224,6119583749772
70;70,0;8,01;192,88;224,68520087951782
71;71,0;7,83;188,55;224,7584433840584
72;72,0;9,59;230,93;224,831685888599
73;73,0;8,22;197,94;224,90492839313958
74;74,0;8,03;193,36;224,97817089768017
75;75,0;8,11;195,29;225,05141340222076
76;76,0;9,06;218,16;225,12465590676135
77;77,0;7,67;184,69;225,19789841130194
78;78,0;8,81;212,14;225,27114091584252
79;79,0;8,89;214,07;225,3443834203831
80;80,0;8,78;211,42;225,4176259249237
81;81,0;8,24;198,42;225,49086842946429
82;82,0;8,39;202,03;225,56411093400487
83;83,0;11,24;270,66;225,6373534385455
84;84,0;11,18;269,21;225,71059594308608
85;85,0;10,28;247,54;225,78383844762666
86;86,0;9,13;219,85;225,85708095216725
87;87,0;8,12;195,53;225,93032345670784
88;88,0;8,99;216,48;226,00356596124843
89;89,0;8,46;203,72;226,07680846578901
90;90,0;8,48;204,2;226,1500509703296
91;91,0;9,13;219,85;226,2232934748702
92;92,0;8,56;206,12;226,29653597941078
93;93,0;8,03;193,36;226,36977848395136
94;94,0;8,84;212,87;226,44302098849195
95;95,0;8,48;204,2;226,51626349303257
96;96,0;8,7;209,5;226,58950599757316
97;97,0;9,0;216,72;226,66274850211374
98;98,0;8,59;206,85;226,73599100665433
99;99,0;7,32;176,27;226,80923351119492
100;100,0;8,36;201,31;226,8824760157355
101;101,0;8,8;211,9;226,9557185202761
102;102,0;9,18;221,05;227,02896102481668
103;103,0;8,22;197,94;227,10220352935727
104;104,0;8,81;212,14;227,17544603389786
105;105,0;9,09;218,89;227,24868853843844
106;106,0;8,52;205,16;227,32193104297903
107;107,0;9,12;219,61;227,39517354751962
108;108,0;8,91;214,55;227,46841605206023
109;109,0;9,15;220,33;227,54165855660082
110;110,0;10,09;242,97;227,6149010611414
111;111,0;8,3;199,86;227,688143565682
112;112,0;8,54;205,64;227,76138607022258
113;113,0;12,17;293,05;227,83462857476317
114;114,0;8,91;214,55;227,90787107930376
115;115,0;8,89;214,07;227,98111358384435
116;116,0;9,03;217,44;228,05435608838494
117;117,0;11,01;265,12;228,12759859292552
118;118,0;9,23;222,26;228,2008410974661
119;119,0;10,26;247,06;228,2740836020067
120;120,0;8,77;211,18;228,3473261065473
121;121,0;9,6;231,17;228,4205686110879
122;122,0;7,73;186,14;228,4938111156285
123;123,0;8,78;211,42;228,56705362016908
124;124,0;9,98;240,32;228,64029612470966
125;125,0;9,06;218,16;228,71353862925025
126;126,0;8,92;214,79;228,78678113379084
127;127,0;9,74;234,54;228,86002363833143
128;128,0;8,08;194,57;228,93326614287201
129;129,0;8,43;202,99;229,0065086474126
130;130,0;10,29;247,78;229,0797511519532
131;131,0;8,28;199,38;229,15299365649378
132;132,0;7,79;187,58;229,22623616103436
133;133,0;8,71;209,74;229,29947866557495
134;134,0;8,95;215,52;229,37272117011557
135;135,0;8,98;216,24;229,44596367465616
136;136,0;9,29;223,7;229,51920617919674
137;137,0;9,2;221,54;229,59244868373733
138;138,0;8,97;216,0;229,66569118827792
139;139,0;8,89;214,07;229,7389336928185
140;140,0;9,06;218,16;229,8121761973591
141;141,0;9,07;218,41;229,88541870189968
142;142,0;8,97;216,0;229,95866120644027
143;143,0;9,07;218,41;230,03190371098086
144;144,0;8,96;215,76;230,10514621552144
145;145,0;9,13;219,85;230,17838872006206
146;146,0;9,05;217,92;230,25163122460265
147;147,0;9,27;223,22;230,32487372914323
148;148,0;9,2;221,54;230,39811623368382
149;149,0;9,48;228,28;230,4713587382244
150;150,0;8,97;216,0;230,544601242765
151;151,0;9,15;220,33;230,61784374730559
152;152,0;9,16;220,57;230,69108625184617
153;153,0;9,23;222,26;230,76432875638676
154;154,0;9,17;220,81;230,83757126092735
155;155,0;9,11;219,37;230,91081376546794
156;156,0;9,34;224,91;230,98405627000852
157;157,0;8,99;216,48;231,0572987745491
158;158,0;10,04;241,76;231,1305412790897
159;159,0;9,07;218,41;231,2037837836303
160;160,0;9,88;237,91;231,2770262881709
161;161,0;9,0;216,72;231,3502687927115
162;162,0;9,13;219,85;231,42351129725208
163;163,0;9,04;217,68;231,49675380179266
164;164,0;9,23;222,26;231,56999630633325
165;165,0;9,55;229,96;231,64323881087384
166;166,0;9,05;217,92;231,71648131541443
167;167,0;9,41;226,59;231,78972381995501
168;168,0;9,01;216,96;231,8629663244956
169;169,0;9,62;231,65;231,9362088290362
170;170,0;8,99;216,48;232,00945133357678
171;171,0;9,43;227,07;232,0826938381174
172;172,0;9,37;225,63;232,15593634265798
173;173,0;9,09;218,89;232,22917884719857
174;174,0;9,08;218,65;232,30242135173916
175;175,0;9,34;224,91;232,37566385627974
176;176,0;9,44;227,32;232,44890636082033
177;177,0;9,38;225,87;232,52214886536092
178;178,0;9,7;233,58;232,5953913699015
179;179,0;9,54;229,72;232,6686338744421
180;180,0;9,56;230,2;232,74187637898268
181;181,0;9,52;229,24;232,81511888352327
182;182,0;9,41;226,59;232,88836138806386
183;183,0;9,52;229,24;232,96160389260444
184;184,0;9,5;228,76;233,03484639714506
185;185,0;9,46;227,8;233,10808890168565
186;186,0;9,56;230,2;233,18133140622624
187;187,0;9,53;229,48;233,25457391076682
188;188,0;9,41;226,59;233,3278164153074
189;189,0;9,51;229,0;233,401058919848
190;190,0;9,45;227,56;233,47430142438859
191;191,0;9,77;235,26;233,54754392892917
192;192,0;9,42;226,83;233,62078643346976
193;193,0;9,78;235,5;233,69402893801035
194;194,0;9,34;224,91;233,76727144255094
195;195,0;9,22;222,02;233,84051394709152
196;196,0;9,54;229,72;233,91375645163214
197;197,0;9,41;226,59;233,98699895617273
198;198,0;9,44;227,32;234,0602414607133
199;199,0;9,59;230,93;234,1334839652539
200;200,0;9,83;236,71;234,2067264697945
201;201,0;9,55;229,96;234,27996897433508
202;202,0;10,03;241,52;234,35321147887566
203;203,0;9,49;228,52;234,42645398341625
204;204,0;10,08;242,73;234,49969648795684
205;205,0;9,46;227,8;234,57293899249743
206;206,0;9,63;231,89;234,64618149703801
207;207,0;9,35;225,15;234,7194240015786
208;208,0;9,3;223,94;234,7926665061192
209;209,0;9,74;234,54;234,8659090106598
210;210,0;9,8;235,98;234,9391515152004
211;211,0;9,96;239,84;235,01239401974098
212;212,0;8,58;206,61;235,08563652428157
213;213,0;7,57;182,29;235,15887902882216
214;214,0;7,12;171,45;235,23212153336274
215;215,0;7,07;170,25;235,30536403790333
216;216,0;8,34;200,83;235,37860654244392
217;217,0;7,42;178,67;235,4518490469845
218;218,0;7,93;190,95;235,5250915515251
219;219,0;8,97;216,0;235,59833405606568
220;220,0;9,31;224,18;235,67157656060627
221;221,0;9,35;225,15;235,74481906514688
222;222,0;9,36;225,39;235,81806156968747
223;223,0;9,29;223,7;235,89130407422806
224;224,0;9,45;227,56;235,96454657876865
225;225,0;11,33;272,83;236,03778908330924
226;226,0;9,53;229,48;236,11103158784982
227;227,0;9,12;219,61;236,1842740923904
228;228,0;9,55;229,96;236,257516596931
229;229,0;9,32;224,43;236,33075910147159
230;230,0;9,03;217,44;236,40400160601217
231;231,0;9,05;217,92;236,47724411055276
232;232,0;9,64;232,13;236,55048661509335
233;233,0;9,67;232,85;236,62372911963394
234;234,0;9,73;234,3;236,69697162417452
235;235,0;8,55;205,88;236,77021412871514
236;236,0;9,53;229,48;236,84345663325573
237;237,0;9,99;240,56;236,91669913779631
238;238,0;9,34;224,91;236,9899416423369
239;239,0;8,58;206,61;237,0631841468775
240;240,0;9,69;233,34;237,13642665141808
241;241,0;9,69;233,34;237,20966915595866
242;242,0;10,21;245,86;237,28291166049925
243;243,0;9,72;234,06;237,35615416503984
244;244,0;9,19;221,3;237,42939666958043
245;245,0;9,94;239,36;237,50263917412101
246;246,0;9,85;237,19;237,57588167866163
247;247,0;9,61;231,41;237,64912418320222
248;248,0;9,87;237,67;237,7223666877428
249;249,0;11,19;269,46;237,7956091922834
250;250,0;10,08;242,73;237,86885169682398
251;251,0;12,83;308,95;237,94209420136457
252;252,0;8,55;205,88;238,01533670590516
253;253,0;8,81;212,14;238,08857921044574
254;254,0;9,89;238,15;238,16182171498633
255;255,0;10,58;254,77;238,23506421952692
256;256,0;11,24;270,66;238,3083067240675
257;257,0;8,21;197,7;238,3815492286081
258;258,0;9,81;236,22;238,45479173314868
259;259,0;9,88;237,91;238,52803423768927
260;260,0;8,99;216,48;238,60127674222989
261;261,0;9,5;228,76;238,67451924677047
262;262,0;9,05;217,92;238,74776175131106
263;263,0;11,53;277,64;238,82100425585165
264;264,0;8,78;211,42;238,89424676039224
265;265,0;10,49;252,6;238,96748926493282
266;266,0;10,19;245,38;239,0407317694734
267;267,0;9,89;238,15;239,113974274014
268;268,0;10,57;254,53;239,18721677855459
269;269,0;9,57;230,45;239,26045928309517
270;270,0;9,98;240,32;239,33370178763576
271;271,0;10,27;247,3;239,40694429217635
272;272,0;9,95;239,6;239,48018679671696
273;273,0;10,4;250,43;239,55342930125755
274;274,0;10,75;258,86;239,62667180579814
275;275,0;10,18;245,13;239,69991431033873
276;276,0;9,21;221,78;239,77315681487931
277;277,0;10,18;245,13;239,8463993194199
278;278,0;9,94;239,36;239,9196418239605
279;279,0;10,77;259,34;239,99288432850108
280;280,0;10,13;243,93;240,06612683304166
281;281,0;10,59;255,01;240,13936933758225
282;282,0;10,01;241,04;240,21261184212284
283;283,0;8,34;200,83;240,28585434666343
284;284,0;10,52;253,32;240,35909685120401
285;285,0;9,97;240,08;240,4323393557446
286;286,0;10,36;249,47;240,50558186028522
287;287,0;7,86;189,27;240,5788243648258
288;288,0;10,12;243,69;240,6520668693664
289;289,0;6,71;161,58;240,72530937390698
290;290,0;11,58;278,85;240,79855187844757
291;291,0;15,94;383,84;240,87179438298816
292;292,0;10,3;248,02;240,94503688752874
293;293,0;8,45;203,48;241,01827939206933
294;294,0;8,69;209,26;241,09152189660992
