;Time;Fy;Model_strength
0;0,0;13,2;16,910569895172134
1;1,0;13,61;16,928858166822927
2;2,0;15,02;16,94714643847372
3;3,0;13,62;16,965434710124512
4;4,0;13,0;16,983722981775305
5;5,0;14,2;17,002011253426097
6;6,0;14,38;17,02029952507689
7;7,0;14,73;17,038587796727683
8;8,0;14,9;17,056876068378475
9;9,0;13,57;17,075164340029268
10;10,0;14,55;17,093452611680057
11;11,0;14,62;17,11174088333085
12;12,0;13,96;17,130029154981642
13;13,0;14,35;17,148317426632435
14;14,0;15,25;17,166605698283227
15;15,0;13,93;17,18489396993402
16;16,0;14,26;17,203182241584813
17;17,0;15,19;17,221470513235605
18;18,0;14,3;17,239758784886398
19;19,0;14,39;17,25804705653719
20;20,0;14,45;17,276335328187983
21;21,0;14,14;17,294623599838776
22;22,0;13,81;17,31291187148957
23;23,0;14,58;17,33120014314036
24;24,0;14,63;17,349488414791153
25;25,0;15,72;17,367776686441946
26;26,0;14,76;17,38606495809274
27;27,0;14,08;17,40435322974353
28;28,0;14,3;17,422641501394324
29;29,0;14,81;17,440929773045113
30;30,0;14,88;17,459218044695906
31;31,0;14,77;17,477506316346698
32;32,0;14,66;17,49579458799749
33;33,0;15,08;17,514082859648283
34;34,0;14,98;17,532371131299076
35;35,0;14,46;17,55065940294987
36;36,0;14,6;17,56894767460066
37;37,0;14,5;17,587235946251454
38;38,0;14,84;17,605524217902246
39;39,0;14,57;17,62381248955304
40;40,0;14,48;17,64210076120383
41;41,0;14,52;17,660389032854624
42;42,0;15,02;17,678677304505417
43;43,0;15,4;17,69696557615621
44;44,0;15,68;17,715253847807002
45;45,0;15,8;17,733542119457795
46;46,0;15,13;17,751830391108587
47;47,0;15,34;17,770118662759376
48;48,0;16,02;17,78840693441017
49;49,0;16,41;17,80669520606096
50;50,0;15,71;17,824983477711754
51;51,0;15,97;17,843271749362547
52;52,0;16,0;17,86156002101334
53;53,0;16,44;17,879848292664132
54;54,0;16,23;17,898136564314925
55;55,0;15,72;17,916424835965717
56;56,0;15,77;17,93471310761651
57;57,0;16,52;17,953001379267302
58;58,0;16,96;17,971289650918095
59;59,0;16,6;17,989577922568888
60;60,0;15,74;18,00786619421968
61;61,0;16,38;18,026154465870473
62;62,0;15,54;18,044442737521265
63;63,0;16,21;18,062731009172058
64;64,0;16,06;18,08101928082285
65;65,0;16,49;18,09930755247364
66;66,0;17,05;18,117595824124432
67;67,0;16,48;18,135884095775225
