;Time;Voltage;Temperature;Model_temp
0;0,0;9,29;223,7;212,91419996134326
1;1,0;6,71;161,58;213,034503998611
2;2,0;6,79;163,5;213,15480803587874
3;3,0;7,25;174,58;213,2751120731465
4;4,0;7,41;178,43;213,3954161104142
5;5,0;6,59;158,69;213,51572014768195
6;6,0;7,11;171,21;213,6360241849497
7;7,0;6,7;161,34;213,75632822221743
8;8,0;6,83;164,47;213,87663225948518
9;9,0;7,54;181,56;213,99693629675292
10;10,0;7,3;175,78;214,11724033402064
11;11,0;6,7;161,34;214,23754437128838
12;12,0;7,3;175,78;214,35784840855612
13;13,0;6,95;167,36;214,47815244582387
14;14,0;7,19;173,14;214,5984564830916
15;15,0;7,32;176,27;214,71876052035935
16;16,0;7,27;175,06;214,83906455762707
17;17,0;7,34;176,75;214,9593685948948
18;18,0;7,16;172,41;215,07967263216256
19;19,0;7,46;179,64;215,1999766694303
20;20,0;7,16;172,41;215,32028070669804
21;21,0;7,12;171,45;215,4405847439658
22;22,0;7,79;187,58;215,5608887812335
23;23,0;6,38;153,63;215,68119281850124
24;24,0;7,13;171,69;215,801496855769
25;25,0;7,52;181,08;215,92180089303673
26;26,0;6,33;152,43;216,04210493030448
27;27,0;7,13;171,69;216,16240896757222
28;28,0;6,91;166,39;216,28271300483993
29;29,0;7,14;171,93;216,40301704210768
30;30,0;7,23;174,1;216,52332107937542
31;31,0;7,07;170,25;216,64362511664316
32;32,0;7,03;169,28;216,7639291539109
33;33,0;7,67;184,69;216,88423319117865
34;34,0;6,47;155,8;217,0045372284464
35;35,0;7,57;182,29;217,1248412657141
36;36,0;7,08;170,49;217,24514530298185
37;37,0;6,57;158,21;217,3654493402496
38;38,0;7,72;185,9;217,48575337751734
39;39,0;7,02;169,04;217,60605741478508
40;40,0;7,57;182,29;217,72636145205283
41;41,0;7,25;174,58;217,84666548932054
42;42,0;7,51;180,84;217,9669695265883
43;43,0;7,7;185,42;218,08727356385603
44;44,0;7,56;182,04;218,20757760112377
45;45,0;7,69;185,18;218,32788163839152
46;46,0;7,93;190,95;218,44818567565926
47;47,0;7,16;172,41;218,56848971292698
48;48,0;7,71;185,66;218,68879375019472
49;49,0;7,64;183,97;218,80909778746246
50;50,0;7,91;190,47;218,9294018247302
51;51,0;8,09;194,81;219,04970586199795
52;52,0;7,73;186,14;219,1700098992657
53;53,0;7,93;190,95;219,2903139365334
54;54,0;8,09;194,81;219,41061797380115
55;55,0;7,75;186,62;219,5309220110689
56;56,0;7,97;191,92;219,65122604833664
57;57,0;7,8;187,82;219,77153008560438
58;58,0;8,11;195,29;219,89183412287213
59;59,0;8,47;203,96;220,01213816013984
60;60,0;7,0;168,56;220,13244219740758
61;61,0;9,3;223,94;220,25274623467533
62;62,0;10,03;241,52;220,37305027194307
63;63,0;11,29;271,86;220,49335430921082
64;64,0;8,2;197,46;220,61365834647856
65;65,0;7,44;179,16;220,7339623837463
66;66,0;7,74;186,38;220,85426642101402
67;67,0;7,38;177,71;220,97457045828176
68;68,0;7,81;188,06;221,0948744955495
69;69,0;7,84;188,79;221,21517853281725
70;70,0;7,47;179,88;221,335482570085
71;71,0;7,92;190,71;221,4557866073527
72;72,0;7,86;189,27;221,57609064462045
73;73,0;8,04;193,6;221,6963946818882
74;74,0;7,75;186,62;221,81669871915594
75;75,0;7,81;188,06;221,93700275642368
76;76,0;7,87;189,51;222,05730679369142
77;77,0;7,71;185,66;222,17761083095917
78;78,0;7,79;187,58;222,29791486822688
79;79,0;7,63;183,73;222,41821890549463
80;80,0;7,87;189,51;222,53852294276237
81;81,0;8,21;197,7;222,6588269800301
82;82,0;8,77;211,18;222,77913101729786
83;83,0;8,04;193,6;222,8994350545656
84;84,0;8,12;195,53;223,01973909183332
85;85,0;8,07;194,33;223,14004312910106
86;86,0;7,91;190,47;223,2603471663688
87;87,0;8,09;194,81;223,38065120363655
88;88,0;7,85;189,03;223,5009552409043
89;89,0;8,29;199,62;223,62125927817203
90;90,0;8,06;194,08;223,74156331543975
91;91,0;7,76;186,86;223,8618673527075
92;92,0;8,35;201,07;223,98217138997524
93;93,0;7,84;188,79;224,10247542724298
94;94,0;8,24;198,42;224,22277946451072
95;95,0;8,46;203,72;224,34308350177847
96;96,0;8,88;213,83;224,4633875390462
97;97,0;8,21;197,7;224,58369157631392
98;98,0;8,2;197,46;224,70399561358167
99;99,0;8,38;201,79;224,8242996508494
100;100,0;8,12;195,53;224,94460368811716
101;101,0;8,32;200,35;225,0649077253849
102;102,0;8,4;202,27;225,1852117626526
103;103,0;7,89;189,99;225,30551579992036
104;104,0;8,49;204,44;225,4258198371881
105;105,0;8,41;202,51;225,54612387445584
106;106,0;8,6;207,09;225,6664279117236
107;107,0;8,67;208,77;225,78673194899133
108;108,0;8,24;198,42;225,90703598625907
109;109,0;8,56;206,12;226,0273400235268
110;110,0;8,39;202,03;226,14764406079453
111;111,0;8,23;198,18;226,26794809806228
112;112,0;8,85;213,11;226,38825213533002
113;113,0;8,32;200,35;226,50855617259776
114;114,0;8,7;209,5;226,6288602098655
115;115,0;8,61;207,33;226,74916424713322
116;116,0;8,8;211,9;226,86946828440097
117;117,0;8,87;213,59;226,9897723216687
118;118,0;8,54;205,64;227,11007635893645
119;119,0;8,78;211,42;227,2303803962042
120;120,0;8,95;215,52;227,35068443347194
121;121,0;8,45;203,48;227,47098847073966
122;122,0;8,94;215,28;227,5912925080074
123;123,0;8,87;213,59;227,71159654527514
124;124,0;8,8;211,9;227,8319005825429
125;125,0;9,1;219,13;227,95220461981063
126;126,0;9,14;220,09;228,07250865707837
127;127,0;8,79;211,66;228,19281269434612
128;128,0;8,76;210,94;228,31311673161383
129;129,0;8,97;216,0;228,43342076888158
130;130,0;9,0;216,72;228,55372480614932
131;131,0;9,07;218,41;228,67402884341706
132;132,0;8,96;215,76;228,7943328806848
133;133,0;8,21;197,7;228,91463691795252
134;134,0;7,82;188,31;229,03494095522026
135;135,0;8,56;206,12;229,155244992488
136;136,0;9,89;238,15;229,27554902975575
137;137,0;7,47;179,88;229,3958530670235
138;138,0;8,1;195,05;229,51615710429124
139;139,0;8,46;203,72;229,63646114155898
140;140,0;8,7;209,5;229,7567651788267
141;141,0;8,46;203,72;229,87706921609444
142;142,0;8,65;208,29;229,99737325336218
143;143,0;8,6;207,09;230,11767729062993
144;144,0;8,49;204,44;230,23798132789767
145;145,0;9,14;220,09;230,35828536516541
146;146,0;8,74;210,46;230,47858940243313
147;147,0;8,75;210,7;230,59889343970087
148;148,0;8,87;213,59;230,71919747696862
149;149,0;8,74;210,46;230,83950151423636
150;150,0;9,14;220,09;230,9598055515041
151;151,0;8,49;204,44;231,08010958877185
152;152,0;8,93;215,03;231,20041362603956
153;153,0;9,22;222,02;231,3207176633073
154;154,0;8,9;214,31;231,44102170057505
155;155,0;9,13;219,85;231,5613257378428
156;156,0;9,4;226,35;231,68162977511054
157;157,0;8,94;215,28;231,80193381237828
158;158,0;9,05;217,92;231,92223784964602
159;159,0;9,42;226,83;232,04254188691374
160;160,0;8,93;215,03;232,16284592418148
161;161,0;9,11;219,37;232,28314996144923
162;162,0;9,25;222,74;232,40345399871697
163;163,0;9,22;222,02;232,5237580359847
164;164,0;9,35;225,15;232,64406207325243
165;165,0;9,0;216,72;232,76436611052017
166;166,0;9,38;225,87;232,88467014778792
167;167,0;9,41;226,59;233,00497418505566
168;168,0;9,36;225,39;233,1252782223234
169;169,0;9,66;232,61;233,24558225959115
170;170,0;9,32;224,43;233,3658862968589
171;171,0;9,33;224,67;233,4861903341266
172;172,0;9,52;229,24;233,60649437139435
173;173,0;9,36;225,39;233,7267984086621
174;174,0;9,26;222,98;233,84710244592983
175;175,0;9,24;222,5;233,96740648319758
176;176,0;9,34;224,91;234,0877105204653
177;177,0;9,78;235,5;234,20801455773304
178;178,0;9,01;216,96;234,32831859500078
179;179,0;9,51;229,0;234,44862263226852
180;180,0;9,97;240,08;234,56892666953627
181;181,0;9,4;226,35;234,689230706804
182;182,0;9,65;232,37;234,80953474407175
183;183,0;9,4;226,35;234,92983878133947
184;184,0;9,52;229,24;235,0501428186072
185;185,0;9,81;236,22;235,17044685587496
186;186,0;9,54;229,72;235,2907508931427
187;187,0;10,49;252,6;235,41105493041044
188;188,0;9,71;233,82;235,5313589676782
189;189,0;9,35;225,15;235,65166300494593
190;190,0;10,0;240,8;235,77196704221365
191;191,0;9,75;234,78;235,8922710794814
192;192,0;9,7;233,58;236,01257511674913
193;193,0;9,77;235,26;236,13287915401688
194;194,0;9,5;228,76;236,25318319128462
195;195,0;9,56;230,2;236,37348722855234
196;196,0;9,61;231,41;236,49379126582008
197;197,0;9,89;238,15;236,61409530308782
198;198,0;10,2;245,62;236,73439934035557
199;199,0;9,69;233,34;236,8547033776233
200;200,0;9,71;233,82;236,97500741489105
201;201,0;10,08;242,73;237,0953114521588
202;202,0;9,66;232,61;237,2156154894265
203;203,0;10,12;243,69;237,33591952669425
204;204,0;9,7;233,58;237,456223563962
205;205,0;9,8;235,98;237,57652760122974
206;206,0;10,38;249,95;237,69683163849749
207;207,0;9,01;216,96;237,8171356757652
208;208,0;7,63;183,73;237,93743971303294
209;209,0;6,5;156,52;238,0577437503007
210;210,0;8,76;210,94;238,17804778756843
211;211,0;9,39;226,11;238,29835182483617
212;212,0;8,29;199,62;238,41865586210392
213;213,0;8,7;209,5;238,53895989937166
214;214,0;9,36;225,39;238,65926393663938
215;215,0;9,72;234,06;238,77956797390712
216;216,0;9,55;229,96;238,89987201117486
217;217,0;9,99;240,56;239,0201760484426
218;218,0;9,39;226,11;239,14048008571035
219;219,0;9,97;240,08;239,2607841229781
220;220,0;9,45;227,56;239,38108816024584
221;221,0;9,51;229,0;239,50139219751355
222;222,0;10,25;246,82;239,6216962347813
223;223,0;9,83;236,71;239,74200027204904
224;224,0;10,08;242,73;239,86230430931678
225;225,0;9,47;228,04;239,98260834658453
226;226,0;10,1;243,21;240,10291238385224
227;227,0;10,27;247,3;240,22321642112
228;228,0;10,21;245,86;240,34352045838773
229;229,0;10,17;244,89;240,46382449565547
230;230,0;10,02;241,28;240,58412853292322
231;231,0;10,34;248,99;240,70443257019096
232;232,0;10,38;249,95;240,8247366074587
233;233,0;10,14;244,17;240,94504064472642
234;234,0;10,72;258,14;241,06534468199416
235;235,0;10,43;251,15;241,1856487192619
236;236,0;10,27;247,3;241,30595275652965
237;237,0;10,56;254,28;241,4262567937974
238;238,0;10,5;252,84;241,5465608310651
239;239,0;10,22;246,1;241,66686486833285
240;240,0;10,61;255,49;241,7871689056006
241;241,0;10,24;246,58;241,90747294286834
242;242,0;10,21;245,86;242,02777698013608
243;243,0;10,66;256,69;242,14808101740383
244;244,0;10,25;246,82;242,26838505467157
245;245,0;10,56;254,28;242,38868909193928
246;246,0;10,32;248,51;242,50899312920703
247;247,0;10,33;248,75;242,62929716647477
248;248,0;10,69;257,42;242,74960120374251
249;249,0;12,32;296,67;242,86990524101026
250;250,0;10,01;241,04;242,990209278278
251;251,0;9,97;240,08;243,11051331554572
252;252,0;10,27;247,3;243,23081735281346
253;253,0;10,4;250,43;243,3511213900812
254;254,0;10,32;248,51;243,47142542734895
255;255,0;10,32;248,51;243,5917294646167
256;256,0;10,5;252,84;243,71203350188443
257;257,0;11,05;266,08;243,83233753915215
258;258,0;10,38;249,95;243,9526415764199
259;259,0;10,66;256,69;244,07294561368764
260;260,0;10,42;250,91;244,19324965095538
261;261,0;9,66;232,61;244,31355368822312
262;262,0;10,97;264,16;244,43385772549087
263;263,0;10,47;252,12;244,5541617627586
264;264,0;11,06;266,32;244,67446580002633
265;265,0;10,59;255,01;244,79476983729407
266;266,0;10,7;257,66;244,9150738745618
267;267,0;10,78;259,58;245,03537791182956
268;268,0;10,54;253,8;245,1556819490973
269;269,0;10,84;261,03;245,27598598636501
270;270,0;13,65;328,69;245,39629002363276
271;271,0;10,97;264,16;245,5165940609005
272;272,0;10,85;261,27;245,63689809816825
273;273,0;11,19;269,46;245,757202135436
274;274,0;10,92;262,95;245,87750617270373
275;275,0;11,15;268,49;245,99781020997148
276;276,0;10,16;244,65;246,1181142472392
277;277,0;10,88;261,99;246,23841828450693
278;278,0;11,03;265,6;246,35872232177468
279;279,0;10,46;251,88;246,47902635904242
280;280,0;11,07;266,57;246,59933039631017
281;281,0;8,49;204,44;246,71963443357788
282;282,0;9,99;240,56;246,83993847084565
283;283,0;11,3;272,1;246,96024250811337
284;284,0;11,62;279,81;247,0805465453811
285;285,0;10,05;242,0;247,20085058264885
286;286,0;7,84;188,79;247,3211546199166
287;287,0;8,55;205,88;247,44145865718434
288;288,0;9,38;225,87;247,56176269445206
289;289,0;9,51;229,0;247,6820667317198
290;290,0;9,46;227,8;247,80237076898754
291;291,0;9,52;229,24;247,9226748062553
292;292,0;9,96;239,84;248,04297884352303
293;293,0;10,16;244,65;248,16328288079077
294;294,0;10,17;244,89;248,28358691805852
295;295,0;9,97;240,08;248,40389095532623
296;296,0;9,88;237,91;248,52419499259398
297;297,0;10,12;243,69;248,64449902986172
298;298,0;10,35;249,23;248,76480306712946
299;299,0;9,92;238,87;248,8851071043972
300;300,0;10,26;247,06;249,00541114166492
301;301,0;9,93;239,11;249,12571517893267
302;302,0;10,41;250,67;249,2460192162004
303;303,0;10,3;248,02;249,36632325346815
304;304,0;10,38;249,95;249,4866272907359
305;305,0;10,39;250,19;249,60693132800364
306;306,0;10,35;249,23;249,72723536527138
307;307,0;10,05;242,0;249,8475394025391
308;308,0;10,5;252,84;249,96784343980684
309;309,0;10,02;241,28;250,08814747707459
310;310,0;10,43;251,15;250,20845151434233
311;311,0;10,78;259,58;250,32875555161007
312;312,0;10,17;244,89;250,4490595888778
313;313,0;10,05;242,0;250,56936362614556
314;314,0;10,39;250,19;250,68966766341327
315;315,0;10,08;242,73;250,80997170068102
316;316,0;10,4;250,43;250,93027573794876
317;317,0;10,03;241,52;251,0505797752165
318;318,0;10,14;244,17;251,17088381248425
319;319,0;10,25;246,82;251,29118784975196
320;320,0;10,0;240,8;251,4114918870197
321;321,0;10,0;240,8;251,53179592428745
322;322,0;9,97;240,08;251,6520999615552
323;323,0;10,22;246,1;251,77240399882294
324;324,0;10,02;241,28;251,89270803609068
325;325,0;10,11;243,45;252,01301207335842
326;326,0;10,29;247,78;252,13331611062614
327;327,0;10,12;243,69;252,25362014789388
328;328,0;9,67;232,85;252,37392418516163
329;329,0;10,24;246,58;252,49422822242937
330;330,0;10,14;244,17;252,6145322596971
331;331,0;10,11;243,45;252,73483629696483
332;332,0;10,36;249,47;252,85514033423257
333;333,0;10,08;242,73;252,97544437150032
334;334,0;10,19;245,38;253,09574840876806
335;335,0;10,31;248,26;253,2160524460358
336;336,0;10,03;241,52;253,33635648330355
337;337,0;10,39;250,19;253,4566605205713
338;338,0;10,2;245,62;253,576964557839
339;339,0;10,19;245,38;253,69726859510675
340;340,0;12,48;300,52;253,8175726323745
341;341,0;9,97;240,08;253,93787666964224
342;342,0;10,44;251,4;254,05818070690998
343;343,0;10,4;250,43;254,1784847441777
344;344,0;10,38;249,95;254,29878878144547
345;345,0;10,02;241,28;254,41909281871318
346;346,0;10,2;245,62;254,53939685598093
347;347,0;10,65;256,45;254,65970089324867
348;348,0;10,59;255,01;254,7800049305164
349;349,0;10,53;253,56;254,90030896778416
350;350,0;10,46;251,88;255,02061300505187
351;351,0;10,45;251,64;255,14091704231961
352;352,0;10,32;248,51;255,26122107958736
353;353,0;10,66;256,69;255,3815251168551
354;354,0;9,63;231,89;255,50182915412285
