;Time;Voltage;Temperature;Model_temp
0;0,0;9,8;235,98;180,3203684731285
1;1,0;7,23;174,1;180,47510949162483
2;2,0;6,1;146,89;180,62985051012117
3;3,0;6,13;147,61;180,7845915286175
4;4,0;6,28;151,22;180,93933254711388
5;5,0;6,2;149,3;181,09407356561022
6;6,0;6,31;151,94;181,24881458410655
7;7,0;6,13;147,61;181,4035556026029
8;8,0;6,22;149,78;181,55829662109923
9;9,0;6,33;152,43;181,71303763959557
10;10,0;6,23;150,02;181,86777865809194
11;11,0;6,03;145,2;182,02251967658827
12;12,0;6,27;150,98;182,1772606950846
13;13,0;6,49;156,28;182,33200171358095
14;14,0;6,45;155,32;182,4867427320773
15;15,0;6,56;157,96;182,64148375057363
16;16,0;6,54;157,48;182,79622476906997
17;17,0;6,66;160,37;182,95096578756633
18;18,0;6,14;147,85;183,10570680606267
19;19,0;6,34;152,67;183,260447824559
20;20,0;6,41;154,35;183,41518884305535
21;21,0;6,61;159,17;183,56992986155169
22;22,0;6,45;155,32;183,72467088004802
23;23,0;6,45;155,32;183,8794118985444
24;24,0;6,33;152,43;184,03415291704073
25;25,0;6,45;155,32;184,18889393553707
26;26,0;6,35;152,91;184,3436349540334
27;27,0;6,75;162,54;184,49837597252974
28;28,0;6,67;160,61;184,65311699102608
29;29,0;6,64;159,89;184,80785800952242
30;30,0;6,45;155,32;184,9625990280188
31;31,0;6,73;162,06;185,11734004651512
32;32,0;6,71;161,58;185,27208106501146
33;33,0;6,59;158,69;185,4268220835078
34;34,0;6,6;158,93;185,58156310200414
35;35,0;7,05;169,76;185,73630412050048
36;36,0;7,01;168,8;185,89104513899684
37;37,0;6,77;163,02;186,04578615749318
38;38,0;6,63;159,65;186,20052717598952
39;39,0;7,08;170,49;186,35526819448586
40;40,0;6,87;165,43;186,5100092129822
41;41,0;7,58;182,53;186,66475023147854
42;42,0;9,84;236,95;186,81949124997487
43;43,0;6,28;151,22;186,97423226847124
44;44,0;7,42;178,67;187,12897328696758
45;45,0;8,12;195,53;187,28371430546392
46;46,0;8,22;197,94;187,43845532396026
47;47,0;8,24;198,42;187,5931963424566
48;48,0;8,2;197,46;187,74793736095293
49;49,0;8,35;201,07;187,90267837944927
50;50,0;8,43;202,99;188,05741939794564
51;51,0;8,6;207,09;188,21216041644198
52;52,0;8,47;203,96;188,3669014349383
53;53,0;8,57;206,37;188,52164245343465
54;54,0;8,33;200,59;188,676383471931
55;55,0;8,44;203,24;188,83112449042733
56;56,0;8,46;203,72;188,98586550892367
57;57,0;8,46;203,72;189,14060652742003
58;58,0;8,38;201,79;189,29534754591637
59;59,0;8,66;208,53;189,4500885644127
60;60,0;8,8;211,9;189,60482958290905
61;61,0;8,54;205,64;189,7595706014054
62;62,0;8,43;202,99;189,91431161990172
63;63,0;8,5;204,68;190,0690526383981
64;64,0;8,55;205,88;190,22379365689443
65;65,0;8,46;203,72;190,37853467539077
66;66,0;8,62;207,57;190,5332756938871
67;67,0;8,6;207,09;190,68801671238344
68;68,0;8,64;208,05;190,84275773087978
69;69,0;8,51;204,92;190,99749874937612
70;70,0;8,74;210,46;191,1522397678725
71;71,0;8,54;205,64;191,30698078636883
72;72,0;8,62;207,57;191,46172180486516
73;73,0;8,64;208,05;191,6164628233615
74;74,0;8,62;207,57;191,77120384185784
75;75,0;8,67;208,77;191,92594486035418
76;76,0;8,74;210,46;192,08068587885055
77;77,0;8,6;207,09;192,23542689734688
78;78,0;8,8;211,9;192,39016791584322
79;79,0;8,67;208,77;192,54490893433956
80;80,0;8,79;211,66;192,6996499528359
81;81,0;8,69;209,26;192,85439097133224
82;82,0;8,79;211,66;193,00913198982857
83;83,0;8,73;210,22;193,16387300832494
84;84,0;8,72;209,98;193,31861402682128
85;85,0;8,81;212,14;193,47335504531762
86;86,0;8,81;212,14;193,62809606381396
87;87,0;8,7;209,5;193,7828370823103
88;88,0;8,77;211,18;193,93757810080663
89;89,0;8,73;210,22;194,092319119303
90;90,0;8,54;205,64;194,24706013779934
