;Time;Fy;Model_strength
0;0,0;12,44;11,852261852376458
1;1,0;12,85;11,881157816901691
2;2,0;13,31;11,910053781426925
3;3,0;14,19;11,938949745952158
4;4,0;12,95;11,967845710477393
5;5,0;13,31;11,996741675002626
6;6,0;15,23;12,02563763952786
7;7,0;12,62;12,054533604053093
8;8,0;14,05;12,083429568578326
9;9,0;13,59;12,11232553310356
10;10,0;12,9;12,141221497628793
11;11,0;12,44;12,170117462154026
12;12,0;14,0;12,199013426679262
13;13,0;13,43;12,227909391204495
14;14,0;14,09;12,256805355729728
15;15,0;12,8;12,285701320254962
16;16,0;13,46;12,314597284780195
17;17,0;13,37;12,343493249305428
18;18,0;13,24;12,372389213830662
19;19,0;13,96;12,401285178355895
20;20,0;13,72;12,43018114288113
21;21,0;13,65;12,459077107406364
22;22,0;13,43;12,487973071931597
23;23,0;12,62;12,51686903645683
24;24,0;13,8;12,545765000982064
25;25,0;12,87;12,574660965507297
26;26,0;13,47;12,60355693003253
27;27,0;13,57;12,632452894557765
28;28,0;13,07;12,661348859082999
29;29,0;12,87;12,690244823608232
30;30,0;13,78;12,719140788133465
31;31,0;13,66;12,748036752658699
32;32,0;13,35;12,776932717183932
33;33,0;12,95;12,805828681709166
34;34,0;13,35;12,834724646234399
35;35,0;13,36;12,863620610759632
36;36,0;12,68;12,892516575284867
37;37,0;13,44;12,9214125398101
38;38,0;13,08;12,950308504335334
39;39,0;13,13;12,979204468860567
40;40,0;13,25;13,0081004333858
41;41,0;13,44;13,036996397911034
42;42,0;14,1;13,065892362436268
43;43,0;13,21;13,094788326961503
44;44,0;13,13;13,123684291486736
45;45,0;13,12;13,15258025601197
46;46,0;13,31;13,181476220537203
47;47,0;14,42;13,210372185062436
48;48,0;14,12;13,23926814958767
49;49,0;13,77;13,268164114112903
50;50,0;13,64;13,297060078638136
51;51,0;13,99;13,325956043163371
52;52,0;12,98;13,354852007688605
53;53,0;13,81;13,383747972213838
54;54,0;13,86;13,412643936739071
55;55,0;13,65;13,441539901264305
56;56,0;12,91;13,470435865789538
57;57,0;13,51;13,499331830314771
58;58,0;13,96;13,528227794840006
59;59,0;13,43;13,55712375936524
60;60,0;13,13;13,586019723890473
61;61,0;13,26;13,614915688415707
62;62,0;13,67;13,64381165294094
63;63,0;13,76;13,672707617466173
64;64,0;14,69;13,701603581991407
65;65,0;13,85;13,73049954651664
66;66,0;14,43;13,759395511041873
67;67,0;14,18;13,788291475567108
68;68,0;14,89;13,817187440092342
69;69,0;14,78;13,846083404617575
70;70,0;14,09;13,874979369142808
71;71,0;14,19;13,903875333668042
72;72,0;14,34;13,932771298193275
73;73,0;13,87;13,96166726271851
74;74,0;14,44;13,990563227243744
75;75,0;13,85;14,019459191768977
76;76,0;13,69;14,04835515629421
77;77,0;14,26;14,077251120819444
78;78,0;14,48;14,106147085344677
79;79,0;14,43;14,13504304986991
80;80,0;14,42;14,163939014395144
81;81,0;14,43;14,192834978920377
82;82,0;14,0;14,22173094344561
83;83,0;13,86;14,250626907970846
84;84,0;14,12;14,279522872496079
85;85,0;14,58;14,308418837021312
86;86,0;14,25;14,337314801546546
87;87,0;13,81;14,366210766071779
88;88,0;14,2;14,395106730597012
89;89,0;14,06;14,424002695122248
90;90,0;13,76;14,45289865964748
91;91,0;14,71;14,481794624172714
92;92,0;14,4;14,510690588697948
93;93,0;14,25;14,539586553223181
94;94,0;13,97;14,568482517748414
95;95,0;13,97;14,597378482273648
96;96,0;14,16;14,626274446798881
97;97,0;14,6;14,655170411324114
98;98,0;14,57;14,68406637584935
99;99,0;14,64;14,712962340374583
100;100,0;14,99;14,741858304899816
101;101,0;14,41;14,77075426942505
102;102,0;14,32;14,799650233950283
103;103,0;13,72;14,828546198475516
104;104,0;14,24;14,857442163000751
105;105,0;15,05;14,886338127525985
106;106,0;14,16;14,915234092051218
107;107,0;14,14;14,944130056576451
108;108,0;14,9;14,973026021101685
109;109,0;14,96;15,001921985626918
110;110,0;14,07;15,030817950152151
111;111,0;13,9;15,059713914677385
112;112,0;13,55;15,088609879202618
113;113,0;14,11;15,117505843727852
114;114,0;14,35;15,146401808253087
115;115,0;14,65;15,17529777277832
116;116,0;14,39;15,204193737303553
117;117,0;14,62;15,233089701828787
118;118,0;15,0;15,26198566635402
119;119,0;14,83;15,290881630879253
120;120,0;14,5;15,319777595404489
121;121,0;14,11;15,348673559929722
122;122,0;14,85;15,377569524454955
123;123,0;14,63;15,406465488980189
124;124,0;14,8;15,435361453505422
125;125,0;14,86;15,464257418030655
126;126,0;14,82;15,493153382555889
127;127,0;14,77;15,522049347081122
128;128,0;14,42;15,550945311606355
129;129,0;14,82;15,57984127613159
130;130,0;14,68;15,608737240656824
131;131,0;15,0;15,637633205182057
132;132,0;15,39;15,66652916970729
133;133,0;14,42;15,695425134232524
134;134,0;14,71;15,724321098757757
135;135,0;15,27;15,753217063282992
136;136,0;14,46;15,782113027808226
137;144,0;14,31;16,013280744010093
138;145,0;15,55;16,042176708535326
139;146,0;16,41;16,071072673060563
140;147,0;15,96;16,099968637585796
141;148,0;14,86;16,12886460211103
142;149,0;15,73;16,157760566636263
143;150,0;15,51;16,186656531161496
144;151,0;15,65;16,21555249568673
145;152,0;14,52;16,244448460211963
146;153,0;14,93;16,273344424737196
147;154,0;15,43;16,30224038926243
148;155,0;14,29;16,331136353787663
149;156,0;14,62;16,360032318312896
150;157,0;15,09;16,38892828283813
151;158,0;14,81;16,417824247363363
152;159,0;15,59;16,446720211888596
153;160,0;16,13;16,47561617641383
154;161,0;14,47;16,504512140939063
155;162,0;14,05;16,533408105464297
156;163,0;14,62;16,56230406998953
157;164,0;14,69;16,591200034514763
158;165,0;14,97;16,62009599904
159;166,0;14,8;16,648991963565233
160;167,0;14,95;16,677887928090467
161;168,0;15,31;16,7067838926157
162;169,0;14,96;16,735679857140934
163;170,0;14,91;16,764575821666167
164;171,0;14,74;16,7934717861914
165;172,0;15,1;16,822367750716634
166;173,0;14,95;16,851263715241867
167;174,0;14,56;16,8801596797671
168;175,0;14,68;16,909055644292334
169;176,0;15,12;16,937951608817567
170;177,0;14,76;16,966847573342804
171;178,0;14,37;16,995743537868037
172;179,0;14,76;17,02463950239327
173;180,0;15,73;17,053535466918504
174;181,0;14,72;17,082431431443737
175;182,0;15,48;17,11132739596897
176;183,0;15,26;17,140223360494204
177;184,0;15,49;17,169119325019437
178;185,0;15,43;17,19801528954467
179;186,0;15,19;17,226911254069904
180;187,0;15,29;17,255807218595137
181;188,0;15,44;17,28470318312037
182;189,0;15,36;17,313599147645604
183;190,0;15,64;17,342495112170838
184;191,0;15,11;17,37139107669607
185;192,0;15,37;17,400287041221304
186;193,0;15,55;17,429183005746538
187;194,0;15,48;17,45807897027177
188;195,0;15,56;17,486974934797004
189;196,0;15,47;17,51587089932224
190;197,0;15,02;17,544766863847475
191;198,0;15,8;17,573662828372708
192;199,0;15,69;17,60255879289794
193;200,0;15,37;17,631454757423175
194;201,0;15,61;17,660350721948408
195;202,0;15,51;17,68924668647364
196;203,0;15,46;17,718142650998875
197;204,0;14,96;17,747038615524108
198;205,0;15,64;17,77593458004934
199;206,0;15,71;17,804830544574575
200;207,0;15,4;17,833726509099808
201;208,0;15,52;17,862622473625045
202;209,0;15,3;17,89151843815028
203;210,0;15,78;17,92041440267551
204;211,0;15,67;17,949310367200745
205;212,0;16,65;17,97820633172598
206;213,0;15,44;18,00710229625121
207;214,0;15,33;18,035998260776445
208;215,0;16,0;18,06489422530168
209;216,0;19,79;18,093790189826912
210;217,0;19,78;18,122686154352145
211;218,0;19,06;18,15158211887738
212;219,0;18,71;18,180478083402612
213;220,0;17,87;18,209374047927845
214;221,0;17,34;18,23827001245308
215;222,0;17,09;18,267165976978312
216;223,0;18,29;18,296061941503545
217;224,0;16,77;18,32495790602878
218;225,0;17,85;18,353853870554012
219;226,0;17,37;18,382749835079245
220;227,0;17,64;18,411645799604482
221;228,0;17,24;18,440541764129716
222;229,0;17,86;18,46943772865495
223;230,0;17,83;18,498333693180182
224;231,0;17,32;18,527229657705416
225;232,0;17,05;18,55612562223065
226;233,0;16,97;18,585021586755882
227;234,0;17,15;18,613917551281116
228;235,0;16,51;18,64281351580635
229;236,0;16,6;18,671709480331582
230;237,0;16,55;18,700605444856816
231;238,0;17,46;18,72950140938205
232;239,0;17,06;18,758397373907286
233;240,0;16,91;18,78729333843252
234;241,0;17,07;18,816189302957753
235;242,0;16,57;18,845085267482986
236;243,0;17,15;18,87398123200822
237;244,0;16,39;18,902877196533453
238;245,0;17,58;18,931773161058686
239;246,0;16,8;18,96066912558392
240;247,0;17,17;18,989565090109153
241;248,0;16,95;19,018461054634386
242;249,0;17,22;19,04735701915962
243;250,0;18,01;19,076252983684853
244;251,0;17,41;19,105148948210086
245;252,0;17,84;19,13404491273532
246;253,0;17,79;19,162940877260553
247;254,0;17,57;19,191836841785786
248;255,0;18,05;19,22073280631102
249;256,0;18,34;19,249628770836253
250;257,0;17,56;19,278524735361486
251;258,0;17,54;19,307420699886723
252;259,0;18,68;19,336316664411957
253;260,0;18,43;19,36521262893719
254;261,0;18,31;19,394108593462423
255;262,0;18,6;19,423004557987657
256;263,0;18,57;19,45190052251289
257;264,0;19,42;19,480796487038123
258;265,0;18,26;19,509692451563357
259;266,0;18,94;19,53858841608859
260;267,0;18,12;19,567484380613823
261;268,0;19,2;19,596380345139057
262;269,0;18,69;19,62527630966429
263;270,0;19,17;19,654172274189527
264;271,0;18,6;19,68306823871476
265;272,0;18,85;19,711964203239994
266;273,0;20,49;19,740860167765227
267;274,0;20,74;19,76975613229046
268;275,0;20,26;19,798652096815694
269;276,0;20,02;19,827548061340927
270;277,0;20,01;19,85644402586616
271;278,0;20,55;19,885339990391394
272;279,0;20,32;19,914235954916627
273;280,0;19,71;19,94313191944186
274;281,0;20,78;19,972027883967094
275;282,0;19,46;20,000923848492327
276;283,0;21,05;20,02981981301756
277;284,0;20,14;20,058715777542794
278;285,0;20,66;20,087611742068027
279;286,0;20,62;20,11650770659326
280;287,0;19,87;20,145403671118494
281;288,0;19,91;20,174299635643727
282;289,0;21,87;20,20319560016896
283;290,0;22,24;20,232091564694194
284;291,0;19,83;20,26098752921943
285;292,0;20,28;20,289883493744664
286;293,0;19,87;20,318779458269898
287;294,0;19,64;20,34767542279513
288;295,0;19,18;20,376571387320364
289;296,0;21,27;20,405467351845598
290;297,0;19,98;20,43436331637083
291;298,0;20,68;20,463259280896064
292;299,0;20,66;20,4921552454213
293;300,0;20,76;20,521051209946535
294;301,0;20,88;20,549947174471768
295;302,0;21,6;20,578843138997
296;303,0;20,61;20,607739103522235
