;Time;Voltage;Temperature;Model_temp
0;0,0;11,38;274,03;185,99760050063747
1;1,0;10,01;241,04;186,12330539131435
2;2,0;6,66;160,37;186,2490102819912
3;3,0;6,64;159,89;186,37471517266806
4;4,0;6,03;145,2;186,50042006334493
5;5,0;6,44;155,08;186,62612495402178
6;6,0;6,34;152,67;186,75182984469865
7;7,0;6,73;162,06;186,87753473537552
8;8,0;6,34;152,67;187,00323962605236
9;9,0;6,3;151,7;187,12894451672923
10;10,0;6,72;161,82;187,2546494074061
11;11,0;6,41;154,35;187,38035429808295
12;12,0;6,27;150,98;187,50605918875982
13;13,0;6,53;157,24;187,6317640794367
14;14,0;6,79;163,5;187,75746897011354
15;15,0;6,72;161,82;187,8831738607904
16;16,0;6,67;160,61;188,00887875146728
17;17,0;6,93;166,87;188,13458364214412
18;18,0;6,78;163,26;188,260288532821
19;19,0;6,7;161,34;188,38599342349787
20;20,0;6,41;154,35;188,5116983141747
21;21,0;6,79;163,5;188,63740320485158
22;22,0;6,78;163,26;188,76310809552845
23;23,0;6,78;163,26;188,8888129862053
24;24,0;6,99;168,32;189,01451787688217
25;25,0;7,1;170,97;189,14022276755904
26;26,0;6,96;167,6;189,26592765823588
27;27,0;6,6;158,93;189,39163254891275
28;28,0;7,1;170,97;189,51733743958962
29;29,0;6,91;166,39;189,64304233026647
30;30,0;6,77;163,02;189,76874722094334
31;31,0;6,99;168,32;189,89445211162018
32;32,0;6,99;168,32;190,02015700229705
33;33,0;7,07;170,25;190,14586189297393
34;34,0;6,99;168,32;190,27156678365077
35;35,0;7,08;170,49;190,39727167432764
36;36,0;7,12;171,45;190,5229765650045
37;37,0;6,69;161,1;190,64868145568136
38;38,0;7,02;169,04;190,77438634635823
39;39,0;7,15;172,17;190,9000912370351
40;40,0;6,97;167,84;191,02579612771194
41;41,0;7,18;172,89;191,1515010183888
42;42,0;7,1;170,97;191,27720590906569
43;43,0;7,17;172,65;191,40291079974253
44;44,0;6,98;168,08;191,5286156904194
45;45,0;7,21;173,62;191,65432058109627
46;46,0;7,46;179,64;191,78002547177311
47;47,0;7,14;171,93;191,90573036245
48;48,0;7,31;176,02;192,03143525312686
49;49,0;7,29;175,54;192,1571401438037
50;50,0;7,41;178,43;192,28284503448057
51;51,0;7,14;171,93;192,40854992515744
52;52,0;7,13;171,69;192,5342548158343
53;53,0;7,38;177,71;192,65995970651116
54;54,0;7,4;178,19;192,78566459718803
55;55,0;7,39;177,95;192,91136948786487
56;56,0;7,39;177,95;193,03707437854175
57;57,0;7,45;179,4;193,16277926921862
58;58,0;7,38;177,71;193,28848415989546
59;59,0;7,3;175,78;193,41418905057233
60;60,0;7,59;182,77;193,5398939412492
61;61,0;6,95;167,36;193,66559883192605
62;62,0;7,02;169,04;193,79130372260292
63;63,0;6,49;156,28;193,9170086132798
64;64,0;7,01;168,8;194,04271350395663
65;65,0;7,1;170,97;194,1684183946335
66;66,0;7,41;178,43;194,29412328531038
67;67,0;7,43;178,91;194,41982817598722
68;68,0;7,2;173,38;194,5455330666641
69;69,0;7,45;179,4;194,67123795734096
70;70,0;7,41;178,43;194,7969428480178
71;71,0;7,33;176,51;194,92264773869468
