;Time;Voltage;Temperature;Model_temp
0;0,0;6,04;145,44;190,34908663338874
1;1,0;7,68;184,93;190,61939665857534
2;2,0;8,06;194,08;190,88970668376194
3;3,0;6,68;160,85;191,16001670894858
4;4,0;8,46;203,72;191,43032673413518
5;5,0;8,45;203,48;191,70063675932178
6;6,0;6,44;155,08;191,97094678450839
7;7,0;7,92;190,71;192,24125680969502
8;8,0;7,25;174,58;192,51156683488162
9;9,0;7,68;184,93;192,78187686006822
10;10,0;6,91;166,39;193,05218688525483
11;11,0;7,47;179,88;193,32249691044146
12;12,0;8,1;195,05;193,59280693562806
13;13,0;7,3;175,78;193,86311696081466
14;14,0;7,32;176,27;194,13342698600127
15;15,0;8,12;195,53;194,4037370111879
16;16,0;7,29;175,54;194,6740470363745
17;17,0;8,57;206,37;194,9443570615611
18;18,0;6,78;163,26;195,2146670867477
19;19,0;7,51;180,84;195,48497711193434
20;20,0;8,75;210,7;195,75528713712094
21;21,0;6,8;163,74;196,02559716230755
22;22,0;7,6;183,01;196,29590718749415
23;23,0;8,66;208,53;196,56621721268078
24;24,0;6,94;167,12;196,8365272378674
25;25,0;8,09;194,81;197,106837263054
26;26,0;7,69;185,18;197,3771472882406
27;27,0;7,64;183,97;197,64745731342722
28;28,0;8,13;195,77;197,91776733861383
29;29,0;7,79;187,58;198,18807736380043
30;30,0;7,52;181,08;198,45838738898703
31;31,0;7,96;191,68;198,72869741417367
32;32,0;7,65;184,21;198,99900743936027
33;33,0;8,53;205,4;199,26931746454687
34;34,0;7,84;188,79;199,53962748973348
35;35,0;7,38;177,71;199,80993751492008
36;36,0;8,74;210,46;200,0802475401067
37;37,0;7,89;189,99;200,35055756529331
38;38,0;7,64;183,97;200,62086759047992
39;39,0;7,81;188,06;200,89117761566652
40;40,0;7,73;186,14;201,16148764085315
41;41,0;8,47;203,96;201,43179766603976
42;42,0;8,03;193,36;201,70210769122636
43;43,0;7,98;192,16;201,97241771641296
44;44,0;8,55;205,88;202,2427277415996
45;45,0;8,01;192,88;202,5130377667862
46;46,0;8,28;199,38;202,7833477919728
47;47,0;8,52;205,16;203,0536578171594
48;48,0;7,72;185,9;203,32396784234604
49;49,0;8,26;198,9;203,59427786753264
50;50,0;8,57;206,37;203,86458789271924
51;51,0;8,35;201,07;204,13489791790585
52;52,0;8,97;216,0;204,40520794309248
53;53,0;7,72;185,9;204,67551796827908
54;54,0;8,18;196,97;204,94582799346568
55;55,0;8,68;209,01;205,2161380186523
56;56,0;7,54;181,56;205,48644804383892
57;57,0;8,91;214,55;205,75675806902552
58;58,0;8,52;205,16;206,02706809421213
59;59,0;7,58;182,53;206,29737811939873
60;60,0;8,63;207,81;206,56768814458536
