;Time;Fy;Model_strength
0;0,0;16,56;16,30467411390249
1;1,0;19,04;16,34611257554568
2;2,0;19,43;16,387551037188867
3;3,0;20,59;16,428989498832056
4;4,0;20,1;16,470427960475245
5;5,0;20,43;16,511866422118434
6;6,0;19,43;16,553304883761623
7;7,0;18,49;16,59474334540481
8;8,0;19,51;16,636181807048
9;9,0;19,12;16,67762026869119
10;10,0;20,78;16,71905873033438
11;11,0;20,36;16,760497191977564
12;12,0;19,89;16,801935653620752
13;13,0;18,98;16,84337411526394
14;14,0;20,22;16,88481257690713
15;15,0;20,67;16,92625103855032
16;16,0;19,58;16,967689500193508
17;17,0;19,46;17,009127961836697
18;18,0;19,19;17,050566423479886
19;19,0;19,44;17,092004885123075
20;20,0;19,84;17,133443346766263
21;21,0;19,85;17,174881808409452
22;22,0;20,33;17,21632027005264
23;23,0;20,45;17,25775873169583
24;24,0;19,52;17,29919719333902
25;25,0;20,09;17,340635654982208
26;26,0;19,69;17,382074116625397
27;27,0;20,79;17,423512578268586
28;28,0;19,43;17,464951039911774
29;29,0;19,33;17,506389501554963
30;30,0;19,32;17,547827963198152
31;31,0;19,49;17,58926642484134
32;32,0;19,72;17,63070488648453
33;33,0;19,33;17,672143348127715
34;34,0;18,78;17,713581809770904
35;35,0;19,34;17,755020271414093
36;36,0;20,05;17,796458733057282
37;37,0;19,71;17,83789719470047
38;38,0;19,24;17,87933565634366
39;39,0;18,87;17,92077411798685
40;40,0;18,23;17,962212579630037
41;41,0;18,24;18,003651041273226
42;42,0;19,02;18,045089502916415
43;43,0;18,67;18,086527964559604
44;44,0;18,85;18,127966426202793
45;45,0;18,45;18,16940488784598
46;46,0;18,94;18,21084334948917
47;47,0;19,7;18,25228181113236
48;48,0;19,68;18,29372027277555
49;49,0;18,31;18,335158734418737
50;50,0;19,16;18,376597196061926
51;51,0;19,35;18,418035657705115
52;52,0;18,83;18,4594741193483
53;53,0;19,86;18,50091258099149
54;54,0;18,85;18,542351042634678
55;55,0;18,98;18,583789504277867
56;56,0;19,2;18,625227965921056
57;57,0;19,9;18,666666427564245
58;58,0;18,99;18,708104889207434
59;59,0;18,33;18,749543350850622
60;60,0;18,83;18,79098181249381
61;61,0;18,74;18,832420274137
62;62,0;19,31;18,87385873578019
63;63,0;19,8;18,915297197423378
64;64,0;19,33;18,956735659066567
65;65,0;19,1;18,998174120709756
66;66,0;19,27;19,039612582352945
67;67,0;19,77;19,081051043996133
68;68,0;19,73;19,122489505639322
69;69,0;19,14;19,16392796728251
70;70,0;19,84;19,2053664289257
71;71,0;21,32;19,24680489056889
72;72,0;21,05;19,288243352212078
73;73,0;20,93;19,329681813855267
74;74,0;20,26;19,371120275498455
75;75,0;20,37;19,412558737141644
76;76,0;20,23;19,453997198784833
77;77,0;18,84;19,49543566042802
78;78,0;20,01;19,536874122071207
79;79,0;20,35;19,578312583714396
80;80,0;19,58;19,619751045357585
81;81,0;20,66;19,661189507000774
82;82,0;19,35;19,702627968643963
83;83,0;20,17;19,744066430287152
84;84,0;19,03;19,78550489193034
85;85,0;20,21;19,82694335357353
86;86,0;19,09;19,86838181521672
87;87,0;19,65;19,909820276859907
88;88,0;19,62;19,951258738503096
89;89,0;19,67;19,992697200146285
90;90,0;19,96;20,034135661789474
91;91,0;19,77;20,075574123432663
92;92,0;19,44;20,11701258507585
93;93,0;20,81;20,15845104671904
94;94,0;19,66;20,19988950836223
95;95,0;19,4;20,241327970005415
96;96,0;19,94;20,282766431648604
97;97,0;19,72;20,324204893291792
98;98,0;19,99;20,36564335493498
99;99,0;19,11;20,40708181657817
100;100,0;19,76;20,44852027822136
101;101,0;19,9;20,489958739864548
102;102,0;19,52;20,531397201507737
103;103,0;20,62;20,572835663150926
104;104,0;19,92;20,614274124794115
105;105,0;20,06;20,655712586437303
106;106,0;19,98;20,697151048080492
107;107,0;19,97;20,73858950972368
108;108,0;19,9;20,78002797136687
109;109,0;20,58;20,82146643301006
110;110,0;20,04;20,862904894653248
111;111,0;20,26;20,904343356296437
112;112,0;19,74;20,945781817939626
113;113,0;20,54;20,987220279582814
114;114,0;20,7;21,028658741226003
115;115,0;21,43;21,070097202869192
116;116,0;21,14;21,11153566451238
117;117,0;21,18;21,15297412615557
118;118,0;21,08;21,19441258779876
119;119,0;20,58;21,235851049441948
120;120,0;21,84;21,277289511085137
121;121,0;21,26;21,318727972728322
122;122,0;21,11;21,36016643437151
123;123,0;21,79;21,4016048960147
124;124,0;20,48;21,44304335765789
125;125,0;20,85;21,484481819301077
126;126,0;20,77;21,525920280944266
127;127,0;21,21;21,567358742587455
128;128,0;21,4;21,608797204230644
129;129,0;21,45;21,650235665873833
130;130,0;21,3;21,69167412751702
131;131,0;21,22;21,73311258916021
132;132,0;20,98;21,7745510508034
133;133,0;21,49;21,81598951244659
134;134,0;21,08;21,857427974089777
135;135,0;21,73;21,898866435732966
136;136,0;21,45;21,94030489737615
137;137,0;22,18;21,98174335901934
138;138,0;20,74;22,02318182066253
139;149,0;23,75;22,479004898737607
140;150,0;25,69;22,520443360380796
141;151,0;24,03;22,561881822023985
142;152,0;24,73;22,603320283667173
143;153,0;22,16;22,644758745310362
144;154,0;23,24;22,68619720695355
145;155,0;22,28;22,72763566859674
146;156,0;23,69;22,76907413023993
147;157,0;23,36;22,810512591883118
148;158,0;22,97;22,851951053526307
149;159,0;23,42;22,893389515169495
150;160,0;22,88;22,934827976812684
151;161,0;23,18;22,976266438455873
152;162,0;22,69;23,017704900099062
153;163,0;23,37;23,059143361742247
154;164,0;23,02;23,100581823385436
155;165,0;23,49;23,142020285028625
156;166,0;23,46;23,183458746671814
157;167,0;22,83;23,224897208315003
158;168,0;23,13;23,266335669958192
159;169,0;23,28;23,30777413160138
160;170,0;23,85;23,34921259324457
161;171,0;23,83;23,39065105488776
162;172,0;23,12;23,432089516530947
163;173,0;23,69;23,473527978174136
164;174,0;23,58;23,514966439817325
165;175,0;23,34;23,556404901460514
166;176,0;23,64;23,597843363103703
167;177,0;24,59;23,63928182474689
168;178,0;24,18;23,68072028639008
169;179,0;24,14;23,722158748033266
170;180,0;22,87;23,763597209676455
171;181,0;24,0;23,805035671319644
172;182,0;23,62;23,846474132962832
173;183,0;24,07;23,88791259460602
174;184,0;24,0;23,92935105624921
175;185,0;24,2;23,9707895178924
176;186,0;22,41;24,012227979535588
177;187,0;24,06;24,053666441178777
178;188,0;24,01;24,095104902821966
179;189,0;23,46;24,136543364465155
180;190,0;23,35;24,177981826108343
181;191,0;23,1;24,219420287751532
182;192,0;23,21;24,26085874939472
183;193,0;23,68;24,30229721103791
184;194,0;24,71;24,3437356726811
185;195,0;24,09;24,385174134324288
186;196,0;23,39;24,426612595967477
187;197,0;24,96;24,468051057610666
188;198,0;24,6;24,509489519253854
189;199,0;24,75;24,550927980897043
190;200,0;24,66;24,592366442540232
191;201,0;24,48;24,63380490418342
192;202,0;24,61;24,67524336582661
193;203,0;24,52;24,7166818274698
194;204,0;25,31;24,758120289112988
195;205,0;24,29;24,799558750756177
196;206,0;25,45;24,840997212399365
197;207,0;24,71;24,882435674042554
198;208,0;24,28;24,92387413568574
199;209,0;25,25;24,96531259732893
200;210,0;23,45;25,006751058972117
201;211,0;24,25;25,048189520615306
202;212,0;24,65;25,089627982258495
203;213,0;25,22;25,131066443901684
204;214,0;23,77;25,172504905544873
205;215,0;24,37;25,21394336718806
206;216,0;25,93;25,25538182883125
207;225,0;25,36;25,628327983619947
208;226,0;24,22;25,669766445263136
209;227,0;25,96;25,711204906906325
210;228,0;24,96;25,752643368549514
211;229,0;24,76;25,794081830192702
212;230,0;25,58;25,83552029183589
213;231,0;25,14;25,87695875347908
214;232,0;25,02;25,91839721512227
215;233,0;25,36;25,959835676765458
216;234,0;25,72;26,001274138408647
217;235,0;25,69;26,042712600051836
218;236,0;25,5;26,084151061695025
219;237,0;26,19;26,125589523338213
220;238,0;26,13;26,167027984981402
221;239,0;24,94;26,20846644662459
222;240,0;25,46;26,24990490826778
223;241,0;25,03;26,29134336991097
224;242,0;25,72;26,332781831554158
225;243,0;25,58;26,374220293197347
226;244,0;26,1;26,415658754840535
227;245,0;25,62;26,457097216483724
228;246,0;26,68;26,498535678126913
229;247,0;26,41;26,539974139770102
230;248,0;26,42;26,58141260141329
231;249,0;25,96;26,62285106305648
232;250,0;25,85;26,66428952469967
233;251,0;26,81;26,705727986342854
234;252,0;26,62;26,747166447986043
235;253,0;26,74;26,788604909629232
236;254,0;26,54;26,83004337127242
237;255,0;27,41;26,87148183291561
238;256,0;27,02;26,9129202945588
239;257,0;27,3;26,954358756201987
240;258,0;26,8;26,995797217845176
241;259,0;27,32;27,037235679488365
242;260,0;27,32;27,078674141131554
243;261,0;26,72;27,120112602774743
244;262,0;27,41;27,161551064417928
245;263,0;26,82;27,202989526061117
246;264,0;27,84;27,244427987704306
247;265,0;27,54;27,285866449347495
248;266,0;28,44;27,327304910990684
249;267,0;27,61;27,368743372633872
250;268,0;27,85;27,41018183427706
251;269,0;27,89;27,45162029592025
252;270,0;27,28;27,49305875756344
253;271,0;27,77;27,534497219206628
254;272,0;28,57;27,575935680849817
255;273,0;29,01;27,617374142493006
256;274,0;27,67;27,658812604136195
257;275,0;27,96;27,700251065779383
258;276,0;28,57;27,741689527422572
259;277,0;29,28;27,78312798906576
260;278,0;28,25;27,82456645070895
261;279,0;27,85;27,86600491235214
262;280,0;27,98;27,907443373995328
263;281,0;28,92;27,948881835638517
264;282,0;29,35;27,990320297281706
265;283,0;28,0;28,031758758924894
266;284,0;29,39;28,073197220568083
267;285,0;28,2;28,114635682211272
268;286,0;29,83;28,15607414385446
269;287,0;28,94;28,19751260549765
270;288,0;28,69;28,23895106714084
271;289,0;28,51;28,280389528784028
272;290,0;29,1;28,321827990427217
273;291,0;29,77;28,363266452070405
274;297,0;19,47;28,611897221929535
275;298,0;24,32;28,653335683572724
276;299,0;26,86;28,694774145215913
277;300,0;27,97;28,7362126068591
278;301,0;28,62;28,77765106850229
279;302,0;27,19;28,81908953014548
280;303,0;28,87;28,86052799178867
281;304,0;28,82;28,901966453431857
282;305,0;28,52;28,943404915075043
283;306,0;28,54;28,98484337671823
284;307,0;29,28;29,02628183836142
285;308,0;28,93;29,06772030000461
286;309,0;30,05;29,109158761647798
287;310,0;28,87;29,150597223290987
288;311,0;28,91;29,192035684934176
